player,nationality,position,age,club,league,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Santos,BRA,GK,32,Flamengo,Brazilian League,5.4,203.0,114.0,186.0,17.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,126.0,698.0,489.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0
Matheus França,BRA,"MF,FW",18,Flamengo,Brazilian League,4.1,215.0,1.0,17.0,77.0,122.0,28.0,215.0,21.0,11.0,52.4,9.0,42.9,139.0,979.0,450.0,16.0,10.0,9.0,9.0,9.0,164.0,43.0
Allan,BRA,MF,25,Flamengo,Brazilian League,5.4,465.0,7.0,63.0,324.0,82.0,1.0,465.0,4.0,2.0,50.0,0.0,0.0,320.0,1640.0,833.0,10.0,12.0,0.0,2.0,3.0,361.0,6.0
Pablo,BRA,DF,31,Flamengo,Brazilian League,4.7,368.0,55.0,157.0,207.0,4.0,2.0,368.0,1.0,1.0,100.0,0.0,0.0,231.0,1170.0,703.0,4.0,0.0,0.0,1.0,0.0,263.0,1.0
Guillermo Varela,URU,DF,29,Flamengo,Brazilian League,2.6,170.0,7.0,35.0,92.0,44.0,1.0,170.0,3.0,2.0,66.7,1.0,33.3,109.0,526.0,272.0,6.0,9.0,0.0,1.0,0.0,122.0,14.0
Arturo Vidal,CHI,"MF,DF",35,Flamengo,Brazilian League,2.8,231.0,8.0,39.0,118.0,75.0,8.0,231.0,1.0,0.0,0.0,1.0,100.0,130.0,403.0,206.0,2.0,2.0,0.0,2.0,3.0,189.0,12.0
Marinho,BRA,"FW,DF",32,Flamengo,Brazilian League,0.9,72.0,1.0,6.0,19.0,48.0,7.0,72.0,3.0,2.0,66.7,1.0,33.3,47.0,317.0,84.0,2.0,2.0,1.0,3.0,3.0,50.0,21.0
Igor,BRA,MF,19,Flamengo,Brazilian League,0.9,71.0,2.0,5.0,46.0,21.0,1.0,71.0,1.0,1.0,100.0,0.0,0.0,47.0,206.0,73.0,2.0,2.0,0.0,3.0,2.0,55.0,3.0
Rodrigo Caio,BRA,"MF,DF",29,Flamengo,Brazilian League,0.7,67.0,4.0,15.0,48.0,5.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,41.0,194.0,69.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0
Pedrinho,BRA,FW,19,Flamengo,Brazilian League,0.2,14.0,0.0,2.0,6.0,6.0,0.0,14.0,1.0,0.0,0.0,1.0,100.0,4.0,16.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
Matheus Gonçalves,BRA,"FW,MF",17,Flamengo,Brazilian League,0.2,23.0,0.0,0.0,7.0,16.0,0.0,23.0,2.0,1.0,50.0,1.0,50.0,18.0,95.0,52.0,1.0,1.0,0.0,1.0,0.0,20.0,4.0
André Inácio,BRA,FW,20,Flamengo,Brazilian League,0.2,5.0,0.0,3.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Lucas Perri,BRA,GK,25,Botafogo (RJ),Brazilian League,37.5,1150.0,912.0,1133.0,16.0,2.0,2.0,1150.0,0.0,0.0,0.0,0.0,0.0,595.0,3606.0,2412.0,0.0,0.0,0.0,2.0,0.0,422.0,0.0
Víctor Cuesta,ARG,DF,34,Botafogo (RJ),Brazilian League,35.0,2065.0,239.0,967.0,992.0,116.0,35.0,2065.0,10.0,4.0,40.0,6.0,60.0,1161.0,5593.0,2701.0,10.0,24.0,0.0,18.0,6.0,1269.0,7.0
Adryelson,BRA,DF,24,Botafogo (RJ),Brazilian League,33.3,1895.0,292.0,991.0,876.0,34.0,27.0,1895.0,0.0,0.0,0.0,0.0,0.0,976.0,4174.0,2293.0,2.0,3.0,1.0,3.0,1.0,1140.0,3.0
Marlon Freitas,BRA,MF,27,Botafogo (RJ),Brazilian League,32.3,2152.0,106.0,442.0,1458.0,268.0,19.0,2152.0,6.0,5.0,83.3,1.0,16.7,1236.0,6998.0,3427.0,34.0,33.0,2.0,13.0,3.0,1463.0,21.0
Carlos Eduardo,BRA,MF,33,Botafogo (RJ),Brazilian League,29.7,1371.0,22.0,115.0,912.0,355.0,59.0,1371.0,56.0,20.0,35.7,28.0,50.0,862.0,4362.0,1949.0,35.0,34.0,4.0,47.0,21.0,1026.0,89.0
Tchê Tchê,BRA,"MF,DF",30,Botafogo (RJ),Brazilian League,29.5,1549.0,33.0,231.0,894.0,443.0,21.0,1549.0,58.0,32.0,55.2,17.0,29.3,995.0,5549.0,2600.0,45.0,42.0,5.0,40.0,33.0,1163.0,65.0
Tiquinho Soares,BRA,FW,32,Botafogo (RJ),Brazilian League,27.1,987.0,31.0,71.0,511.0,415.0,126.0,980.0,63.0,35.0,55.6,23.0,36.5,589.0,2470.0,925.0,25.0,23.0,6.0,84.0,58.0,775.0,152.0
