player,nationality,position,age,club,league,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Jeffrey Gouweleeuw,NED,DF,32,Augsburg,Bundesliga,28.8,1767.0,196.0,814.0,836.0,138.0,35.0,1767.0,23.0,15.0,65.2,8.0,34.8,1046.0,6646.0,4109.0,33.0,24.0,2.0,11.0,7.0,1101.0,17.0
Ruben Vargas,SUI,"MF,FW",24,Augsburg,Bundesliga,21.8,949.0,22.0,103.0,374.0,485.0,82.0,949.0,57.0,22.0,38.6,30.0,52.6,538.0,3257.0,1364.0,57.0,31.0,15.0,58.0,18.0,608.0,145.0
Elvis Rexhbeçaj,GER,MF,25,Augsburg,Bundesliga,22.1,936.0,43.0,216.0,513.0,222.0,22.0,935.0,23.0,8.0,34.8,14.0,60.9,462.0,2215.0,910.0,15.0,16.0,3.0,38.0,18.0,492.0,51.0
Kevin Mbabu,SUI,DF,28,Augsburg,Bundesliga,22.7,1315.0,70.0,314.0,573.0,451.0,31.0,1315.0,82.0,29.0,35.4,48.0,58.5,626.0,4024.0,1885.0,70.0,48.0,8.0,41.0,25.0,654.0,106.0
Mads Pedersen,DEN,DF,26,Augsburg,Bundesliga,19.8,1084.0,61.0,305.0,489.0,311.0,20.0,1084.0,38.0,23.0,60.5,9.0,23.7,506.0,3407.0,1895.0,56.0,35.0,4.0,21.0,13.0,543.0,79.0
Iago,BRA,DF,26,Augsburg,Bundesliga,18.0,950.0,66.0,296.0,434.0,239.0,33.0,950.0,37.0,19.0,51.4,15.0,40.5,480.0,2650.0,1197.0,24.0,20.0,4.0,24.0,10.0,474.0,51.0
Fredrik Jensen,FIN,"MF,FW",25,Augsburg,Bundesliga,14.9,643.0,29.0,89.0,256.0,303.0,39.0,643.0,26.0,5.0,19.2,20.0,76.9,307.0,1427.0,638.0,22.0,9.0,6.0,22.0,10.0,351.0,90.0
Niklas Dorsch,GER,MF,25,Augsburg,Bundesliga,15.4,796.0,61.0,252.0,467.0,85.0,2.0,796.0,11.0,7.0,63.6,3.0,27.3,436.0,2039.0,801.0,12.0,8.0,1.0,21.0,10.0,470.0,12.0
Arne Engels,BEL,"MF,DF",19,Augsburg,Bundesliga,15.6,724.0,25.0,142.0,337.0,249.0,18.0,724.0,11.0,6.0,54.5,5.0,45.5,357.0,1747.0,786.0,23.0,18.0,4.0,15.0,7.0,406.0,62.0
Kristijan Jakić,CRO,MF,26,Augsburg,Bundesliga,11.7,619.0,27.0,154.0,367.0,104.0,11.0,619.0,11.0,6.0,54.5,4.0,36.4,292.0,1427.0,624.0,11.0,6.0,2.0,8.0,13.0,329.0,10.0
Arne Maier,GER,MF,24,Augsburg,Bundesliga,11.1,692.0,15.0,86.0,321.0,293.0,28.0,692.0,20.0,12.0,60.0,8.0,40.0,350.0,1577.0,680.0,17.0,11.0,6.0,13.0,11.0,422.0,66.0
Maximilian Bauer,GER,DF,23,Augsburg,Bundesliga,9.0,586.0,56.0,312.0,238.0,38.0,5.0,586.0,3.0,2.0,66.7,1.0,33.3,350.0,1664.0,896.0,2.0,4.0,0.0,6.0,0.0,373.0,1.0
Tim Breithaupt,GER,MF,21,Augsburg,Bundesliga,7.0,355.0,19.0,117.0,196.0,44.0,1.0,355.0,1.0,1.0,100.0,0.0,0.0,142.0,571.0,190.0,0.0,1.0,0.0,6.0,5.0,186.0,2.0
Robert Gumny,POL,DF,25,Augsburg,Bundesliga,5.3,260.0,19.0,68.0,121.0,74.0,8.0,260.0,13.0,5.0,38.5,4.0,30.8,108.0,554.0,213.0,9.0,9.0,1.0,14.0,1.0,115.0,17.0
Sven Michel,GER,"FW,MF",33,Augsburg,Bundesliga,6.5,248.0,3.0,21.0,94.0,133.0,39.0,246.0,22.0,10.0,45.5,11.0,50.0,135.0,600.0,204.0,6.0,3.0,4.0,22.0,11.0,162.0,44.0
Patric Pfeiffer,GER,DF,23,Augsburg,Bundesliga,5.7,340.0,36.0,153.0,158.0,31.0,19.0,340.0,1.0,0.0,0.0,1.0,100.0,153.0,637.0,299.0,1.0,0.0,0.0,6.0,1.0,184.0,4.0
Dion Drena Beljo,CRO,"FW,MF",21,Augsburg,Bundesliga,6.5,239.0,5.0,24.0,92.0,126.0,38.0,239.0,24.0,11.0,45.8,10.0,41.7,133.0,963.0,402.0,16.0,13.0,6.0,24.0,5.0,178.0,35.0
Tomáš Koubek,CZE,GK,30,Augsburg,Bundesliga,3.0,114.0,105.0,114.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,56.0,247.0,120.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0
Mergim Berisha,GER,FW,25,Augsburg,Bundesliga,1.4,28.0,4.0,5.0,9.0,14.0,3.0,28.0,2.0,0.0,0.0,2.0,100.0,18.0,96.0,53.0,3.0,1.0,1.0,1.0,1.0,20.0,5.0
Mert Kömür,GER,"MF,DF",18,Augsburg,Bundesliga,1.3,51.0,1.0,10.0,17.0,27.0,3.0,51.0,4.0,0.0,0.0,3.0,75.0,29.0,208.0,135.0,7.0,5.0,1.0,2.0,2.0,33.0,9.0
Pep Biel,ESP,"MF,FW",26,Augsburg,Bundesliga,3.2,156.0,2.0,23.0,71.0,63.0,11.0,156.0,7.0,6.0,85.7,1.0,14.3,78.0,414.0,138.0,2.0,2.0,1.0,13.0,1.0,97.0,16.0
Irvin Cardona,FRA,"MF,DF",25,Augsburg,Bundesliga,0.6,24.0,0.0,2.0,4.0,18.0,5.0,24.0,1.0,0.0,0.0,1.0,100.0,14.0,129.0,61.0,3.0,2.0,2.0,2.0,0.0,15.0,6.0
Masaya Okugawa,JPN,"FW,DF",27,Augsburg,Bundesliga,0.4,14.0,1.0,2.0,6.0,6.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,6.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0
Nathanael Mbuku,FRA,FW,21,Augsburg,Bundesliga,0.1,10.0,0.0,0.0,4.0,6.0,1.0,10.0,1.0,0.0,0.0,1.0,100.0,9.0,67.0,51.0,1.0,0.0,1.0,0.0,0.0,9.0,4.0
Mahmut Kücüksahin,TUR,MF,19,Augsburg,Bundesliga,0.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Jonas Wind,DEN,FW,24,Wolfsburg,Bundesliga,29.5,920.0,24.0,72.0,449.0,403.0,107.0,919.0,30.0,13.0,43.3,16.0,53.3,487.0,1793.0,607.0,17.0,21.0,5.0,64.0,35.0,701.0,115.0
Maximilian Arnold,GER,MF,29,Wolfsburg,Bundesliga,27.8,1827.0,91.0,429.0,1089.0,324.0,5.0,1827.0,11.0,7.0,63.6,3.0,27.3,988.0,4240.0,1846.0,20.0,15.0,1.0,20.0,17.0,1163.0,19.0
Joakim Mæhle,DEN,"DF,MF",26,Wolfsburg,Bundesliga,27.2,1851.0,85.0,521.0,814.0,536.0,56.0,1851.0,58.0,22.0,37.9,29.0,50.0,963.0,5547.0,3021.0,84.0,60.0,12.0,35.0,15.0,1051.0,137.0
Maxence Lacroix,FRA,DF,23,Wolfsburg,Bundesliga,26.2,1732.0,193.0,903.0,781.0,59.0,22.0,1732.0,15.0,7.0,46.7,8.0,53.3,925.0,4290.0,2119.0,5.0,9.0,0.0,20.0,1.0,1077.0,5.0
Koen Casteels,BEL,GK,31,Wolfsburg,Bundesliga,25.0,1004.0,794.0,995.0,9.0,0.0,0.0,1004.0,0.0,0.0,0.0,0.0,0.0,605.0,3130.0,1910.0,0.0,0.0,0.0,1.0,0.0,528.0,0.0
Lovro Majer,CRO,"MF,FW",25,Wolfsburg,Bundesliga,23.4,1288.0,14.0,179.0,598.0,531.0,65.0,1286.0,50.0,25.0,50.0,19.0,38.0,794.0,4884.0,2049.0,61.0,38.0,9.0,59.0,27.0,927.0,140.0
Ridle Baku,GER,"DF,MF",25,Wolfsburg,Bundesliga,22.4,1328.0,52.0,313.0,574.0,457.0,54.0,1328.0,40.0,17.0,42.5,18.0,45.0,732.0,3412.0,1536.0,37.0,31.0,9.0,48.0,20.0,811.0,130.0
Moritz Jenz,GER,DF,24,Wolfsburg,Bundesliga,19.4,1274.0,163.0,682.0,578.0,20.0,7.0,1274.0,1.0,1.0,100.0,0.0,0.0,742.0,3467.0,1863.0,2.0,3.0,0.0,6.0,2.0,838.0,4.0
Mattias Svanberg,SWE,MF,24,Wolfsburg,Bundesliga,19.1,1035.0,33.0,199.0,567.0,285.0,29.0,1035.0,30.0,15.0,50.0,13.0,43.3,501.0,2374.0,1249.0,28.0,20.0,7.0,36.0,11.0,649.0,52.0
Cedric Zesiger,SUI,DF,25,Wolfsburg,Bundesliga,18.2,1314.0,141.0,629.0,634.0,58.0,10.0,1314.0,4.0,3.0,75.0,0.0,0.0,729.0,3666.0,2046.0,14.0,9.0,0.0,4.0,6.0,857.0,3.0
Yannick Gerhardt,GER,"MF,DF",29,Wolfsburg,Bundesliga,18.1,904.0,34.0,187.0,474.0,247.0,41.0,904.0,4.0,0.0,0.0,3.0,75.0,453.0,1814.0,856.0,17.0,14.0,4.0,13.0,9.0,575.0,73.0
Sebastiaan Bornauw,BEL,DF,24,Wolfsburg,Bundesliga,15.9,1009.0,142.0,547.0,440.0,25.0,14.0,1009.0,5.0,4.0,80.0,1.0,20.0,539.0,2020.0,807.0,2.0,5.0,0.0,9.0,1.0,650.0,2.0
Kevin Paredes,USA,"FW,MF",20,Wolfsburg,Bundesliga,15.9,809.0,24.0,180.0,325.0,311.0,35.0,809.0,40.0,14.0,35.0,19.0,47.5,478.0,2330.0,1043.0,34.0,24.0,8.0,34.0,17.0,527.0,112.0
Aster Vranckx,BEL,MF,20,Wolfsburg,Bundesliga,12.8,748.0,45.0,209.0,434.0,112.0,6.0,748.0,27.0,16.0,59.3,9.0,33.3,382.0,1706.0,569.0,3.0,6.0,1.0,15.0,11.0,472.0,9.0
Václav Černý,CZE,"FW,MF",25,Wolfsburg,Bundesliga,10.2,472.0,8.0,64.0,180.0,234.0,37.0,472.0,33.0,14.0,42.4,18.0,54.5,274.0,1601.0,786.0,26.0,19.0,10.0,22.0,15.0,337.0,83.0
Tiago Tomás,POR,"FW,MF",21,Wolfsburg,Bundesliga,11.5,447.0,9.0,61.0,184.0,206.0,53.0,447.0,55.0,21.0,38.2,28.0,50.9,281.0,1557.0,548.0,21.0,13.0,19.0,49.0,23.0,339.0,112.0
Rogério,BRA,DF,25,Wolfsburg,Bundesliga,10.1,659.0,25.0,168.0,337.0,163.0,10.0,659.0,18.0,4.0,22.2,13.0,72.2,364.0,2102.0,1019.0,27.0,16.0,4.0,12.0,8.0,369.0,42.0
Pavao Pervan,AUT,GK,35,Wolfsburg,Bundesliga,9.0,314.0,279.0,314.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,170.0,784.0,465.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0
Patrick Wimmer,AUT,"FW,MF",22,Wolfsburg,Bundesliga,6.5,292.0,2.0,42.0,138.0,117.0,23.0,292.0,18.0,8.0,44.4,9.0,50.0,165.0,935.0,441.0,8.0,8.0,3.0,18.0,6.0,197.0,44.0
Kevin Behrens,GER,FW,32,Wolfsburg,Bundesliga,6.8,239.0,5.0,12.0,97.0,132.0,30.0,239.0,8.0,3.0,37.5,5.0,62.5,110.0,391.0,143.0,7.0,3.0,3.0,15.0,10.0,175.0,41.0
Jakub Kamiński,POL,"FW,MF",21,Wolfsburg,Bundesliga,5.3,259.0,6.0,44.0,97.0,119.0,22.0,259.0,12.0,1.0,8.3,11.0,91.7,140.0,791.0,334.0,13.0,5.0,9.0,9.0,14.0,169.0,53.0
Kilian Fischer,GER,"DF,MF",22,Wolfsburg,Bundesliga,3.2,185.0,9.0,60.0,71.0,55.0,8.0,185.0,2.0,1.0,50.0,1.0,50.0,72.0,399.0,179.0,6.0,3.0,1.0,5.0,1.0,93.0,9.0
Nicolas Cozza,FRA,DF,24,Wolfsburg,Bundesliga,3.1,225.0,6.0,75.0,125.0,25.0,1.0,225.0,7.0,4.0,57.1,3.0,42.9,116.0,520.0,266.0,5.0,1.0,0.0,8.0,0.0,141.0,8.0
Amin Sarr,SWE,"FW,MF",22,Wolfsburg,Bundesliga,4.3,181.0,3.0,13.0,89.0,80.0,10.0,181.0,11.0,2.0,18.2,8.0,72.7,112.0,466.0,175.0,3.0,5.0,0.0,13.0,9.0,134.0,26.0
Lukas Nmecha,GER,FW,24,Wolfsburg,Bundesliga,0.5,22.0,0.0,0.0,8.0,14.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,4.0,0.0,1.0,0.0,4.0,2.0,14.0,5.0
Dženan Pejčinović,GER,FW,18,Wolfsburg,Bundesliga,0.4,16.0,0.0,0.0,7.0,9.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,19.0,1.0,0.0,0.0,1.0,0.0,11.0,2.0
Bennit Bröger,GER,FW,17,Wolfsburg,Bundesliga,0.1,8.0,0.0,1.0,5.0,2.0,0.0,8.0,2.0,0.0,0.0,1.0,50.0,6.0,19.0,8.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0
Kofi Amoako,GER,MF,18,Wolfsburg,Bundesliga,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sepp van den Berg,NED,DF,21,Mainz 05,Bundesliga,31.5,1872.0,229.0,964.0,845.0,74.0,34.0,1872.0,5.0,4.0,80.0,1.0,20.0,720.0,3108.0,1384.0,7.0,4.0,0.0,11.0,4.0,912.0,6.0
Robin Zentner,GER,GK,28,Mainz 05,Bundesliga,30.0,1123.0,877.0,1098.0,23.0,3.0,3.0,1123.0,1.0,1.0,100.0,0.0,0.0,610.0,3522.0,1858.0,0.0,0.0,0.0,1.0,0.0,503.0,0.0
Leandro Barreiro Martins,LUX,MF,23,Mainz 05,Bundesliga,29.0,1303.0,74.0,337.0,709.0,268.0,68.0,1303.0,33.0,15.0,45.5,15.0,45.5,487.0,2084.0,922.0,22.0,20.0,6.0,42.0,14.0,672.0,46.0
Anthony Caci,FRA,DF,26,Mainz 05,Bundesliga,27.6,1791.0,89.0,587.0,865.0,358.0,41.0,1791.0,39.0,23.0,59.0,13.0,33.3,837.0,3889.0,2115.0,43.0,20.0,10.0,23.0,10.0,990.0,75.0
Dominik Kohr,GER,"DF,MF",29,Mainz 05,Bundesliga,24.3,1414.0,81.0,541.0,726.0,156.0,28.0,1414.0,11.0,5.0,45.5,6.0,54.5,632.0,2818.0,1235.0,19.0,10.0,2.0,22.0,4.0,811.0,26.0
Lee Jae-sung,KOR,"MF,FW",30,Mainz 05,Bundesliga,23.5,1036.0,32.0,147.0,533.0,363.0,83.0,1036.0,38.0,15.0,39.5,17.0,44.7,506.0,2304.0,920.0,25.0,17.0,4.0,42.0,22.0,730.0,121.0
Phillipp Mwene,AUT,DF,29,Mainz 05,Bundesliga,22.2,1151.0,43.0,302.0,480.0,381.0,29.0,1151.0,32.0,15.0,46.9,13.0,40.6,508.0,3246.0,1571.0,50.0,32.0,6.0,26.0,14.0,587.0,93.0
Brajan Gruda,GER,"MF,FW",19,Mainz 05,Bundesliga,18.2,937.0,9.0,72.0,362.0,541.0,93.0,937.0,148.0,69.0,46.6,63.0,42.6,577.0,4888.0,2497.0,100.0,55.0,44.0,70.0,49.0,623.0,167.0
Jonathan Burkardt,GER,"FW,MF",23,Mainz 05,Bundesliga,17.1,594.0,3.0,46.0,269.0,292.0,73.0,593.0,57.0,23.0,40.4,29.0,50.9,391.0,2340.0,924.0,36.0,25.0,10.0,52.0,37.0,449.0,101.0
Karim Onisiwo,AUT,"FW,MF",31,Mainz 05,Bundesliga,16.6,538.0,12.0,45.0,211.0,285.0,77.0,538.0,45.0,19.0,42.2,17.0,37.8,323.0,1742.0,653.0,26.0,18.0,9.0,52.0,28.0,398.0,111.0
Ludovic Ajorque,FRA,FW,29,Mainz 05,Bundesliga,15.1,603.0,12.0,53.0,314.0,238.0,85.0,601.0,11.0,2.0,18.2,8.0,72.7,260.0,904.0,291.0,5.0,6.0,1.0,42.0,10.0,450.0,88.0
Nadiem Amiri,GER,MF,26,Mainz 05,Bundesliga,14.6,984.0,29.0,149.0,504.0,346.0,15.0,983.0,55.0,25.0,45.5,24.0,43.6,470.0,2454.0,1094.0,16.0,25.0,5.0,22.0,19.0,524.0,22.0
Tom Krauß,GER,MF,22,Mainz 05,Bundesliga,15.0,867.0,40.0,202.0,496.0,181.0,14.0,867.0,12.0,3.0,25.0,8.0,66.7,348.0,1746.0,798.0,12.0,13.0,4.0,27.0,13.0,418.0,29.0
Edimilson Fernandes,SUI,DF,27,Mainz 05,Bundesliga,14.3,951.0,98.0,403.0,418.0,138.0,4.0,951.0,8.0,6.0,75.0,2.0,25.0,483.0,2609.0,1467.0,9.0,12.0,1.0,6.0,5.0,532.0,9.0
Silvan Widmer,SUI,DF,30,Mainz 05,Bundesliga,13.8,827.0,48.0,220.0,400.0,214.0,38.0,827.0,18.0,2.0,11.1,14.0,77.8,307.0,1425.0,786.0,31.0,16.0,6.0,14.0,8.0,418.0,63.0
Andreas Hanche-Olsen,NOR,DF,26,Mainz 05,Bundesliga,11.0,539.0,60.0,303.0,226.0,14.0,5.0,539.0,0.0,0.0,0.0,0.0,0.0,253.0,1219.0,485.0,1.0,1.0,0.0,4.0,2.0,282.0,0.0
Danny da Costa,GER,DF,30,Mainz 05,Bundesliga,9.2,589.0,32.0,163.0,254.0,175.0,11.0,589.0,13.0,7.0,53.8,5.0,38.5,227.0,1219.0,613.0,22.0,9.0,3.0,8.0,7.0,263.0,53.0
Stefan Bell,GER,DF,31,Mainz 05,Bundesliga,7.4,431.0,51.0,231.0,182.0,20.0,8.0,431.0,2.0,2.0,100.0,0.0,0.0,223.0,846.0,336.0,0.0,1.0,0.0,2.0,1.0,270.0,2.0
Marco Richter,GER,"MF,FW",25,Mainz 05,Bundesliga,8.0,426.0,3.0,42.0,175.0,214.0,37.0,426.0,37.0,16.0,43.2,18.0,48.6,239.0,1411.0,651.0,20.0,11.0,9.0,31.0,12.0,296.0,53.0
Josuha Guilavogui,FRA,DF,32,Mainz 05,Bundesliga,4.5,244.0,39.0,157.0,83.0,7.0,4.0,244.0,0.0,0.0,0.0,0.0,0.0,104.0,420.0,138.0,1.0,1.0,0.0,7.0,1.0,113.0,1.0
Maxim Leitsch,GER,DF,25,Mainz 05,Bundesliga,4.2,205.0,26.0,126.0,73.0,6.0,0.0,205.0,2.0,0.0,0.0,2.0,100.0,98.0,388.0,170.0,1.0,0.0,0.0,1.0,0.0,101.0,0.0
Daniel Batz,GER,GK,32,Mainz 05,Bundesliga,4.0,166.0,124.0,162.0,4.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,84.0,433.0,265.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0
Matondo-Merveille Papela,GER,"MF,DF",22,Mainz 05,Bundesliga,2.9,119.0,4.0,23.0,67.0,31.0,7.0,119.0,3.0,3.0,100.0,0.0,0.0,63.0,308.0,126.0,6.0,4.0,3.0,6.0,10.0,68.0,10.0
Jessic Ngankam,GER,"FW,MF",23,Mainz 05,Bundesliga,2.0,58.0,1.0,3.0,26.0,30.0,10.0,58.0,7.0,5.0,71.4,1.0,14.3,42.0,233.0,84.0,3.0,3.0,4.0,4.0,8.0,41.0,11.0
Anton Stach,GER,MF,24,Mainz 05,Bundesliga,1.9,92.0,5.0,13.0,50.0,31.0,5.0,92.0,5.0,3.0,60.0,2.0,40.0,42.0,214.0,100.0,3.0,3.0,1.0,0.0,1.0,53.0,10.0
Aymen Barkok,MAR,"MF,FW",25,Mainz 05,Bundesliga,3.6,238.0,2.0,19.0,116.0,103.0,19.0,237.0,8.0,2.0,25.0,4.0,50.0,123.0,655.0,344.0,14.0,4.0,5.0,12.0,5.0,174.0,33.0
Nelson Weiper,GER,"FW,MF",18,Mainz 05,Bundesliga,1.4,64.0,0.0,5.0,20.0,39.0,10.0,64.0,7.0,2.0,28.6,5.0,71.4,37.0,196.0,107.0,6.0,2.0,2.0,7.0,1.0,45.0,20.0
Anwar El Ghazi,NED,"MF,DF",28,Mainz 05,Bundesliga,0.6,30.0,0.0,2.0,11.0,18.0,3.0,30.0,4.0,2.0,50.0,2.0,50.0,22.0,150.0,85.0,2.0,2.0,0.0,3.0,0.0,26.0,5.0
Marcus Müller,GER,MF,20,Mainz 05,Bundesliga,0.2,8.0,0.0,0.0,1.0,7.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
David Mamutovic,GER,"FW,DF",22,Mainz 05,Bundesliga,0.1,12.0,0.0,2.0,7.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Julian Weigl,GER,MF,27,Gladbach,Bundesliga,30.7,1781.0,95.0,582.0,1038.0,180.0,11.0,1779.0,24.0,14.0,58.3,6.0,25.0,932.0,3694.0,1713.0,14.0,16.0,1.0,17.0,9.0,1102.0,14.0
Nico Elvedi,SUI,DF,26,Gladbach,Bundesliga,27.6,1999.0,289.0,1047.0,881.0,79.0,25.0,1999.0,9.0,6.0,66.7,1.0,11.1,1184.0,6532.0,3837.0,37.0,19.0,0.0,7.0,4.0,1270.0,6.0
Franck Honorat,FRA,"DF,FW",26,Gladbach,Bundesliga,26.1,1413.0,28.0,249.0,501.0,680.0,66.0,1413.0,54.0,21.0,38.9,27.0,50.0,775.0,4677.0,2675.0,97.0,60.0,26.0,26.0,18.0,881.0,242.0
Moritz Nicolas,GER,GK,25,Gladbach,Bundesliga,27.0,1119.0,939.0,1115.0,4.0,0.0,0.0,1119.0,0.0,0.0,0.0,0.0,0.0,739.0,3712.0,2118.0,0.0,0.0,0.0,0.0,0.0,591.0,0.0
Joe Scally,USA,DF,20,Gladbach,Bundesliga,24.8,1581.0,111.0,612.0,707.0,273.0,20.0,1581.0,33.0,11.0,33.3,20.0,60.6,911.0,4302.0,1921.0,39.0,33.0,6.0,22.0,21.0,997.0,75.0
Luca Netz,GER,DF,20,Gladbach,Bundesliga,24.7,1498.0,86.0,486.0,611.0,416.0,41.0,1498.0,48.0,23.0,47.9,21.0,43.8,761.0,3141.0,1564.0,46.0,33.0,9.0,34.0,28.0,843.0,99.0
Rocco Reitz,GER,MF,21,Gladbach,Bundesliga,23.7,1377.0,54.0,380.0,758.0,259.0,46.0,1377.0,52.0,20.0,38.5,25.0,48.1,788.0,3375.0,1648.0,41.0,29.0,12.0,40.0,30.0,870.0,58.0
Maximilian Wöber,AUT,DF,25,Gladbach,Bundesliga,23.0,1798.0,232.0,906.0,757.0,146.0,25.0,1798.0,4.0,2.0,50.0,2.0,50.0,975.0,5004.0,2743.0,32.0,19.0,2.0,6.0,2.0,1066.0,23.0
Alassane Pléa,FRA,"FW,MF",30,Gladbach,Bundesliga,21.3,972.0,6.0,71.0,472.0,446.0,90.0,971.0,53.0,21.0,39.6,26.0,49.1,635.0,3074.0,1633.0,56.0,44.0,21.0,34.0,33.0,766.0,157.0
Ko Itakura,JPN,"DF,MF",26,Gladbach,Bundesliga,17.7,1110.0,142.0,522.0,523.0,74.0,29.0,1110.0,7.0,5.0,71.4,2.0,28.6,628.0,3177.0,1766.0,14.0,11.0,1.0,7.0,5.0,715.0,7.0
Manu Koné,FRA,MF,22,Gladbach,Bundesliga,17.3,925.0,23.0,181.0,525.0,238.0,31.0,925.0,69.0,37.0,53.6,26.0,37.7,579.0,3369.0,1764.0,42.0,33.0,6.0,41.0,41.0,643.0,56.0
Jordan Pefok,USA,FW,27,Gladbach,Bundesliga,15.8,470.0,35.0,56.0,273.0,144.0,64.0,470.0,13.0,3.0,23.1,9.0,69.2,253.0,934.0,285.0,5.0,4.0,2.0,43.0,30.0,337.0,73.0
Marvin Friedrich,GER,DF,27,Gladbach,Bundesliga,17.4,1089.0,158.0,670.0,375.0,47.0,17.0,1089.0,3.0,2.0,66.7,1.0,33.3,652.0,2780.0,1267.0,2.0,7.0,1.0,10.0,1.0,725.0,4.0
Florian Neuhaus,GER,MF,26,Gladbach,Bundesliga,13.6,696.0,15.0,123.0,409.0,175.0,36.0,695.0,21.0,11.0,52.4,8.0,38.1,428.0,2227.0,1211.0,30.0,20.0,5.0,13.0,16.0,518.0,43.0
Nathan N'Goumou,FRA,"FW,MF",23,Gladbach,Bundesliga,15.4,652.0,19.0,102.0,253.0,306.0,68.0,652.0,58.0,20.0,34.5,32.0,55.2,403.0,2906.0,1385.0,52.0,38.0,25.0,32.0,14.0,460.0,150.0
Robin Hack,GER,"FW,MF",24,Gladbach,Bundesliga,15.0,753.0,11.0,116.0,337.0,311.0,65.0,753.0,60.0,26.0,43.3,31.0,51.7,468.0,2855.0,1378.0,50.0,39.0,20.0,49.0,36.0,551.0,103.0
Stefan Lainer,AUT,"DF,MF",30,Gladbach,Bundesliga,8.3,581.0,36.0,195.0,263.0,127.0,13.0,581.0,8.0,2.0,25.0,6.0,75.0,295.0,1315.0,606.0,15.0,14.0,3.0,10.0,4.0,352.0,31.0
Tomáš Čvančara,CZE,FW,22,Gladbach,Bundesliga,10.0,331.0,8.0,26.0,169.0,140.0,45.0,329.0,16.0,5.0,31.3,10.0,62.5,188.0,792.0,314.0,12.0,7.0,7.0,28.0,11.0,266.0,47.0
Jonas Omlin,SUI,GK,29,Gladbach,Bundesliga,7.0,300.0,239.0,299.0,1.0,0.0,0.0,300.0,2.0,2.0,100.0,0.0,0.0,196.0,983.0,536.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0
Christoph Kramer,GER,MF,32,Gladbach,Bundesliga,2.8,227.0,6.0,58.0,109.0,60.0,8.0,227.0,10.0,4.0,40.0,5.0,50.0,128.0,575.0,280.0,10.0,3.0,4.0,3.0,4.0,140.0,8.0
Fabio Chiarodia,ITA,DF,18,Gladbach,Bundesliga,1.7,108.0,18.0,73.0,31.0,5.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,64.0,330.0,148.0,0.0,0.0,0.0,0.0,1.0,70.0,1.0
Patrick Herrmann,GER,"FW,DF",32,Gladbach,Bundesliga,1.0,58.0,2.0,5.0,22.0,32.0,9.0,58.0,1.0,0.0,0.0,0.0,0.0,27.0,148.0,92.0,3.0,4.0,1.0,1.0,1.0,34.0,8.0
Grant Ranos,ARM,"MF,FW",20,Gladbach,Bundesliga,0.5,36.0,0.0,1.0,15.0,20.0,4.0,36.0,3.0,1.0,33.3,2.0,66.7,20.0,82.0,14.0,0.0,1.0,0.0,2.0,5.0,23.0,4.0
Lukas Ullrich,GER,"DF,FW",19,Gladbach,Bundesliga,0.5,29.0,1.0,7.0,9.0,13.0,0.0,29.0,1.0,0.0,0.0,1.0,100.0,20.0,79.0,17.0,0.0,1.0,0.0,2.0,3.0,21.0,6.0
Shiō Fukuda,JPN,"FW,MF",19,Gladbach,Bundesliga,0.4,15.0,0.0,2.0,4.0,9.0,5.0,15.0,1.0,1.0,100.0,0.0,0.0,8.0,41.0,4.0,0.0,0.0,0.0,1.0,3.0,9.0,2.0
