player,nationality,position,age,club,league,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Nick Olij,NED,GK,27.0,Sparta R'dam,Eredivisie,34.0,2.0,1,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0,2.0,11.0,4.0
Saïd Bakari,COM,DF,28.0,Sparta R'dam,Eredivisie,31.7,86.0,63,51.0,30.0,5.0,55.0,88.0,62.5,33.0,43.0,13.0,30.0,28,114.0,81.0,1.0
Tobias Lauritsen,NOR,FW,25.0,Sparta R'dam,Eredivisie,27.6,12.0,4,3.0,5.0,4.0,5.0,15.0,33.3,10.0,21.0,3.0,18.0,3,15.0,38.0,0.0
Djevencio van der Kust,SUR,DF,22.0,Sparta R'dam,Eredivisie,27.8,57.0,36,36.0,17.0,4.0,23.0,57.0,40.4,34.0,46.0,18.0,28.0,35,92.0,85.0,2.0
Arno Verschueren,BEL,MF,26.0,Sparta R'dam,Eredivisie,26.3,53.0,35,23.0,23.0,7.0,14.0,37.0,37.8,23.0,28.0,4.0,24.0,18,71.0,23.0,1.0
Bart Vriends,NED,DF,32.0,Sparta R'dam,Eredivisie,24.5,25.0,18,18.0,6.0,1.0,15.0,23.0,65.2,8.0,29.0,17.0,12.0,30,55.0,124.0,2.0
Jonathan de Guzmán,NED,MF,35.0,Sparta R'dam,Eredivisie,21.4,19.0,9,9.0,10.0,0.0,10.0,30.0,33.3,20.0,32.0,13.0,19.0,24,43.0,41.0,0.0
Joshua Kitolano,NOR,MF,21.0,Sparta R'dam,Eredivisie,23.4,33.0,19,13.0,17.0,3.0,17.0,40.0,42.5,23.0,30.0,16.0,14.0,6,39.0,29.0,3.0
Pelle Clement,NED,"MF,FW",27.0,Sparta R'dam,Eredivisie,21.1,35.0,17,16.0,14.0,5.0,18.0,45.0,40.0,27.0,29.0,12.0,17.0,18,53.0,46.0,0.0
Koki Saito,JPN,FW,21.0,Sparta R'dam,Eredivisie,18.4,16.0,11,8.0,4.0,4.0,10.0,21.0,47.6,11.0,14.0,3.0,11.0,5,21.0,20.0,0.0
Tijs Velthuis,NED,DF,21.0,Sparta R'dam,Eredivisie,19.6,26.0,18,17.0,8.0,1.0,16.0,20.0,80.0,4.0,16.0,7.0,9.0,6,32.0,103.0,0.0
Mike Eerdhuijzen,NED,DF,23.0,Sparta R'dam,Eredivisie,14.7,17.0,10,6.0,9.0,2.0,10.0,15.0,66.7,5.0,30.0,24.0,6.0,22,39.0,82.0,1.0
Shunsuke Mito,JPN,"FW,MF",20.0,Sparta R'dam,Eredivisie,11.3,14.0,9,6.0,6.0,2.0,8.0,16.0,50.0,8.0,3.0,2.0,1.0,7,21.0,11.0,0.0
Camiel Neghli,NED,FW,21.0,Sparta R'dam,Eredivisie,15.0,25.0,14,11.0,13.0,1.0,17.0,29.0,58.6,12.0,16.0,1.0,15.0,9,34.0,15.0,0.0
Metinho,BRA,MF,20.0,Sparta R'dam,Eredivisie,14.1,51.0,34,25.0,22.0,4.0,20.0,38.0,52.6,18.0,18.0,4.0,14.0,20,71.0,29.0,0.0
Charles-Andréas Brym,CAN,"FW,MF",24.0,Sparta R'dam,Eredivisie,15.3,16.0,12,11.0,2.0,3.0,4.0,10.0,40.0,6.0,6.0,0.0,6.0,4,20.0,18.0,1.0
Django Warmerdam,NED,"DF,FW",27.0,Sparta R'dam,Eredivisie,9.9,19.0,13,9.0,7.0,3.0,14.0,24.0,58.3,10.0,10.0,1.0,9.0,12,31.0,29.0,0.0
Rick Meijssen,NED,DF,21.0,Sparta R'dam,Eredivisie,9.8,10.0,5,7.0,2.0,1.0,8.0,11.0,72.7,3.0,19.0,16.0,3.0,10,20.0,52.0,1.0
Vito van Crooy,NED,FW,27.0,Sparta R'dam,Eredivisie,2.9,3.0,1,3.0,0.0,0.0,3.0,4.0,75.0,1.0,3.0,1.0,2.0,2,5.0,5.0,0.0
Augustin Anello,BEL,"FW,MF",21.0,Sparta R'dam,Eredivisie,2.5,4.0,3,2.0,1.0,1.0,2.0,10.0,20.0,8.0,2.0,0.0,2.0,0,4.0,0.0,0.0
Jeremy van Mullem,NED,MF,24.0,Sparta R'dam,Eredivisie,0.8,2.0,0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,2.0,2.0,0.0
Rayvien Rosario,CUW,"FW,DF",19.0,Sparta R'dam,Eredivisie,0.5,3.0,3,2.0,0.0,1.0,1.0,3.0,33.3,2.0,2.0,1.0,1.0,0,3.0,3.0,0.0
Hamza el Dahri,NED,"MF,FW",18.0,Sparta R'dam,Eredivisie,0.4,2.0,2,1.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0
Mehmet Yuksel,NED,"DF,FW",21.0,Sparta R'dam,Eredivisie,0.1,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Jesse Bal,NED,MF,16.0,Sparta R'dam,Eredivisie,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Sergi Rosanas,ESP,DF,22.0,Sparta R'dam,Eredivisie,0.1,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Jeffrey De Lange,NED,GK,25.0,Go Ahead Eag,Eredivisie,34.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,2.0
Bas Kuipers,NED,DF,28.0,Go Ahead Eag,Eredivisie,32.8,47.0,28,24.0,17.0,6.0,31.0,55.0,56.4,24.0,34.0,15.0,19.0,31,78.0,90.0,0.0
Mats Deijl,NED,DF,26.0,Go Ahead Eag,Eredivisie,30.9,54.0,40,21.0,27.0,6.0,31.0,56.0,55.4,25.0,25.0,7.0,18.0,18,72.0,105.0,0.0
Willum Þór Willumsson,ISL,MF,24.0,Go Ahead Eag,Eredivisie,29.7,32.0,17,7.0,18.0,7.0,6.0,18.0,33.3,12.0,25.0,6.0,19.0,12,44.0,44.0,0.0
Evert Linthorst,NED,MF,23.0,Go Ahead Eag,Eredivisie,26.3,39.0,19,16.0,18.0,5.0,21.0,41.0,51.2,20.0,37.0,17.0,20.0,36,75.0,79.0,0.0
Oliver Edvardsen,NOR,"FW,MF",24.0,Go Ahead Eag,Eredivisie,26.1,30.0,12,9.0,15.0,6.0,15.0,48.0,31.3,33.0,26.0,2.0,24.0,18,48.0,28.0,0.0
Joris Kramer,NED,DF,26.0,Go Ahead Eag,Eredivisie,28.5,37.0,25,25.0,12.0,0.0,20.0,29.0,69.0,9.0,48.0,35.0,13.0,26,63.0,174.0,1.0
Bobby Adekanye,NED,FW,24.0,Go Ahead Eag,Eredivisie,20.0,18.0,11,6.0,9.0,3.0,8.0,27.0,29.6,19.0,18.0,2.0,16.0,4,22.0,12.0,0.0
Victor Edvardsen,SWE,FW,27.0,Go Ahead Eag,Eredivisie,20.3,5.0,4,1.0,2.0,2.0,0.0,8.0,0.0,8.0,10.0,1.0,9.0,2,7.0,12.0,0.0
Jamal Amofa,NED,DF,24.0,Go Ahead Eag,Eredivisie,18.5,31.0,19,25.0,6.0,0.0,13.0,20.0,65.0,7.0,29.0,26.0,3.0,17,48.0,51.0,1.0
Philippe Rommens,BEL,MF,25.0,Go Ahead Eag,Eredivisie,18.0,30.0,17,13.0,14.0,3.0,11.0,26.0,42.3,15.0,10.0,5.0,5.0,25,55.0,17.0,0.0
Gerrit Nauber,GER,DF,31.0,Go Ahead Eag,Eredivisie,19.5,15.0,7,6.0,8.0,1.0,10.0,16.0,62.5,6.0,33.0,27.0,6.0,15,30.0,102.0,1.0
Jakob Breum,DEN,FW,19.0,Go Ahead Eag,Eredivisie,16.1,27.0,17,13.0,7.0,7.0,16.0,35.0,45.7,19.0,28.0,3.0,25.0,10,37.0,16.0,0.0
Enric Llansana,NED,"MF,DF",22.0,Go Ahead Eag,Eredivisie,13.6,51.0,32,21.0,22.0,8.0,28.0,41.0,68.3,13.0,32.0,8.0,24.0,13,64.0,31.0,0.0
Thibo Baeten,BEL,"FW,MF",21.0,Go Ahead Eag,Eredivisie,10.1,16.0,7,4.0,6.0,6.0,8.0,19.0,42.1,11.0,14.0,0.0,14.0,4,20.0,10.0,0.0
Xander Blomme,BEL,MF,21.0,Go Ahead Eag,Eredivisie,7.9,29.0,15,15.0,7.0,7.0,13.0,22.0,59.1,9.0,20.0,5.0,15.0,18,47.0,20.0,0.0
Sylla Sow,NED,FW,26.0,Go Ahead Eag,Eredivisie,7.0,11.0,7,4.0,2.0,5.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1,12.0,2.0,0.0
Søren Tengstedt,DEN,"MF,FW",23.0,Go Ahead Eag,Eredivisie,4.5,9.0,8,2.0,5.0,2.0,4.0,9.0,44.4,5.0,2.0,1.0,1.0,1,10.0,3.0,0.0
Finn Stokkers,NED,FW,27.0,Go Ahead Eag,Eredivisie,4.2,6.0,3,2.0,3.0,1.0,3.0,6.0,50.0,3.0,2.0,0.0,2.0,2,8.0,3.0,0.0
Luca Everink,NED,DF,22.0,Go Ahead Eag,Eredivisie,3.1,7.0,2,6.0,1.0,0.0,2.0,8.0,25.0,6.0,4.0,1.0,3.0,9,16.0,6.0,0.0
Dean James,NED,"DF,FW",23.0,Go Ahead Eag,Eredivisie,1.1,3.0,2,3.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,0.0,3.0,2,5.0,4.0,0.0
Pim Saathof,NED,DF,19.0,Go Ahead Eag,Eredivisie,0.6,5.0,5,3.0,2.0,0.0,4.0,5.0,80.0,1.0,1.0,1.0,0.0,0,5.0,5.0,0.0
Rashaan Fernandes,NED,"FW,MF",24.0,Go Ahead Eag,Eredivisie,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Rodrigo Guth,BRA,DF,22.0,Fortuna Sittard,Eredivisie,31.3,36.0,19,22.0,12.0,2.0,24.0,36.0,66.7,12.0,37.0,24.0,13.0,32,68.0,105.0,2.0
Ivo Pinto,POR,DF,33.0,Fortuna Sittard,Eredivisie,31.2,59.0,41,39.0,14.0,6.0,35.0,63.0,55.6,28.0,25.0,6.0,19.0,25,84.0,72.0,0.0
Iñigo Córdoba,ESP,"FW,MF",26.0,Fortuna Sittard,Eredivisie,29.2,92.0,62,46.0,31.0,15.0,37.0,85.0,43.5,48.0,63.0,6.0,57.0,42,134.0,24.0,0.0
Deroy Duarte,CPV,MF,24.0,Fortuna Sittard,Eredivisie,26.9,64.0,35,26.0,34.0,4.0,33.0,62.0,53.2,29.0,30.0,8.0,22.0,27,91.0,43.0,0.0
Mitchell Dijks,NED,DF,30.0,Fortuna Sittard,Eredivisie,26.0,56.0,33,34.0,14.0,8.0,38.0,51.0,74.5,13.0,34.0,5.0,29.0,20,76.0,51.0,0.0
Dimitris Siovas,GRE,DF,34.0,Fortuna Sittard,Eredivisie,25.6,36.0,17,27.0,7.0,2.0,17.0,29.0,58.6,12.0,28.0,19.0,9.0,49,85.0,120.0,0.0
Kaj Sierhuis,NED,FW,25.0,Fortuna Sittard,Eredivisie,24.2,11.0,5,1.0,4.0,6.0,4.0,18.0,22.2,14.0,16.0,4.0,12.0,0,11.0,11.0,0.0
Alen Halilović,CRO,"MF,FW",27.0,Fortuna Sittard,Eredivisie,23.3,24.0,13,9.0,12.0,3.0,18.0,37.0,48.6,19.0,20.0,2.0,18.0,9,33.0,4.0,0.0
Loreintz Rosier,FRA,MF,24.0,Fortuna Sittard,Eredivisie,19.0,57.0,31,33.0,19.0,5.0,19.0,36.0,52.8,17.0,37.0,7.0,30.0,41,98.0,50.0,0.0
Ivor Pandur,CRO,GK,23.0,Fortuna Sittard,Eredivisie,16.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,3.0,0.0
Justin Lonwijk,SUR,"FW,MF",23.0,Fortuna Sittard,Eredivisie,11.4,24.0,15,8.0,13.0,3.0,10.0,20.0,50.0,10.0,8.0,0.0,8.0,13,37.0,5.0,0.0
Tijjani Noslin,NED,FW,24.0,Fortuna Sittard,Eredivisie,11.3,16.0,9,4.0,10.0,2.0,9.0,17.0,52.9,8.0,19.0,2.0,17.0,8,24.0,5.0,0.0
Michael Verrips,NED,GK,26.0,Fortuna Sittard,Eredivisie,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0
Oğuzhan Özyakup,TUR,MF,30.0,Fortuna Sittard,Eredivisie,10.7,25.0,18,8.0,14.0,3.0,17.0,30.0,56.7,13.0,15.0,2.0,13.0,14,39.0,6.0,0.0
Siemen Voet,BEL,DF,23.0,Fortuna Sittard,Eredivisie,10.9,24.0,18,16.0,5.0,3.0,16.0,24.0,66.7,8.0,17.0,10.0,7.0,19,43.0,48.0,0.0
Arianit Ferati,KVX,"MF,DF",25.0,Fortuna Sittard,Eredivisie,8.2,18.0,9,6.0,8.0,4.0,8.0,24.0,33.3,16.0,7.0,0.0,7.0,8,26.0,10.0,0.0
Ragnar Oratmangoen,IDN,"MF,FW",25.0,Fortuna Sittard,Eredivisie,9.8,10.0,6,5.0,1.0,4.0,7.0,15.0,46.7,8.0,8.0,1.0,7.0,8,18.0,7.0,0.0
Sadik Fofana,TOG,DF,20.0,Fortuna Sittard,Eredivisie,7.0,24.0,13,17.0,7.0,0.0,9.0,22.0,40.9,13.0,10.0,6.0,4.0,3,27.0,17.0,0.0
Rémy Vita,MAD,"DF,MF",22.0,Fortuna Sittard,Eredivisie,6.6,23.0,17,13.0,9.0,1.0,10.0,21.0,47.6,11.0,11.0,3.0,8.0,11,34.0,13.0,0.0
Kristoffer Peterson,SWE,"MF,FW",28.0,Fortuna Sittard,Eredivisie,6.5,2.0,1,0.0,1.0,1.0,0.0,4.0,0.0,4.0,9.0,0.0,9.0,1,3.0,2.0,0.0
Luuk Koopmans,NED,GK,29.0,Fortuna Sittard,Eredivisie,5.0,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Alessio da Cruz,CPV,"FW,MF",26.0,Fortuna Sittard,Eredivisie,4.5,3.0,3,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1,4.0,1.0,0.0
Marko Lazetić,SRB,"FW,DF",19.0,Fortuna Sittard,Eredivisie,2.0,2.0,1,1.0,0.0,1.0,1.0,5.0,20.0,4.0,1.0,0.0,1.0,0,2.0,2.0,0.0
Iman Griffith,NED,"FW,MF",21.0,Fortuna Sittard,Eredivisie,2.7,5.0,4,1.0,2.0,2.0,1.0,7.0,14.3,6.0,3.0,1.0,2.0,2,7.0,1.0,0.0
Milan Robberechts,BEL,"FW,MF",19.0,Fortuna Sittard,Eredivisie,2.4,7.0,3,2.0,2.0,3.0,2.0,5.0,40.0,3.0,2.0,0.0,2.0,2,9.0,2.0,0.0
Paul Gladon,NED,FW,31.0,Fortuna Sittard,Eredivisie,1.9,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1.0,3.0,0.0
Mouhamed Belkheir,FRA,"FW,MF",24.0,Fortuna Sittard,Eredivisie,4.7,4.0,2,1.0,2.0,1.0,3.0,6.0,50.0,3.0,3.0,0.0,3.0,0,4.0,2.0,0.0
Tom Hendriks,NED,GK,21.0,Fortuna Sittard,Eredivisie,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
Nathan Markelo,CUW,DF,24.0,Fortuna Sittard,Eredivisie,0.8,2.0,2,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0,2.0,2.0,0.0
Jayden Braaf,NED,"FW,MF",20.0,Fortuna Sittard,Eredivisie,0.5,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0
Daan Bisschops,NED,MF,18.0,Fortuna Sittard,Eredivisie,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Sjors Hermsen,NED,"FW,MF",16.0,Fortuna Sittard,Eredivisie,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mats Köhlert,GER,DF,25.0,Heerenveen,Eredivisie,32.9,46.0,21,24.0,17.0,5.0,21.0,49.0,42.9,28.0,26.0,12.0,14.0,34,80.0,72.0,0.0
Simon Olsson,SWE,"MF,FW",25.0,Heerenveen,Eredivisie,30.3,56.0,32,26.0,25.0,5.0,31.0,57.0,54.4,26.0,39.0,5.0,34.0,24,80.0,13.0,0.0
Sven van Beek,NED,DF,29.0,Heerenveen,Eredivisie,29.1,56.0,35,39.0,13.0,4.0,38.0,46.0,82.6,8.0,39.0,15.0,24.0,52,108.0,136.0,1.0
Thom Haye,IDN,MF,28.0,Heerenveen,Eredivisie,29.0,54.0,36,21.0,25.0,8.0,24.0,52.0,46.2,28.0,28.0,6.0,22.0,30,84.0,47.0,0.0
Osame Sahraoui,NOR,FW,22.0,Heerenveen,Eredivisie,27.4,17.0,12,6.0,5.0,6.0,6.0,21.0,28.6,15.0,10.0,0.0,10.0,10,27.0,11.0,2.0
Paweł Bochniewicz,POL,DF,27.0,Heerenveen,Eredivisie,25.7,27.0,14,19.0,7.0,1.0,16.0,29.0,55.2,13.0,42.0,33.0,9.0,25,52.0,116.0,1.0
Pelle van Amersfoort,NED,FW,27.0,Heerenveen,Eredivisie,23.7,12.0,6,3.0,7.0,2.0,3.0,17.0,17.6,14.0,11.0,2.0,9.0,7,19.0,18.0,0.0
Luuk Brouwers,NED,MF,25.0,Heerenveen,Eredivisie,22.5,26.0,11,8.0,12.0,6.0,13.0,34.0,38.2,21.0,20.0,5.0,15.0,17,43.0,15.0,0.0
Oliver Braude,NOR,DF,19.0,Heerenveen,Eredivisie,23.5,78.0,52,44.0,28.0,6.0,39.0,62.0,62.9,23.0,47.0,10.0,37.0,18,96.0,70.0,1.0
Andries Noppert,NED,GK,29.0,Heerenveen,Eredivisie,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.0,5.0
Ché Nunnely,NED,FW,24.0,Heerenveen,Eredivisie,19.0,18.0,10,7.0,6.0,5.0,11.0,24.0,45.8,13.0,21.0,1.0,20.0,7,25.0,6.0,0.0
Patrik Wålemark,SWE,FW,21.0,Heerenveen,Eredivisie,13.8,25.0,16,11.0,9.0,5.0,13.0,28.0,46.4,15.0,16.0,2.0,14.0,9,34.0,13.0,0.0
Syb Van Ottele,NED,"DF,MF",21.0,Heerenveen,Eredivisie,15.9,29.0,20,19.0,8.0,2.0,16.0,35.0,45.7,19.0,24.0,11.0,13.0,22,51.0,61.0,3.0
Anas Tahiri,BEL,MF,28.0,Heerenveen,Eredivisie,12.9,7.0,6,2.0,5.0,0.0,3.0,10.0,30.0,7.0,11.0,3.0,8.0,4,11.0,19.0,0.0
Mickey van der Hart,NED,GK,29.0,Heerenveen,Eredivisie,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4.0,0.0
Hussein Ali,IRQ,"DF,FW",21.0,Heerenveen,Eredivisie,7.8,11.0,7,8.0,2.0,1.0,8.0,14.0,57.1,6.0,7.0,2.0,5.0,12,23.0,25.0,0.0
Ion Nicolaescu,MDA,FW,24.0,Heerenveen,Eredivisie,7.8,3.0,2,0.0,1.0,2.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,1,4.0,3.0,1.0
Denzel Hall,NED,DF,22.0,Heerenveen,Eredivisie,4.6,13.0,8,11.0,1.0,1.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,5,18.0,15.0,1.0
Espen van Ee,NED,"MF,FW",20.0,Heerenveen,Eredivisie,4.6,13.0,7,4.0,7.0,2.0,4.0,15.0,26.7,11.0,9.0,2.0,7.0,5,18.0,5.0,1.0
Charlie Webster,ENG,"MF,FW",19.0,Heerenveen,Eredivisie,2.6,7.0,6,1.0,6.0,0.0,4.0,10.0,40.0,6.0,2.0,0.0,2.0,2,9.0,2.0,0.0
Loizos Loizou,CYP,"FW,MF",20.0,Heerenveen,Eredivisie,1.5,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,0,0.0,1.0,0.0
Daniel Karlsbakk,NOR,"FW,MF",20.0,Heerenveen,Eredivisie,3.3,4.0,3,2.0,1.0,1.0,2.0,4.0,50.0,2.0,3.0,0.0,3.0,1,5.0,1.0,0.0
Melle Witteveen,NED,FW,20.0,Heerenveen,Eredivisie,0.8,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,1,2.0,1.0,0.0
Djenahro Nunumete,NED,DF,21.0,Heerenveen,Eredivisie,0.6,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1,2.0,1.0,0.0
Nathan Tjoe-A-On,IDN,"FW,DF",21.0,Heerenveen,Eredivisie,0.2,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0
Sam Kersten,NED,DF,25.0,Zwolle,Eredivisie,34.0,63.0,43,45.0,16.0,2.0,26.0,46.0,56.5,20.0,48.0,29.0,19.0,55,118.0,148.0,1.0
Jasper Schendelaar,NED,GK,22.0,Zwolle,Eredivisie,32.0,1.0,1,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,3,4.0,17.0,4.0
Bram van Polen,NED,DF,37.0,Zwolle,Eredivisie,29.5,34.0,24,20.0,10.0,4.0,22.0,39.0,56.4,17.0,39.0,20.0,19.0,27,61.0,113.0,1.0
Thomas Lam,FIN,DF,29.0,Zwolle,Eredivisie,29.4,34.0,20,28.0,5.0,1.0,27.0,40.0,67.5,13.0,25.0,13.0,12.0,25,59.0,151.0,0.0
Lennart Thy,GER,"FW,MF",31.0,Zwolle,Eredivisie,29.7,19.0,9,9.0,7.0,3.0,7.0,22.0,31.8,15.0,18.0,3.0,15.0,11,30.0,27.0,1.0
Younes Namli,DEN,"FW,MF",29.0,Zwolle,Eredivisie,28.5,37.0,18,16.0,11.0,10.0,24.0,47.0,51.1,23.0,26.0,2.0,24.0,11,48.0,20.0,1.0
Anselmo García MacNulty,IRL,DF,20.0,Zwolle,Eredivisie,27.9,73.0,42,48.0,19.0,6.0,50.0,82.0,61.0,32.0,31.0,15.0,16.0,36,109.0,78.0,0.0
Dave Van Den Berg,NED,MF,23.0,Zwolle,Eredivisie,28.4,64.0,44,32.0,26.0,6.0,34.0,57.0,59.6,23.0,35.0,3.0,32.0,24,88.0,33.0,0.0
Odysseus Velanas,NED,"MF,FW",25.0,Zwolle,Eredivisie,23.8,24.0,18,14.0,3.0,7.0,16.0,43.0,37.2,27.0,20.0,4.0,16.0,7,31.0,35.0,0.0
Eliano Reijnders,NED,"FW,DF",22.0,Zwolle,Eredivisie,23.1,34.0,24,16.0,15.0,3.0,17.0,47.0,36.2,30.0,22.0,3.0,19.0,22,56.0,38.0,0.0
Zico Buurmeester,NED,MF,21.0,Zwolle,Eredivisie,15.1,23.0,15,13.0,9.0,1.0,11.0,25.0,44.0,14.0,15.0,6.0,9.0,25,48.0,29.0,0.0
Anouar El Azzouzi,NED,MF,22.0,Zwolle,Eredivisie,14.6,45.0,27,25.0,18.0,2.0,22.0,43.0,51.2,21.0,19.0,5.0,14.0,18,63.0,59.0,0.0
Ferdy Druijf,NED,"FW,MF",25.0,Zwolle,Eredivisie,10.5,4.0,3,1.0,0.0,3.0,3.0,8.0,37.5,5.0,6.0,3.0,3.0,0,4.0,11.0,0.0
Filip Krastev,BUL,MF,21.0,Zwolle,Eredivisie,10.0,31.0,20,14.0,15.0,2.0,12.0,27.0,44.4,15.0,18.0,2.0,16.0,13,44.0,12.0,2.0
Silvester van der Water,NED,"FW,MF",26.0,Zwolle,Eredivisie,6.4,15.0,9,9.0,4.0,2.0,9.0,16.0,56.3,7.0,9.0,2.0,7.0,5,20.0,8.0,0.0
Ryan Thomas,NZL,MF,28.0,Zwolle,Eredivisie,3.7,11.0,9,4.0,5.0,2.0,7.0,11.0,63.6,4.0,7.0,2.0,5.0,6,17.0,16.0,0.0
Apostolos Vellios,GRE,"FW,MF",31.0,Zwolle,Eredivisie,8.1,2.0,2,0.0,1.0,1.0,1.0,5.0,20.0,4.0,1.0,0.0,1.0,0,2.0,19.0,0.0
Nick Fichtinger,NED,MF,20.0,Zwolle,Eredivisie,3.9,17.0,7,7.0,9.0,1.0,7.0,16.0,43.8,9.0,3.0,2.0,1.0,6,23.0,5.0,0.0
Damian van der Haar,NED,DF,20.0,Zwolle,Eredivisie,3.2,6.0,3,5.0,1.0,0.0,5.0,9.0,55.6,4.0,6.0,2.0,4.0,6,12.0,9.0,0.0
Bart van Hintum,NED,DF,36.0,Zwolle,Eredivisie,2.0,6.0,3,3.0,2.0,1.0,4.0,6.0,66.7,2.0,1.0,0.0,1.0,6,12.0,8.0,0.0
Mike Hauptmeijer,NED,GK,26.0,Zwolle,Eredivisie,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0
Lennart-Marten Czyborra,GER,DF,24.0,Zwolle,Eredivisie,1.7,1.0,0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1,2.0,3.0,0.0
Kaj de Rooij,NED,"FW,MF",22.0,Zwolle,Eredivisie,1.8,6.0,3,3.0,3.0,0.0,4.0,4.0,100.0,0.0,2.0,1.0,1.0,0,6.0,2.0,0.0
Dean Huiberts,NED,"MF,DF",23.0,Zwolle,Eredivisie,1.3,2.0,2,0.0,1.0,1.0,1.0,7.0,14.3,6.0,2.0,0.0,2.0,4,6.0,4.0,0.0
Nicolás Serrano,ESP,"FW,MF",20.0,Zwolle,Eredivisie,1.6,5.0,5,3.0,2.0,0.0,4.0,5.0,80.0,1.0,2.0,0.0,2.0,0,5.0,1.0,0.0
Divaio Jhaïr-Bobson,NED,"DF,FW",19.0,Zwolle,Eredivisie,0.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
Anthony Fontana,USA,"MF,FW",23.0,Zwolle,Eredivisie,0.5,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0
Mohamed Oukhattou,NED,"FW,MF",18.0,Zwolle,Eredivisie,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0,0.0,1.0,0.0
Teun Gijselhart,NED,MF,18.0,Zwolle,Eredivisie,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Thomas Robinet,FRA,"FW,MF",26.0,Almere City,Eredivisie,31.7,39.0,18,13.0,15.0,11.0,19.0,39.0,48.7,20.0,31.0,0.0,31.0,11,50.0,44.0,0.0
Peer Koopmeiners,NED,MF,23.0,Almere City,Eredivisie,30.8,115.0,66,57.0,50.0,8.0,51.0,99.0,51.5,48.0,59.0,18.0,41.0,41,156.0,88.0,1.0
