player,nationality,position,age,club,league,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Julian Justvan,GER,"FW,MF",25,Hoffenheim,Bundesliga,0.5,0,1,0.0,0.0,1.84,0.0,0.0,0.0,25.0,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Bambasé Conté,GER,"MF,FW",20,Hoffenheim,Bundesliga,0.5,0,3,0.0,0.0,5.63,0.0,0.0,0.0,19.3,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Max Moerstedt,GER,"DF,FW",18,Hoffenheim,Bundesliga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Kasim Nuhu,GHA,DF,28,Hoffenheim,Bundesliga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Diadie Samassékou,MLI,MF,27,Hoffenheim,Bundesliga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patrick Mainka,GER,DF,28,Heidenheim,Bundesliga,34.0,2,29,6.0,20.7,0.85,0.18,0.07,0.33,9.4,0.0,0,0,3.2,3.2,0.11,-1.2,-1.2
Kevin Müller,GER,GK,32,Heidenheim,Bundesliga,34.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Tim Kleindienst,GER,FW,27,Heidenheim,Bundesliga,31.9,12,81,31.0,38.3,2.54,0.97,0.12,0.32,13.6,0.0,2,2,13.9,12.3,0.15,-1.9,-2.3
Eren Dinkçi,GER,"FW,MF",21,Heidenheim,Bundesliga,29.4,10,49,21.0,42.9,1.66,0.71,0.2,0.48,19.7,0.0,0,0,4.3,4.3,0.09,5.7,5.7
Jonas Föhrenbach,GER,DF,27,Heidenheim,Bundesliga,31.0,0,12,0.0,0.0,0.39,0.0,0.0,0.0,20.8,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5
Jan-Niklas Beste,GER,"FW,MF",24,Heidenheim,Bundesliga,28.9,8,48,18.0,37.5,1.66,0.62,0.17,0.44,22.0,10.0,0,1,4.3,3.5,0.07,3.7,4.5
Omar Traoré,GER,DF,25,Heidenheim,Bundesliga,27.5,0,11,1.0,9.1,0.4,0.04,0.0,0.0,28.0,0.0,0,0,0.3,0.3,0.02,-0.3,-0.3
Lennard Maloney,USA,MF,23,Heidenheim,Bundesliga,25.4,1,14,3.0,21.4,0.55,0.12,0.07,0.33,16.2,0.0,0,0,0.8,0.8,0.05,0.2,0.2
Benedikt Gimber,GER,DF,26,Heidenheim,Bundesliga,22.5,1,18,3.0,16.7,0.8,0.13,0.06,0.33,12.2,0.0,0,0,1.4,1.4,0.08,-0.4,-0.4
Jan Schöppner,GER,MF,24,Heidenheim,Bundesliga,22.2,2,17,4.0,23.5,0.77,0.18,0.12,0.5,17.4,0.0,0,0,1.1,1.1,0.06,0.9,0.9
Marvin Pieringer,GER,"MF,FW",23,Heidenheim,Bundesliga,16.8,3,27,8.0,29.6,1.61,0.48,0.11,0.38,14.4,0.0,0,0,2.3,2.3,0.09,0.7,0.7
Norman Theuerkauf,GER,"MF,DF",36,Heidenheim,Bundesliga,14.0,0,7,2.0,28.6,0.5,0.14,0.0,0.0,19.1,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4
Adrian Beck,GER,"MF,FW",26,Heidenheim,Bundesliga,10.8,1,12,3.0,25.0,1.11,0.28,0.08,0.33,13.5,0.0,0,0,1.7,1.7,0.15,-0.7,-0.7
Tim Siersleben,GER,DF,23,Heidenheim,Bundesliga,10.1,0,3,0.0,0.0,0.3,0.0,0.0,0.0,28.2,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Kevin Sessa,GER,"MF,FW",23,Heidenheim,Bundesliga,11.2,3,29,7.0,24.1,2.58,0.62,0.1,0.43,19.9,1.0,0,0,2.9,2.9,0.1,0.1,0.1
Nikola Dovedan,AUT,"MF,FW",29,Heidenheim,Bundesliga,7.3,3,14,5.0,35.7,1.92,0.69,0.21,0.6,16.1,0.0,0,0,1.9,1.9,0.14,1.1,1.1
Marnon Busch,GER,DF,28,Heidenheim,Bundesliga,6.6,0,5,1.0,20.0,0.76,0.15,0.0,0.0,25.3,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Denis Thomalla,GER,"MF,FW",30,Heidenheim,Bundesliga,5.0,0,3,0.0,0.0,0.61,0.0,0.0,0.0,10.6,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3
Florian Pick,GER,"MF,FW",27,Heidenheim,Bundesliga,3.6,0,8,1.0,12.5,2.2,0.28,0.0,0.0,25.4,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
Stefan Schimmer,GER,"MF,FW",29,Heidenheim,Bundesliga,1.7,0,5,0.0,0.0,2.94,0.0,0.0,0.0,9.7,0.0,0,0,0.6,0.6,0.12,-0.6,-0.6
Christian Kühlwetter,GER,MF,27,Heidenheim,Bundesliga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Thomas Keller,GER,"MF,FW",23,Heidenheim,Bundesliga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Marvin Ducksch,GER,FW,29,Werder Bremen,Bundesliga,30.0,12,74,32.0,43.2,2.47,1.07,0.09,0.22,18.9,12.0,5,6,12.8,7.9,0.11,-0.8,-0.9
Mitchell Weiser,GER,"DF,MF",29,Werder Bremen,Bundesliga,29.3,3,44,13.0,29.5,1.5,0.44,0.07,0.23,14.7,0.0,0,0,3.8,3.8,0.09,-0.8,-0.8
Romano Schmid,AUT,"MF,FW",23,Werder Bremen,Bundesliga,28.9,4,38,10.0,26.3,1.31,0.35,0.11,0.4,19.6,1.0,0,0,5.2,5.2,0.14,-1.2,-1.2
Anthony Jung,GER,DF,31,Werder Bremen,Bundesliga,28.7,1,5,1.0,20.0,0.17,0.03,0.2,1.0,13.6,0.0,0,0,0.6,0.6,0.12,0.4,0.4
Michael Zetterer,GER,GK,28,Werder Bremen,Bundesliga,27.0,0,1,0.0,0.0,0.04,0.0,0.0,0.0,9.5,0.0,0,0,0.1,0.1,0.1,-0.1,-0.1
Jens Stage,DEN,MF,26,Werder Bremen,Bundesliga,25.9,3,40,11.0,27.5,1.55,0.43,0.08,0.27,15.8,0.0,0,0,4.4,4.4,0.11,-1.4,-1.4
Marco Friedl,AUT,DF,25,Werder Bremen,Bundesliga,24.4,1,7,1.0,14.3,0.29,0.04,0.14,1.0,25.1,0.0,0,0,0.2,0.2,0.04,0.8,0.8
Miloš Veljković,SRB,DF,27,Werder Bremen,Bundesliga,21.3,2,6,3.0,50.0,0.28,0.14,0.33,0.67,16.1,0.0,0,0,1.7,1.7,0.29,0.3,0.3
Senne Lynen,BEL,MF,24,Werder Bremen,Bundesliga,20.0,0,12,2.0,16.7,0.6,0.1,0.0,0.0,25.1,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4
Felix Agu,GER,"DF,MF",23,Werder Bremen,Bundesliga,17.9,0,11,0.0,0.0,0.61,0.0,0.0,0.0,19.5,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9
Leonardo Bittencourt,GER,MF,29,Werder Bremen,Bundesliga,17.5,1,31,5.0,16.1,1.77,0.29,0.03,0.2,21.0,1.0,0,0,2.2,2.2,0.07,-1.2,-1.2
Olivier Deman,BEL,DF,23,Werder Bremen,Bundesliga,15.2,2,17,7.0,41.2,1.12,0.46,0.12,0.29,14.2,0.0,0,0,1.1,1.1,0.06,0.9,0.9
Nick Woltemade,GER,"FW,MF",21,Werder Bremen,Bundesliga,13.2,2,22,6.0,27.3,1.67,0.45,0.09,0.33,14.2,0.0,0,0,2.4,2.4,0.11,-0.4,-0.4
Niklas Stark,GER,DF,28,Werder Bremen,Bundesliga,12.1,2,4,2.0,50.0,0.33,0.17,0.5,1.0,13.1,0.0,0,0,0.2,0.2,0.05,1.8,1.8
Rafael Borré,COL,FW,27,Werder Bremen,Bundesliga,11.0,4,20,7.0,35.0,1.82,0.64,0.2,0.57,15.4,0.0,0,0,2.4,2.4,0.12,1.6,1.6
Justin Njinmah,GER,FW,22,Werder Bremen,Bundesliga,11.3,6,33,14.0,42.4,2.92,1.24,0.18,0.43,16.2,0.0,0,0,4.9,4.9,0.15,1.1,1.1
Christian Groß,GER,"DF,MF",34,Werder Bremen,Bundesliga,8.9,0,4,1.0,25.0,0.45,0.11,0.0,0.0,18.1,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3
Jiří Pavlenka,CZE,GK,31,Werder Bremen,Bundesliga,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Amos Pieper,GER,DF,25,Werder Bremen,Bundesliga,6.6,0,4,1.0,25.0,0.61,0.15,0.0,0.0,10.2,0.0,0,0,0.5,0.5,0.11,-0.5,-0.5
Julián Malatini,ARG,DF,22,Werder Bremen,Bundesliga,6.7,1,3,1.0,33.3,0.45,0.15,0.33,1.0,19.3,0.0,0,0,1.0,1.0,0.33,0.0,0.0
Dawid Kownacki,POL,FW,26,Werder Bremen,Bundesliga,4.2,0,19,4.0,21.1,4.5,0.95,0.0,0.0,16.2,0.0,0,0,1.3,1.3,0.07,-1.3,-1.3
Niclas Füllkrug,GER,FW,30,Werder Bremen,Bundesliga,2.0,0,5,1.0,20.0,2.5,0.5,0.0,0.0,15.6,0.0,0,0,0.5,0.5,0.09,-0.5,-0.5
Skelly Alvero,FRA,MF,21,Werder Bremen,Bundesliga,1.4,1,5,3.0,60.0,3.66,2.2,0.2,0.33,15.1,0.0,0,0,0.3,0.3,0.07,0.7,0.7
Naby Keïta,GUI,"MF,DF",28,Werder Bremen,Bundesliga,1.2,0,2,0.0,0.0,1.65,0.0,0.0,0.0,22.5,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Nicolai Rapp,GER,DF,26,Werder Bremen,Bundesliga,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Oliver Burke,SCO,FW,26,Werder Bremen,Bundesliga,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Isak Hansen-Aarøen,NOR,MF,18,Werder Bremen,Bundesliga,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Leon Opitz,GER,"FW,DF",18,Werder Bremen,Bundesliga,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Ilia Gruev,BUL,MF,23,Werder Bremen,Bundesliga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Joel Imasuen,USA,FW,18,Werder Bremen,Bundesliga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Noah Atubolu,GER,GK,21,Freiburg,Bundesliga,34.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Maximilian Eggestein,GER,MF,26,Freiburg,Bundesliga,32.4,1,39,8.0,20.5,1.2,0.25,0.03,0.13,19.9,0.0,0,0,2.4,2.4,0.06,-1.4,-1.4
Vincenzo Grifo,ITA,"MF,FW",30,Freiburg,Bundesliga,25.8,8,42,12.0,28.6,1.63,0.46,0.05,0.17,21.9,5.0,6,6,7.7,3.0,0.07,0.3,-1.0
Nicolas Höfler,GER,MF,33,Freiburg,Bundesliga,25.9,1,16,1.0,6.3,0.62,0.04,0.06,1.0,17.4,0.0,0,0,0.7,0.7,0.04,0.3,0.3
Lucas Höler,GER,"FW,MF",29,Freiburg,Bundesliga,25.6,7,32,16.0,50.0,1.25,0.62,0.19,0.38,13.5,0.0,1,2,8.6,7.0,0.22,-1.6,-1.0
Ritsu Doan,JPN,"DF,MF",25,Freiburg,Bundesliga,25.0,7,37,19.0,51.4,1.48,0.76,0.19,0.37,15.4,0.0,0,0,5.0,5.0,0.13,2.0,2.0
Manuel Gulde,GER,DF,32,Freiburg,Bundesliga,22.7,1,12,1.0,8.3,0.53,0.04,0.08,1.0,11.3,0.0,0,0,1.1,1.1,0.09,-0.1,-0.1
Matthias Ginter,GER,DF,29,Freiburg,Bundesliga,21.3,0,7,4.0,57.1,0.33,0.19,0.0,0.0,7.7,0.0,0,0,1.4,1.4,0.2,-1.4,-1.4
Lukas Kübler,GER,DF,30,Freiburg,Bundesliga,20.5,1,8,3.0,37.5,0.39,0.15,0.13,0.33,15.2,0.0,0,0,0.6,0.6,0.07,0.4,0.4
Roland Sallai,HUN,"MF,FW",26,Freiburg,Bundesliga,20.4,3,55,19.0,34.5,2.69,0.93,0.05,0.16,15.8,0.0,0,1,7.9,7.1,0.14,-4.9,-4.1
Kiliann Sildillia,FRA,DF,21,Freiburg,Bundesliga,20.1,0,7,1.0,14.3,0.35,0.05,0.0,0.0,18.7,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6
Michael Gregoritsch,AUT,FW,29,Freiburg,Bundesliga,18.7,7,74,26.0,35.1,3.96,1.39,0.09,0.27,14.2,2.0,0,0,9.2,9.2,0.13,-2.2,-2.2
Merlin Röhl,GER,"MF,FW",21,Freiburg,Bundesliga,16.4,2,24,8.0,33.3,1.46,0.49,0.08,0.25,15.1,0.0,0,0,2.0,2.0,0.08,0.0,0.0
Philipp Lienhart,AUT,DF,27,Freiburg,Bundesliga,14.1,1,7,3.0,42.9,0.5,0.21,0.14,0.33,9.6,0.0,0,0,1.1,1.1,0.16,-0.1,-0.1
Christian Günter,GER,DF,30,Freiburg,Bundesliga,11.8,1,6,2.0,33.3,0.51,0.17,0.17,0.5,22.2,0.0,0,0,0.5,0.5,0.08,0.5,0.5
Yannik Keitel,GER,"DF,MF",23,Freiburg,Bundesliga,10.2,1,6,2.0,33.3,0.59,0.2,0.17,0.5,8.8,0.0,0,0,0.7,0.7,0.12,0.3,0.3
Jordy Makengo,FRA,DF,21,Freiburg,Bundesliga,11.4,0,3,0.0,0.0,0.26,0.0,0.0,0.0,16.9,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2
Noah Weißhaupt,GER,"DF,FW",21,Freiburg,Bundesliga,8.4,1,3,1.0,33.3,0.36,0.12,0.33,1.0,13.9,0.0,0,0,0.4,0.4,0.14,0.6,0.6
Maximilian Philipp,GER,"FW,MF",29,Freiburg,Bundesliga,3.6,1,9,3.0,33.3,2.51,0.84,0.11,0.33,12.7,0.0,0,0,0.5,0.5,0.05,0.5,0.5
Junior Adamu,AUT,"FW,MF",22,Freiburg,Bundesliga,1.2,0,2,1.0,50.0,1.71,0.86,0.0,0.0,12.1,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Florent Muslija,KVX,"MF,FW",25,Freiburg,Bundesliga,1.2,0,2,1.0,50.0,1.71,0.86,0.0,0.0,33.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Attila Szalai,HUN,DF,25,Freiburg,Bundesliga,1.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Kenneth Schmidt,GER,DF,21,Freiburg,Bundesliga,0.8,0,1,0.0,0.0,1.32,0.0,0.0,0.0,29.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Maximilian Breunig,GER,FW,22,Freiburg,Bundesliga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Fabian Rüdlin,GER,MF,26,Freiburg,Bundesliga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Ohis Felix Uduokhai,GER,DF,25,Augsburg,Bundesliga,32.5,2,13,3.0,23.1,0.4,0.09,0.15,0.67,9.2,0.0,0,0,1.4,1.4,0.11,0.6,0.6
Ermedin Demirović,BIH,"FW,MF",25,Augsburg,Bundesliga,31.9,15,77,32.0,41.6,2.41,1.0,0.16,0.38,14.0,0.0,3,4,13.5,10.3,0.13,1.5,1.7
Finn Dahmen,GER,GK,25,Augsburg,Bundesliga,31.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Phillip Tietz,GER,FW,26,Augsburg,Bundesliga,26.5,8,52,18.0,34.6,1.96,0.68,0.15,0.44,15.1,1.0,0,0,8.2,8.2,0.16,-0.2,-0.2
Jeffrey Gouweleeuw,NED,DF,32,Augsburg,Bundesliga,28.8,1,23,3.0,13.0,0.8,0.1,0.04,0.33,15.9,0.0,0,0,1.3,1.3,0.06,-0.3,-0.3
Ruben Vargas,SUI,"MF,FW",24,Augsburg,Bundesliga,21.8,4,49,17.0,34.7,2.25,0.78,0.08,0.24,17.4,3.0,0,0,3.9,3.9,0.08,0.1,0.1
Elvis Rexhbeçaj,GER,MF,25,Augsburg,Bundesliga,22.1,2,28,3.0,10.7,1.27,0.14,0.04,0.33,24.3,0.0,1,1,1.7,1.0,0.03,0.3,0.0
Kevin Mbabu,SUI,DF,28,Augsburg,Bundesliga,22.7,0,4,1.0,25.0,0.18,0.04,0.0,0.0,17.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Mads Pedersen,DEN,DF,26,Augsburg,Bundesliga,19.8,1,13,1.0,7.7,0.66,0.05,0.08,1.0,19.0,0.0,0,0,0.8,0.8,0.06,0.2,0.2
Iago,BRA,DF,26,Augsburg,Bundesliga,18.0,1,18,7.0,38.9,1.0,0.39,0.06,0.14,16.5,0.0,0,0,1.4,1.4,0.08,-0.4,-0.4
Fredrik Jensen,FIN,"MF,FW",25,Augsburg,Bundesliga,14.9,2,14,5.0,35.7,0.94,0.34,0.14,0.4,18.9,0.0,0,0,0.9,0.9,0.06,1.1,1.1
Niklas Dorsch,GER,MF,25,Augsburg,Bundesliga,15.4,0,14,0.0,0.0,0.91,0.0,0.0,0.0,25.1,2.0,0,0,0.7,0.7,0.05,-0.7,-0.7
Arne Engels,BEL,"MF,DF",19,Augsburg,Bundesliga,15.6,3,20,7.0,35.0,1.28,0.45,0.15,0.43,19.9,2.0,0,0,1.8,1.8,0.09,1.2,1.2
Kristijan Jakić,CRO,MF,26,Augsburg,Bundesliga,11.7,2,13,5.0,38.5,1.11,0.43,0.15,0.4,23.9,0.0,0,0,0.8,0.8,0.06,1.2,1.2
Arne Maier,GER,MF,24,Augsburg,Bundesliga,11.1,2,22,5.0,22.7,1.97,0.45,0.09,0.4,22.2,3.0,0,0,1.5,1.5,0.07,0.5,0.5
Maximilian Bauer,GER,DF,23,Augsburg,Bundesliga,9.0,1,4,1.0,25.0,0.44,0.11,0.25,1.0,5.2,0.0,0,0,1.4,1.4,0.34,-0.4,-0.4
Tim Breithaupt,GER,MF,21,Augsburg,Bundesliga,7.0,0,3,0.0,0.0,0.43,0.0,0.0,0.0,27.0,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Robert Gumny,POL,DF,25,Augsburg,Bundesliga,5.3,0,3,1.0,33.3,0.56,0.19,0.0,0.0,13.4,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2
Sven Michel,GER,"FW,MF",33,Augsburg,Bundesliga,6.5,2,12,5.0,41.7,1.85,0.77,0.08,0.2,20.7,0.0,1,2,2.4,0.8,0.07,-0.4,0.2
Patric Pfeiffer,GER,DF,23,Augsburg,Bundesliga,5.7,0,11,0.0,0.0,1.94,0.0,0.0,0.0,17.9,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5
Dion Drena Beljo,CRO,"FW,MF",21,Augsburg,Bundesliga,6.5,2,19,7.0,36.8,2.94,1.08,0.11,0.29,13.4,0.0,0,0,3.0,3.0,0.16,-1.0,-1.0
Tomáš Koubek,CZE,GK,30,Augsburg,Bundesliga,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Mergim Berisha,GER,FW,25,Augsburg,Bundesliga,1.4,0,5,0.0,0.0,3.69,0.0,0.0,0.0,30.7,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Mert Kömür,GER,"MF,DF",18,Augsburg,Bundesliga,1.3,1,2,1.0,50.0,1.53,0.76,0.5,1.0,16.0,0.0,0,0,0.2,0.2,0.1,0.8,0.8
Pep Biel,ESP,"MF,FW",26,Augsburg,Bundesliga,3.2,0,6,1.0,16.7,1.89,0.32,0.0,0.0,15.0,0.0,0,0,1.0,1.0,0.17,-1.0,-1.0
Irvin Cardona,FRA,"MF,DF",25,Augsburg,Bundesliga,0.6,0,3,0.0,0.0,5.0,0.0,0.0,0.0,14.7,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2
Masaya Okugawa,JPN,"FW,DF",27,Augsburg,Bundesliga,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Nathanael Mbuku,FRA,FW,21,Augsburg,Bundesliga,0.1,0,1,0.0,0.0,18.0,0.0,0.0,0.0,23.7,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Mahmut Kücüksahin,TUR,MF,19,Augsburg,Bundesliga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Jonas Wind,DEN,FW,24,Wolfsburg,Bundesliga,29.5,11,72,34.0,47.2,2.44,1.15,0.15,0.32,16.1,0.0,0,1,9.4,8.5,0.12,1.6,2.5
Maximilian Arnold,GER,MF,29,Wolfsburg,Bundesliga,27.8,2,32,12.0,37.5,1.15,0.43,0.06,0.17,27.8,8.0,0,0,1.0,1.0,0.03,1.0,1.0
Joakim Mæhle,DEN,"DF,MF",26,Wolfsburg,Bundesliga,27.2,2,20,6.0,30.0,0.73,0.22,0.1,0.33,18.8,0.0,0,0,1.4,1.4,0.07,0.6,0.6
Maxence Lacroix,FRA,DF,23,Wolfsburg,Bundesliga,26.2,4,12,8.0,66.7,0.46,0.3,0.33,0.5,11.1,0.0,0,0,0.8,0.8,0.07,3.2,3.2
Koen Casteels,BEL,GK,31,Wolfsburg,Bundesliga,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Lovro Majer,CRO,"MF,FW",25,Wolfsburg,Bundesliga,23.4,5,35,10.0,28.6,1.5,0.43,0.09,0.3,21.1,2.0,2,2,5.4,3.8,0.11,-0.4,-0.8
Ridle Baku,GER,"DF,MF",25,Wolfsburg,Bundesliga,22.4,1,27,9.0,33.3,1.21,0.4,0.04,0.11,15.9,1.0,0,0,1.8,1.8,0.07,-0.8,-0.8
Moritz Jenz,GER,DF,24,Wolfsburg,Bundesliga,19.4,0,7,0.0,0.0,0.36,0.0,0.0,0.0,13.6,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
Mattias Svanberg,SWE,MF,24,Wolfsburg,Bundesliga,19.1,1,42,11.0,26.2,2.2,0.58,0.02,0.09,21.5,6.0,0,0,3.0,3.0,0.07,-2.0,-2.0
Cedric Zesiger,SUI,DF,25,Wolfsburg,Bundesliga,18.2,0,16,2.0,12.5,0.88,0.11,0.0,0.0,20.3,0.0,0,0,1.3,1.3,0.08,-1.3,-1.3
Yannick Gerhardt,GER,"MF,DF",29,Wolfsburg,Bundesliga,18.1,2,19,9.0,47.4,1.05,0.5,0.11,0.22,16.2,0.0,0,0,1.9,1.9,0.1,0.1,0.1
Sebastiaan Bornauw,BEL,DF,24,Wolfsburg,Bundesliga,15.9,0,10,4.0,40.0,0.63,0.25,0.0,0.0,10.0,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8
Kevin Paredes,USA,"FW,MF",20,Wolfsburg,Bundesliga,15.9,3,19,7.0,36.8,1.19,0.44,0.16,0.43,16.7,0.0,0,0,3.0,3.0,0.16,0.0,0.0
Aster Vranckx,BEL,MF,20,Wolfsburg,Bundesliga,12.8,0,4,2.0,50.0,0.31,0.16,0.0,0.0,24.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Václav Černý,CZE,"FW,MF",25,Wolfsburg,Bundesliga,10.2,4,20,5.0,25.0,1.95,0.49,0.2,0.8,15.2,0.0,0,0,2.3,2.3,0.11,1.7,1.7
Tiago Tomás,POR,"FW,MF",21,Wolfsburg,Bundesliga,11.5,1,27,10.0,37.0,2.35,0.87,0.04,0.1,13.5,0.0,0,0,2.7,2.7,0.1,-1.7,-1.7
Rogério,BRA,DF,25,Wolfsburg,Bundesliga,10.1,1,4,2.0,50.0,0.4,0.2,0.25,0.5,15.3,0.0,0,0,0.3,0.3,0.09,0.7,0.7
Pavao Pervan,AUT,GK,35,Wolfsburg,Bundesliga,9.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Patrick Wimmer,AUT,"FW,MF",22,Wolfsburg,Bundesliga,6.5,2,10,4.0,40.0,1.53,0.61,0.2,0.5,16.2,0.0,0,0,1.4,1.4,0.14,0.6,0.6
Kevin Behrens,GER,FW,32,Wolfsburg,Bundesliga,6.8,1,11,6.0,54.5,1.61,0.88,0.09,0.17,11.6,0.0,0,0,1.6,1.6,0.15,-0.6,-0.6
Jakub Kamiński,POL,"FW,MF",21,Wolfsburg,Bundesliga,5.3,0,10,3.0,30.0,1.9,0.57,0.0,0.0,16.3,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5
Kilian Fischer,GER,"DF,MF",22,Wolfsburg,Bundesliga,3.2,0,4,0.0,0.0,1.24,0.0,0.0,0.0,18.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Nicolas Cozza,FRA,DF,24,Wolfsburg,Bundesliga,3.1,0,1,0.0,0.0,0.33,0.0,0.0,0.0,30.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Amin Sarr,SWE,"FW,MF",22,Wolfsburg,Bundesliga,4.3,0,6,2.0,33.3,1.4,0.47,0.0,0.0,15.7,0.0,0,0,0.6,0.6,0.09,-0.6,-0.6
Lukas Nmecha,GER,FW,24,Wolfsburg,Bundesliga,0.5,1,1,1.0,100.0,2.14,2.14,1.0,1.0,7.8,0.0,0,0,0.1,0.1,0.14,0.9,0.9
Dženan Pejčinović,GER,FW,18,Wolfsburg,Bundesliga,0.4,0,2,0.0,0.0,4.86,0.0,0.0,0.0,13.8,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Bennit Bröger,GER,FW,17,Wolfsburg,Bundesliga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Kofi Amoako,GER,MF,18,Wolfsburg,Bundesliga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Sepp van den Berg,NED,DF,21,Mainz 05,Bundesliga,31.5,3,25,11.0,44.0,0.79,0.35,0.12,0.27,9.1,0.0,0,0,2.7,2.7,0.11,0.3,0.3
Robin Zentner,GER,GK,28,Mainz 05,Bundesliga,30.0,0,1,0.0,0.0,0.03,0.0,0.0,0.0,12.3,0.0,0,0,0.0,0.0,0.01,0.0,0.0
