player,nationality,position,age,club,league,minutes_90s,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Florian Neuhaus,GER,MF,26,Gladbach,Bundesliga,13.6,4,0,0,9,18,0,10,14,12,0,0,0,70,7,7,50.0
Nathan N'Goumou,FRA,"FW,MF",23,Gladbach,Bundesliga,15.4,1,0,0,13,18,6,28,5,22,0,1,0,62,9,34,20.9
Robin Hack,GER,"FW,MF",24,Gladbach,Bundesliga,15.0,2,0,0,17,22,9,44,14,8,0,0,0,79,16,22,42.1
Stefan Lainer,AUT,"DF,MF",30,Gladbach,Bundesliga,8.3,2,0,0,8,7,1,19,5,16,0,0,0,33,7,12,36.8
Tomáš Čvančara,CZE,FW,22,Gladbach,Bundesliga,10.0,4,0,0,9,13,4,3,2,3,0,0,0,16,23,30,43.4
Jonas Omlin,SUI,GK,29,Gladbach,Bundesliga,7.0,1,0,0,0,2,0,0,0,0,0,0,0,16,3,0,100.0
Christoph Kramer,GER,MF,32,Gladbach,Bundesliga,2.8,4,0,0,6,3,0,3,4,5,0,0,0,20,7,7,50.0
Fabio Chiarodia,ITA,DF,18,Gladbach,Bundesliga,1.7,0,0,0,1,0,0,1,3,5,0,1,0,4,5,3,62.5
Patrick Herrmann,GER,"FW,DF",32,Gladbach,Bundesliga,1.0,1,0,0,3,2,0,5,1,4,0,0,0,6,1,1,50.0
Grant Ranos,ARM,"MF,FW",20,Gladbach,Bundesliga,0.5,0,0,0,0,0,1,1,0,0,0,0,0,5,1,5,16.7
Lukas Ullrich,GER,"DF,FW",19,Gladbach,Bundesliga,0.5,0,0,0,0,1,0,5,0,0,0,0,0,3,0,2,0.0
Shiō Fukuda,JPN,"FW,MF",19,Gladbach,Bundesliga,0.4,0,0,0,1,0,0,0,1,0,0,0,0,2,3,4,42.9
Tony Jantschke,GER,"DF,MF",33,Gladbach,Bundesliga,0.3,0,0,0,1,2,0,0,1,1,0,0,0,1,2,2,50.0
Yvandro Borges Sanches,LUX,"MF,FW",19,Gladbach,Bundesliga,0.2,0,0,0,2,2,0,3,0,0,1,0,0,2,0,1,0.0
Frederik Rønnow,DEN,GK,30,Union Berlin,Bundesliga,33.0,2,0,0,0,4,0,0,1,1,0,0,0,46,10,1,90.9
Diogo Leite,POR,DF,24,Union Berlin,Bundesliga,30.0,6,0,0,40,31,1,4,47,36,0,2,0,145,71,44,61.7
Robin Gosens,GER,"DF,MF",29,Union Berlin,Bundesliga,25.4,9,1,1,29,24,17,64,36,44,0,1,0,100,60,44,57.7
Danilho Doekhi,NED,DF,25,Union Berlin,Bundesliga,24.0,2,0,0,13,20,0,4,38,23,1,0,0,68,53,42,55.8
Robin Knoche,GER,DF,31,Union Berlin,Bundesliga,21.3,1,0,0,10,10,0,3,13,22,0,1,1,152,46,41,52.9
Christopher Trimmel,AUT,DF,36,Union Berlin,Bundesliga,18.3,2,1,0,13,4,3,165,13,15,1,1,0,78,26,20,56.5
Lucas Tousart,FRA,MF,26,Union Berlin,Bundesliga,17.5,5,0,0,31,8,0,9,25,20,0,0,0,93,38,38,50.0
Rani Khedira,GER,MF,29,Union Berlin,Bundesliga,14.9,5,1,0,25,14,1,6,22,22,0,1,0,74,19,18,51.4
Kevin Volland,GER,"FW,MF",31,Union Berlin,Bundesliga,14.9,3,2,1,28,13,7,56,6,9,0,0,0,56,23,41,35.9
Kevin Vogt,GER,DF,31,Union Berlin,Bundesliga,14.7,5,0,0,17,8,1,0,7,9,0,0,0,74,15,11,57.7
Benedict Hollerbach,GER,"FW,MF",22,Union Berlin,Bundesliga,14.2,2,0,0,29,20,4,44,4,11,0,0,0,59,19,38,33.3
Josip Juranović,CRO,DF,27,Union Berlin,Bundesliga,14.4,4,0,0,4,10,0,104,12,14,0,0,0,87,3,4,42.9
Brenden Aaronson,USA,"MF,FW",22,Union Berlin,Bundesliga,14.1,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8
Kevin Behrens,GER,FW,32,Union Berlin,Bundesliga,14.0,3,0,0,22,20,8,6,6,10,0,0,0,36,92,81,53.2
Janik Haberer,GER,"MF,DF",29,Union Berlin,Bundesliga,13.6,7,0,0,22,16,1,15,12,24,0,0,0,95,20,19,51.3
András Schäfer,HUN,MF,24,Union Berlin,Bundesliga,13.5,1,1,0,22,17,2,18,20,16,0,0,0,74,22,24,47.8
Alex Král,CZE,MF,25,Union Berlin,Bundesliga,15.2,2,0,0,16,13,2,17,11,14,0,0,0,85,16,17,48.5
Aïssa Laïdouni,TUN,MF,26,Union Berlin,Bundesliga,11.9,2,0,0,20,27,0,22,12,12,0,0,0,80,12,14,46.2
Jérôme Roussillon,FRA,DF,30,Union Berlin,Bundesliga,8.4,2,0,0,4,10,0,21,5,9,0,0,0,52,9,8,52.9
David Datro Fofana,CIV,"FW,MF",20,Union Berlin,Bundesliga,7.6,0,0,0,8,12,4,11,0,7,0,0,0,25,10,17,37.0
Sheraldo Becker,SUR,"FW,MF",28,Union Berlin,Bundesliga,7.2,0,0,0,6,5,4,57,0,3,1,0,0,48,0,8,0.0
Yorbe Vertessen,BEL,"FW,MF",22,Union Berlin,Bundesliga,6.6,1,0,0,8,11,1,3,1,2,0,0,0,20,4,19,17.4
Leonardo Bonucci,ITA,DF,36,Union Berlin,Bundesliga,5.1,0,0,0,2,1,0,6,7,5,0,1,0,32,5,7,41.7
Mikkel Kaufmann,DEN,FW,22,Union Berlin,Bundesliga,5.4,0,0,0,7,10,0,5,1,3,0,0,0,19,26,34,43.3
Paul Jaeckel,GER,DF,25,Union Berlin,Bundesliga,2.6,0,0,0,0,2,0,0,4,2,0,0,0,14,5,2,71.4
Alexander Schwolow,GER,GK,31,Union Berlin,Bundesliga,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Chris Bedia,CIV,"FW,MF",27,Union Berlin,Bundesliga,1.6,0,0,0,7,2,0,0,0,1,0,0,0,2,3,7,30.0
Aljoscha Kemlein,GER,MF,18,Union Berlin,Bundesliga,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0
Jordan Pefok,USA,FW,27,Union Berlin,Bundesliga,0.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0.0
Miloš Pantović,SRB,MF,27,Union Berlin,Bundesliga,0.2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0.0
Manuel Riemann,GER,GK,34,Bochum,Bundesliga,33.0,5,0,0,2,4,0,4,1,1,0,2,0,81,14,3,82.4
Bernardo,BRA,DF,28,Bochum,Bundesliga,32.5,9,0,0,54,28,2,30,55,58,0,2,0,197,145,81,64.2
Kevin Stöger,AUT,MF,29,Bochum,Bundesliga,29.6,8,0,0,36,63,1,258,19,30,0,0,0,210,8,33,19.5
Anthony Losilla,FRA,MF,37,Bochum,Bundesliga,28.6,10,0,0,38,22,5,6,25,37,0,0,0,136,82,54,60.3
Takuma Asano,JPN,"FW,MF",28,Bochum,Bundesliga,22.1,2,0,0,15,22,23,37,4,6,0,0,0,74,15,52,22.4
Erhan Mašović,SRB,"DF,MF",24,Bochum,Bundesliga,24.7,7,0,0,22,15,0,5,25,40,0,0,1,117,35,53,39.8
Keven Schlotterbeck,GER,DF,26,Bochum,Bundesliga,24.3,9,0,0,36,32,0,12,33,22,2,2,2,144,112,70,61.5
Ivan Ordets,UKR,DF,31,Bochum,Bundesliga,20.9,4,0,0,29,20,3,1,31,14,1,4,1,89,133,55,70.7
Patrick Osterhage,GER,MF,23,Bochum,Bundesliga,20.7,5,0,0,21,24,3,20,27,26,0,0,0,142,26,30,46.4
Matúš Bero,SVK,"MF,FW",27,Bochum,Bundesliga,18.5,6,0,0,38,20,5,16,12,22,1,0,0,97,12,37,24.5
Philipp Hofmann,GER,FW,30,Bochum,Bundesliga,17.5,1,0,0,20,26,4,3,4,5,0,0,0,44,111,94,54.1
Moritz Broschinski,GER,FW,22,Bochum,Bundesliga,13.9,4,0,0,32,13,11,12,0,7,0,0,0,40,34,102,25.0
Maximilian Wittek,GER,"DF,FW",27,Bochum,Bundesliga,11.9,4,0,0,20,26,2,51,18,17,0,0,0,69,15,26,36.6
Felix Passlack,GER,DF,25,Bochum,Bundesliga,10.7,2,1,0,14,13,2,40,10,14,0,0,0,51,6,8,42.9
Cristian Gamboa,CRC,DF,33,Bochum,Bundesliga,13.2,6,0,0,14,6,0,23,15,18,0,1,0,74,12,9,57.1
Christopher Antwi-Adjei,GHA,"FW,MF",29,Bochum,Bundesliga,13.5,5,0,0,13,17,18,55,2,12,0,0,0,53,11,22,33.3
Tim Oermann,GER,DF,19,Bochum,Bundesliga,7.9,2,0,0,8,8,0,8,2,11,0,0,0,27,7,12,36.8
Gonçalo Paciência,POR,"FW,MF",28,Bochum,Bundesliga,7.2,3,0,0,9,22,2,10,0,4,0,0,0,29,20,34,37.0
Lukas Daschner,GER,"MF,FW",24,Bochum,Bundesliga,6.0,2,0,0,4,9,0,20,2,4,0,0,0,24,5,12,29.4
Philipp Förster,GER,"MF,FW",28,Bochum,Bundesliga,4.3,1,0,0,6,9,0,28,7,5,0,0,0,27,2,7,22.2
Danilo Soares,BRA,DF,31,Bochum,Bundesliga,3.9,0,0,0,5,5,0,3,7,6,0,0,0,35,4,7,36.4
Noah Loosli,SUI,DF,26,Bochum,Bundesliga,3.8,1,0,0,4,0,0,2,7,7,0,0,0,27,5,7,41.7
Moritz-Broni Kwarteng,GHA,FW,25,Bochum,Bundesliga,3.1,1,1,0,5,5,2,5,2,0,0,0,0,18,0,8,0.0
Andreas Luthe,GER,GK,36,Bochum,Bundesliga,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
Simon Zoller,GER,"FW,MF",32,Bochum,Bundesliga,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
Marvin Schwäbe,GER,GK,28,Köln,Bundesliga,34.0,0,0,0,0,1,0,0,0,0,0,0,0,35,5,3,62.5
Julian Chabot,GER,DF,25,Köln,Bundesliga,30.0,9,1,1,28,42,4,4,45,42,0,0,0,149,101,38,72.7
Timo Hübers,GER,DF,27,Köln,Bundesliga,30.9,6,0,0,44,25,1,3,63,47,1,0,0,211,99,49,66.9
Eric Martel,GER,MF,21,Köln,Bundesliga,27.3,6,0,0,52,41,2,19,43,43,1,1,0,152,70,54,56.5
Florian Kainz,AUT,"MF,FW",30,Köln,Bundesliga,24.4,4,0,0,19,33,1,167,13,20,0,0,0,126,12,25,32.4
Dejan Ljubicic,AUT,"MF,FW",25,Köln,Bundesliga,22.8,6,0,0,32,13,1,31,18,27,0,0,0,112,8,11,42.1
Linton Maina,GER,"FW,MF",24,Köln,Bundesliga,21.1,4,0,0,10,17,5,74,6,15,0,0,0,92,0,14,0.0
Jan Thielmann,GER,"FW,DF",21,Köln,Bundesliga,17.5,4,1,0,27,27,6,42,8,18,0,0,0,75,20,27,42.6
Max Finkgräfe,GER,"DF,FW",19,Köln,Bundesliga,19.5,4,0,0,19,21,0,61,22,39,0,0,0,104,23,27,46.0
Rasmus Carstensen,DEN,"DF,FW",22,Köln,Bundesliga,18.4,2,1,1,22,13,3,58,20,22,0,1,0,95,16,19,45.7
Denis Huseinbasic,BIH,MF,22,Köln,Bundesliga,18.1,5,0,0,28,14,0,15,13,18,0,0,0,114,8,8,50.0
Davie Selke,GER,FW,28,Köln,Bundesliga,14.1,3,0,0,24,18,10,4,0,2,0,0,0,9,67,55,54.9
Faride Alidou,GER,"FW,MF",22,Köln,Bundesliga,14.2,4,0,0,21,23,3,39,8,4,1,1,0,57,18,28,39.1
Luca Waldschmidt,GER,"MF,FW",27,Köln,Bundesliga,12.7,0,0,0,20,15,5,39,6,12,1,0,0,64,7,9,43.8
Benno Schmitz,GER,DF,28,Köln,Bundesliga,12.8,5,0,0,9,10,0,40,7,15,0,0,0,59,14,22,38.9
Leart Paqarada,KVX,DF,28,Köln,Bundesliga,11.9,0,0,0,7,8,1,92,10,11,0,0,0,56,9,21,30.0
Sargis Adamyan,ARM,"FW,MF",30,Köln,Bundesliga,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5
Steffen Tigges,GER,FW,25,Köln,Bundesliga,8.1,0,0,0,7,8,2,7,1,6,0,0,0,25,38,41,48.1
Luca Kilian,GER,DF,23,Köln,Bundesliga,7.1,1,0,0,4,0,0,1,7,9,0,0,0,24,10,7,58.8
Dominique Heintz,GER,DF,29,Köln,Bundesliga,6.3,0,0,0,7,4,1,23,3,5,0,0,0,30,11,11,50.0
Mark Uth,GER,"MF,FW",31,Köln,Bundesliga,4.1,2,0,0,9,12,0,31,1,4,0,0,0,24,3,3,50.0
Jacob Christensen,DEN,MF,22,Köln,Bundesliga,2.4,1,0,0,4,0,0,5,4,6,0,0,0,18,0,5,0.0
Justin Diehl,GER,"FW,MF",18,Köln,Bundesliga,1.9,0,0,0,2,4,0,18,0,0,0,0,0,8,0,2,0.0
Damion Downs,GER,"FW,MF",19,Köln,Bundesliga,2.0,0,0,0,1,0,0,1,0,1,0,0,0,4,1,6,14.3
Mathias Olesen,LUX,"MF,FW",22,Köln,Bundesliga,1.2,2,1,1,3,2,0,1,2,0,0,0,0,14,1,3,25.0
Florian Dietz,GER,"FW,MF",24,Köln,Bundesliga,0.8,0,0,0,1,0,0,0,0,0,0,0,0,2,2,8,20.0
Marcel Schuhen,GER,GK,30,Darmstadt 98,Bundesliga,31.0,2,0,0,0,8,0,0,2,0,0,0,0,53,8,2,80.0
Tim Skarke,GER,"FW,DF",26,Darmstadt 98,Bundesliga,26.7,7,0,0,31,40,17,94,6,16,0,0,0,125,11,50,18.0
Christoph Klarer,AUT,DF,23,Darmstadt 98,Bundesliga,26.2,9,0,0,29,13,4,8,21,22,0,0,0,87,42,38,52.5
Fabian Holland,GER,"MF,DF",33,Darmstadt 98,Bundesliga,20.4,4,1,0,34,33,1,26,24,26,0,0,0,103,9,24,27.3
Matthias Bader,GER,"DF,MF",26,Darmstadt 98,Bundesliga,20.0,1,0,0,17,41,1,32,25,25,0,0,0,121,11,17,39.3
Matej Maglica,CRO,DF,24,Darmstadt 98,Bundesliga,18.9,7,2,0,31,7,1,7,22,21,0,1,0,85,51,24,68.0
Luca Pfeiffer,GER,"FW,MF",26,Darmstadt 98,Bundesliga,18.0,3,0,0,28,27,1,5,2,6,0,0,0,67,54,55,49.5
Marvin Mehlem,GER,MF,25,Darmstadt 98,Bundesliga,16.5,3,0,0,20,34,8,18,33,21,0,0,0,82,13,13,50.0
Emir Karic,AUT,DF,26,Darmstadt 98,Bundesliga,19.8,4,0,0,17,7,5,52,13,27,0,0,0,76,21,16,56.8
Fabian Nürnberger,GER,"DF,MF",24,Darmstadt 98,Bundesliga,16.8,2,0,0,18,16,0,64,17,22,1,0,0,78,13,9,59.1
Klaus Gjasula,ALB,"DF,MF",33,Darmstadt 98,Bundesliga,15.1,7,1,0,23,11,0,7,19,22,0,1,0,69,34,27,55.7
Oscar Vilhelmsson,SWE,"FW,MF",19,Darmstadt 98,Bundesliga,15.3,2,0,0,32,27,7,10,3,6,0,0,0,22,42,81,34.1
Tobias Kempe,GER,MF,34,Darmstadt 98,Bundesliga,15.0,1,0,0,14,11,0,81,9,13,1,0,0,65,13,20,39.4
Bartol Franjić,CRO,MF,23,Darmstadt 98,Bundesliga,13.7,5,0,0,20,2,0,4,30,12,0,0,0,63,17,19,47.2
Christoph Zimmermann,GER,DF,30,Darmstadt 98,Bundesliga,13.6,5,0,0,13,10,1,0,21,21,0,0,1,53,29,21,58.0
Jannik Müller,GER,"DF,MF",29,Darmstadt 98,Bundesliga,12.6,5,0,0,19,7,0,7,17,16,0,0,0,66,21,17,55.3
Julian Justvan,GER,"MF,FW",25,Darmstadt 98,Bundesliga,11.4,1,0,0,2,5,0,41,11,4,0,0,0,52,1,15,6.3
Mathias Honsak,AUT,"FW,MF",26,Darmstadt 98,Bundesliga,11.3,1,0,0,14,12,3,11,8,7,0,0,0,32,15,24,38.5
Clemens Riedel,GER,DF,20,Darmstadt 98,Bundesliga,8.4,2,0,0,10,4,0,8,11,13,0,0,0,57,11,14,44.0
Thomas Isherwood,SWE,DF,25,Darmstadt 98,Bundesliga,7.1,1,0,0,8,3,1,1,10,5,0,0,1,17,8,6,57.1
Aaron Seydel,GER,FW,27,Darmstadt 98,Bundesliga,6.9,1,0,0,9,7,2,1,1,2,0,0,0,14,45,31,59.2
Sebastian Polter,GER,FW,32,Darmstadt 98,Bundesliga,5.0,0,0,0,9,10,2,4,0,0,0,0,0,7,20,14,58.8
Alexander Brunst,GER,GK,28,Darmstadt 98,Bundesliga,3.0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0.0
Braydon Manu,GHA,MF,26,Darmstadt 98,Bundesliga,1.9,1,0,0,4,1,0,4,0,0,0,0,0,7,0,3,0.0
Gerrit Holtmann,PHI,"MF,FW",28,Darmstadt 98,Bundesliga,4.4,1,0,0,8,2,0,12,2,5,0,0,0,31,5,7,41.7
Andreas Müller,GER,MF,23,Darmstadt 98,Bundesliga,3.9,3,0,0,5,4,0,2,4,9,0,0,0,20,3,1,75.0
Fabian Schnellhardt,GER,MF,29,Darmstadt 98,Bundesliga,2.6,1,0,0,2,3,0,4,4,1,0,0,0,25,1,3,25.0
Fraser Hornby,SCO,"FW,MF",23,Darmstadt 98,Bundesliga,2.4,1,0,0,5,1,1,4,0,0,0,0,0,8,11,13,45.8
Fabio Torsiello,ITA,"FW,DF",18,Darmstadt 98,Bundesliga,1.7,0,0,0,4,0,0,2,1,0,0,0,0,4,0,3,0.0
Filip Stojilković,SUI,"FW,MF",23,Darmstadt 98,Bundesliga,1.7,1,0,0,3,1,2,3,0,1,0,0,0,4,0,2,0.0
Frank Ronstadt,GER,"DF,MF",26,Darmstadt 98,Bundesliga,0.8,0,0,0,0,2,0,2,1,0,0,0,0,2,1,0,100.0
Luuk de Jong,NED,FW,32,PSV Eindhoven,Eredivisie,30.6,3,0,0,24,29,26,10,3,17,0,0,0,73,130,95,57.8
Walter Benítez,ARG,GK,30,PSV Eindhoven,Eredivisie,32.9,1,0,0,0,5,0,0,0,0,0,0,0,72,3,0,100.0
Olivier Boscagli,FRA,DF,25,PSV Eindhoven,Eredivisie,31.5,3,0,0,20,24,1,18,66,26,0,1,1,249,82,50,62.1
Johan Bakayoko,BEL,FW,20,PSV Eindhoven,Eredivisie,27.7,1,0,0,31,20,7,130,9,23,0,0,0,111,10,9,52.6
Jordan Teze,NED,DF,23,PSV Eindhoven,Eredivisie,27.6,4,0,0,20,7,2,103,16,31,0,0,1,173,17,19,47.2
André Ramalho,BRA,DF,31,PSV Eindhoven,Eredivisie,26.2,5,0,0,29,20,0,4,30,31,0,0,0,168,76,45,62.8
Jerdy Schouten,NED,"MF,DF",26,PSV Eindhoven,Eredivisie,26.9,3,0,0,24,15,1,4,43,32,0,0,0,211,50,29,63.3
Joey Veerman,NED,MF,24,PSV Eindhoven,Eredivisie,26.5,1,0,0,15,11,0,214,20,45,0,1,0,191,31,26,54.4
Sergiño Dest,USA,DF,22,PSV Eindhoven,Eredivisie,23.5,1,0,0,11,20,0,94,11,21,1,0,0,117,7,14,33.3
Guus Til,NED,MF,25,PSV Eindhoven,Eredivisie,22.6,0,0,0,16,20,3,35,11,10,1,0,0,61,18,20,47.4
Malik Tillman,USA,"FW,MF",21,PSV Eindhoven,Eredivisie,17.7,2,0,0,23,47,0,29,15,23,1,1,0,120,13,8,61.9
Hirving Lozano,MEX,FW,28,PSV Eindhoven,Eredivisie,17.1,2,0,0,17,29,11,81,15,14,1,0,0,72,7,9,43.8
Ismael Saibari,MAR,MF,22,PSV Eindhoven,Eredivisie,11.3,1,0,0,17,13,3,5,10,20,0,0,0,81,7,7,50.0
Patrick van Aanholt,NED,DF,32,PSV Eindhoven,Eredivisie,12.4,0,0,0,6,5,2,28,15,17,0,0,0,95,3,5,37.5
Mauro Júnior,BRA,"MF,DF",24,PSV Eindhoven,Eredivisie,9.7,0,0,0,4,8,0,20,7,12,0,0,0,52,11,10,52.4
Noa Lang,NED,"FW,MF",24,PSV Eindhoven,Eredivisie,6.5,0,0,0,7,10,5,20,1,1,1,0,0,29,1,3,25.0
Yorbe Vertessen,BEL,FW,22,PSV Eindhoven,Eredivisie,4.9,0,0,0,1,9,0,5,1,4,1,0,0,22,5,8,38.5
Isaac Babadi,NED,MF,18,PSV Eindhoven,Eredivisie,3.9,1,0,0,4,2,0,3,1,3,0,0,0,34,0,1,0.0
Ibrahim Sangaré,CIV,MF,25,PSV Eindhoven,Eredivisie,2.0,0,0,0,1,3,0,0,2,0,0,0,0,21,1,3,25.0
Armel Bella Kotchap,GER,DF,21,PSV Eindhoven,Eredivisie,1.8,0,0,0,0,1,0,1,2,0,0,0,0,9,5,2,71.4
Ricardo Pepi,USA,"FW,MF",20,PSV Eindhoven,Eredivisie,5.4,2,0,0,6,3,6,2,1,3,0,0,0,24,9,8,52.9
Shurandy Sambo,NED,DF,21,PSV Eindhoven,Eredivisie,2.1,0,0,0,2,2,0,6,5,3,0,0,0,13,3,2,60.0
Armando Obispo,NED,DF,24,PSV Eindhoven,Eredivisie,1.9,2,1,1,2,1,0,0,1,2,0,0,0,17,5,3,62.5
Joel Drommel,NED,GK,26,PSV Eindhoven,Eredivisie,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
Tygo Land,NED,MF,17,PSV Eindhoven,Eredivisie,0.2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0
Richy Ledezma,USA,MF,22,PSV Eindhoven,Eredivisie,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Boy Waterman,NED,GK,39,PSV Eindhoven,Eredivisie,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Anwar El Ghazi,NED,FW,28,PSV Eindhoven,Eredivisie,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jesper Uneken,NED,FW,18,PSV Eindhoven,Eredivisie,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Lutsharel Geertruida,NED,DF,23,Feyenoord,Eredivisie,33.8,2,0,0,18,29,3,24,31,31,0,0,0,182,21,12,63.6
Dávid Hancko,SVK,DF,25,Feyenoord,Eredivisie,33.7,2,0,0,11,18,3,35,29,27,0,0,0,234,51,40,56.0
Quinten Timber,NED,MF,22,Feyenoord,Eredivisie,29.6,4,0,0,36,58,1,14,13,42,0,0,0,138,15,8,65.2
Mats Wieffer,NED,MF,23,Feyenoord,Eredivisie,28.8,2,0,0,55,37,2,14,50,44,0,0,0,216,90,56,61.6
Santiago Giménez,MEX,FW,22,Feyenoord,Eredivisie,26.3,3,0,0,13,42,23,6,0,1,2,0,0,63,38,43,46.9
Calvin Stengs,NED,"MF,FW",24,Feyenoord,Eredivisie,23.3,2,0,0,24,24,11,91,3,17,1,0,0,103,10,16,38.5
Quilindschy Hartman,NED,DF,21,Feyenoord,Eredivisie,23.0,3,0,0,21,5,1,66,28,25,0,1,0,129,30,26,53.6
Igor Paixão,BRA,FW,23,Feyenoord,Eredivisie,21.4,3,0,0,15,38,4,143,9,15,1,0,0,72,21,21,50.0
Timon Wellenreuther,GER,GK,27,Feyenoord,Eredivisie,17.8,3,0,0,1,0,0,0,0,1,0,0,0,46,0,0,0.0
Justin Bijlow,NED,GK,25,Feyenoord,Eredivisie,16.2,1,0,0,0,0,0,0,0,0,0,0,0,51,7,0,100.0
Yankuba Minteh,GAM,FW,19,Feyenoord,Eredivisie,16.2,0,0,0,18,11,10,61,3,30,1,0,0,77,18,16,52.9
Gernot Trauner,AUT,DF,31,Feyenoord,Eredivisie,15.1,1,0,0,5,6,0,0,20,20,0,0,0,93,47,9,83.9
Ramiz Zerrouki,ALG,MF,25,Feyenoord,Eredivisie,15.4,3,0,0,26,12,0,17,17,24,0,0,0,100,25,24,51.0
Thomas Beelen,NED,DF,22,Feyenoord,Eredivisie,14.4,1,0,0,10,5,1,2,16,10,0,0,0,94,38,24,61.3
Luka Ivanušec,CRO,FW,24,Feyenoord,Eredivisie,12.9,0,0,0,4,10,1,68,4,16,0,0,0,62,5,7,41.7
Bart Nieuwkoop,NED,DF,27,Feyenoord,Eredivisie,9.5,2,1,0,11,6,2,18,16,7,0,0,0,50,20,12,62.5
Ayase Ueda,JPN,"FW,MF",24,Feyenoord,Eredivisie,9.3,0,0,0,7,11,6,5,0,4,1,0,0,13,28,20,58.3
Marcos López,PER,DF,23,Feyenoord,Eredivisie,5.2,1,0,0,4,6,0,4,2,3,0,0,0,26,9,7,56.3
Alireza Jahanbakhsh,IRN,"FW,MF",29,Feyenoord,Eredivisie,5.1,1,0,0,10,3,0,33,5,13,0,0,0,38,13,5,72.2
Javairô Dilrosun,NED,"FW,MF",25,Feyenoord,Eredivisie,3.5,0,0,0,2,12,0,26,4,5,0,0,0,16,0,3,0.0
Thomas van den Belt,NED,MF,22,Feyenoord,Eredivisie,3.0,0,0,0,0,3,0,3,2,5,0,0,0,17,5,3,62.5
Antoni Milambo,NED,"MF,FW",18,Feyenoord,Eredivisie,2.6,0,0,0,2,4,0,2,1,2,0,0,0,14,2,2,50.0
Ondřej Lingr,CZE,"MF,FW",24,Feyenoord,Eredivisie,3.8,0,0,0,4,5,0,5,1,1,0,0,0,21,9,9,50.0
Leo Sauer,SVK,"FW,MF",17,Feyenoord,Eredivisie,3.2,1,0,0,5,6,0,20,1,1,1,0,0,18,2,5,28.6
Gjivai Zechiël,NED,"DF,MF",19,Feyenoord,Eredivisie,0.3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.0
Robin Pröpper,NED,DF,29,Twente,Eredivisie,30.5,7,0,0,30,27,1,3,32,30,0,1,2,173,93,51,64.6
Daan Rots,NED,FW,22,Twente,Eredivisie,28.6,3,0,0,23,33,4,76,17,38,0,0,0,142,40,71,36.0
Lars Unnerstall,GER,GK,33,Twente,Eredivisie,32.0,2,0,0,1,1,0,0,0,0,0,1,0,59,5,2,71.4
Sem Steijn,NED,MF,21,Twente,Eredivisie,26.8,1,0,0,22,24,7,44,10,17,0,0,0,93,16,37,30.2
Michal Sadílek,CZE,MF,24,Twente,Eredivisie,30.0,7,1,1,32,26,4,100,28,21,0,2,0,165,50,51,49.5
Mathias Kjølø,NOR,MF,22,Twente,Eredivisie,24.8,3,0,0,19,32,0,14,28,19,0,0,0,186,24,39,38.1
Mees Hilgers,NED,DF,22,Twente,Eredivisie,24.3,5,1,0,24,17,2,4,26,32,0,0,0,141,31,36,46.3
Gijs Smal,NED,DF,25,Twente,Eredivisie,22.8,3,0,0,11,17,2,104,16,19,0,0,0,128,25,21,54.3
Michel Vlap,NED,FW,26,Twente,Eredivisie,21.9,2,0,0,18,23,7,74,16,14,0,0,0,89,15,11,57.7
Youri Regeer,NED,"DF,MF",19,Twente,Eredivisie,19.5,3,0,0,19,32,1,52,14,23,1,0,0,108,29,32,47.5
Alfons Sampsted,ISL,DF,25,Twente,Eredivisie,17.1,1,0,0,15,19,0,36,30,20,0,0,0,119,14,16,46.7
Ricky van Wolfswinkel,NED,"FW,MF",34,Twente,Eredivisie,21.0,4,0,0,35,30,13,19,9,14,0,0,0,59,51,68,42.9
Manfred Ugalde,CRC,FW,21,Twente,Eredivisie,15.2,3,0,0,23,44,5,15,1,10,0,0,0,40,32,53,37.6
Joshua Brenet,CUW,DF,29,Twente,Eredivisie,12.0,1,0,0,17,8,2,16,12,19,0,0,0,86,13,14,48.1
Carel Eiting,NED,MF,25,Twente,Eredivisie,8.8,2,0,0,7,6,0,64,8,9,0,0,0,57,3,9,25.0
