player,nationality,position,age,club,league,minutes_90s,GA,PK_scored,FK_scored,CK_scored,OG,psxg,psxg_per_sot,psxg_net,psxg_net90,launched_c,launched,launched_pct,passes,throws,launch_pct,avg_len,gk,gk_launched,gk_avg_len,crosses,crosses_stopped,crosses_stopped_pct,OPA,OPA_per90,avg_dist
Yann Sommer,SUI,GK,35,Inter,Serie A,34.0,19,2,0,3,0,25.5,0.23,6.5,0.19,104,226,46.0,1033,120,17.4,26.1,201,22.9,27.9,395,18,4.6,14,0.41,12.1
Emil Audero,ITA,GK,27,Inter,Serie A,3.7,3,0,0,0,0,3.1,0.28,0.1,0.02,6,24,25.0,177,28,11.9,24.6,18,16.7,27.2,54,6,11.1,2,0.53,10.2
Raffaele Di Gennaro,ITA,GK,30,Inter,Serie A,0.3,0,0,0,0,0,0.5,0.13,0.5,2.08,1,2,50.0,15,3,13.3,25.2,1,0.0,10.0,4,0,0.0,0,0.0,0.0
Mike Maignan,FRA,GK,28,Milan,Serie A,29.0,34,7,2,3,0,29.8,0.19,-4.2,-0.14,119,284,41.9,1070,188,21.1,28.2,147,39.5,38.0,339,37,10.9,36,1.24,15.2
Marco Sportiello,ITA,GK,32,Milan,Serie A,7.0,11,1,0,0,1,8.9,0.25,-1.1,-0.15,20,51,39.2,230,40,20.4,26.9,17,23.5,29.1,81,5,6.2,9,1.29,15.4
Antonio Mirante,ITA,GK,40,Milan,Serie A,2.0,3,0,0,1,0,3.1,0.41,0.1,0.05,5,14,35.7,46,5,26.1,29.2,8,25.0,29.4,17,1,5.9,1,0.51,11.9
Lapo Nava,ITA,GK,20,Milan,Serie A,0.0,1,0,0,0,0,0.9,0.5,-0.1,-2.83,1,1,100.0,1,0,100.0,43.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
Wojciech Szczęsny,POL,GK,34,Juventus,Serie A,35.0,30,2,0,4,2,28.3,0.24,0.3,0.01,147,340,43.2,828,134,32.0,32.8,174,43.1,40.2,555,26,4.7,20,0.57,11.6
Mattia Perin,ITA,GK,31,Juventus,Serie A,2.5,1,0,0,0,0,1.2,0.25,0.2,0.1,5,15,33.3,54,9,25.9,29.4,12,8.3,19.5,29,2,6.9,3,1.2,16.7
Carlo Pinsoglio,ITA,GK,34,Juventus,Serie A,0.5,0,0,0,0,0,0.5,0.18,0.5,1.06,2,5,40.0,21,1,23.8,31.4,0,0.0,0.0,17,0,0.0,0,0.0,5.0
Marco Carnesecchi,ITA,GK,23,Atalanta,Serie A,25.9,27,4,0,1,0,27.8,0.22,0.8,0.03,113,326,34.7,648,136,30.6,33.9,189,67.7,51.7,325,20,6.2,35,1.35,14.3
Juan Musso,ARG,GK,30,Atalanta,Serie A,11.0,12,2,0,2,1,9.8,0.23,-1.2,-0.11,40,120,33.3,299,70,24.4,29.6,70,67.1,48.6,110,10,9.1,16,1.45,16.7
Francesco Rossi,ITA,GK,33,Atalanta,Serie A,0.1,0,0,0,0,0,0.8,0.75,0.8,13.52,0,1,0.0,1,1,0.0,14.0,1,100.0,67.0,2,0,0.0,0,0.0,0.0
Lukasz Skorupski,POL,GK,33,Bologna,Serie A,32.0,29,3,1,3,1,26.6,0.23,-1.4,-0.05,103,297,34.7,829,136,26.3,29.6,188,42.0,38.7,432,12,2.8,15,0.47,12.2
Federico Ravaglia,ITA,GK,24,Bologna,Serie A,5.9,3,0,1,0,0,5.4,0.26,2.4,0.41,14,49,28.6,172,23,18.0,25.4,34,52.9,41.0,73,1,1.4,4,0.67,17.1
Nicola Bagnolini,ITA,GK,20,Bologna,Serie A,0.1,0,0,0,0,0,0.0,0.02,0.0,0.36,1,2,50.0,1,0,100.0,47.0,2,50.0,53.0,0,0,0.0,0,0.0,0.0
Rui Patrício,POR,GK,36,Roma,Serie A,23.0,27,2,0,2,2,23.4,0.29,-1.6,-0.07,90,211,42.7,492,86,31.5,31.0,137,40.9,34.9,309,16,5.2,8,0.35,11.7
Mile Svilar,SRB,GK,24,Roma,Serie A,15.0,19,1,0,3,1,20.2,0.24,2.2,0.14,44,116,37.9,516,77,15.9,25.3,89,38.2,36.2,208,16,7.7,7,0.47,12.0
Ivan Provedel,ITA,GK,30,Lazio,Serie A,30.0,33,2,0,1,0,31.3,0.24,-1.7,-0.06,101,252,40.1,841,103,22.6,30.8,176,35.2,37.0,377,15,4.0,18,0.6,13.0
Christos Mandas,GRE,GK,22,Lazio,Serie A,8.0,6,0,0,2,0,7.0,0.25,1.0,0.12,38,114,33.3,240,29,42.5,37.7,29,41.4,37.9,99,6,6.1,5,0.62,13.1
Pietro Terracciano,ITA,GK,34,Fiorentina,Serie A,33.0,35,6,3,5,0,40.2,0.27,5.2,0.16,164,382,42.9,1051,120,29.0,32.1,176,43.8,38.2,307,7,2.3,23,0.7,14.6
Oliver Christensen,DEN,GK,25,Fiorentina,Serie A,4.0,9,2,0,0,0,4.7,0.15,-4.3,-1.08,23,61,37.7,170,15,31.8,31.0,20,35.0,33.7,32,1,3.1,9,2.25,19.5
Vanja Milinković-Savić,SRB,GK,27,Torino,Serie A,36.0,31,6,0,4,0,33.8,0.21,2.8,0.08,264,783,33.7,1288,171,44.8,38.3,239,86.2,66.6,407,38,9.3,37,1.03,13.6
Luca Gemello,ITA,GK,23,Torino,Serie A,2.0,5,1,0,0,0,3.6,0.31,-1.4,-0.72,10,29,34.5,104,8,26.9,31.1,12,8.3,19.7,24,3,12.5,3,1.5,12.0
Alex Meret,ITA,GK,27,Napoli,Serie A,30.8,40,2,1,5,0,38.0,0.33,-2.0,-0.07,56,174,32.2,774,120,18.5,27.9,137,22.6,29.5,334,9,2.7,29,0.94,15.4
Pierluigi Gollini,ITA,GK,29,Napoli,Serie A,7.0,8,0,0,1,0,8.2,0.34,0.2,0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,82,5,6.1,9,1.29,16.2
Nikita Contini Baranovsky,ITA,GK,28,Napoli,Serie A,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3,1,0.0,17.0,1,0.0,15.0,1,0,0.0,3,15.88,37.0
Josep Martinez,ESP,GK,26,Genoa,Serie A,36.0,43,3,1,4,1,38.9,0.28,-3.1,-0.09,227,583,38.9,1253,107,37.4,35.9,171,66.7,49.4,580,45,7.8,40,1.11,12.2
Nicola Leali,ITA,GK,31,Genoa,Serie A,2.0,2,0,0,0,0,2.8,0.31,0.8,0.4,18,48,37.5,62,3,69.4,44.7,10,50.0,40.6,27,2,7.4,1,0.51,15.2
Daniele Sommariva,ITA,GK,26,Genoa,Serie A,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0.0,2,0,100.0,54.5,1,100.0,76.0,2,1,50.0,0,0.0,15.0
Michele Di Gregorio,ITA,GK,26,Monza,Serie A,31.9,35,3,1,5,0,45.4,0.26,10.4,0.33,179,430,41.6,1126,201,27.8,30.6,223,52.5,44.2,469,19,4.1,18,0.56,11.5
Alessandro Sorrentino,ITA,GK,22,Monza,Serie A,6.1,16,4,0,1,0,14.4,0.34,-1.6,-0.27,18,56,32.1,151,29,26.5,30.6,42,38.1,36.1,62,3,4.8,3,0.49,16.8
Lorenzo Montipò,ITA,GK,28,Hellas Verona,Serie A,37.0,49,2,0,6,1,40.7,0.26,-7.3,-0.2,323,763,42.3,960,109,54.5,41.1,305,78.7,56.4,487,22,4.5,43,1.16,15.3
Simone Perilli,ITA,GK,29,Hellas Verona,Serie A,1.0,2,0,0,0,0,2.7,0.29,0.7,0.75,8,28,28.6,32,2,75.0,49.5,5,80.0,62.0,5,0,0.0,2,2.0,18.0
Wladimiro Falcone,ITA,GK,29,Lecce,Serie A,38.0,54,5,1,7,1,53.2,0.28,0.2,0.01,152,489,31.1,893,159,42.6,34.9,248,44.0,35.2,522,20,3.8,20,0.53,11.0
Maduka Okoye,NGA,GK,24,Udinese,Serie A,21.0,25,3,2,3,1,23.9,0.24,-0.1,0.0,99,263,37.6,286,45,55.9,41.7,161,64.0,49.0,365,7,1.9,2,0.1,8.7
Marco Silvestri,ITA,GK,33,Udinese,Serie A,17.0,28,6,0,2,0,25.7,0.29,-2.3,-0.14,57,168,33.9,345,68,33.6,32.3,105,49.5,42.1,282,5,1.8,7,0.41,13.1
Simone Scuffet,ITA,GK,27,Cagliari,Serie A,31.0,55,3,3,9,2,45.1,0.33,-7.9,-0.25,161,452,35.6,684,106,43.3,37.1,243,64.2,46.9,482,22,4.6,20,0.65,12.1
Boris Radunović,SRB,GK,28,Cagliari,Serie A,7.0,12,0,0,1,1,10.1,0.38,-0.9,-0.13,41,91,45.1,156,31,35.9,37.0,66,53.0,43.8,98,6,6.1,4,0.57,11.2
Simone Aresti,ITA,GK,38,Cagliari,Serie A,0.0,1,1,0,0,0,1.0,0.0,0.0,-1.21,0,1,0.0,1,0,100.0,64.0,0,0.0,0.0,3,0,0.0,0,0.0,0.0
Elia Caprile,ITA,GK,22,Empoli,Serie A,23.0,27,4,0,5,0,27.6,0.22,0.6,0.02,117,350,33.4,657,137,40.3,36.8,159,53.5,45.1,391,31,7.9,20,0.87,13.3
Etrit Berisha,ALB,GK,35,Empoli,Serie A,14.0,25,2,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33.0,90,50.0,40.8,236,11,4.7,10,0.71,12.4
Samuele Perisan,ITA,GK,26,Empoli,Serie A,1.0,2,0,0,0,0,0.7,0.14,-1.3,-1.32,1,8,12.5,22,8,27.3,26.3,12,16.7,29.6,18,0,0.0,1,1.0,21.0
Stefano Turati,ITA,GK,22,Frosinone,Serie A,30.5,58,5,0,10,1,47.5,0.28,-9.5,-0.31,72,316,22.8,919,147,27.3,29.2,144,45.1,38.8,412,18,4.4,19,0.62,13.7
Michele Cerofolini,ITA,GK,25,Frosinone,Serie A,7.5,11,0,0,1,1,5.9,0.22,-4.1,-0.55,18,100,18.0,171,28,47.4,37.2,38,50.0,42.8,126,4,3.2,7,0.93,14.3
Andrea Consigli,ITA,GK,37,Sassuolo,Serie A,35.0,68,7,1,7,3,51.7,0.28,-13.3,-0.38,172,540,31.9,982,143,42.3,36.9,252,49.6,41.2,545,23,4.2,22,0.63,11.8
Alessio Cragno,ITA,GK,29,Sassuolo,Serie A,3.0,7,1,1,1,1,5.1,0.3,-0.9,-0.28,17,45,37.8,78,11,50.0,37.8,22,27.3,30.5,37,3,8.1,8,2.67,18.6
Guillermo Ochoa,MEX,GK,38,Salernitana,Serie A,21.0,44,7,0,3,1,37.2,0.27,-5.8,-0.28,85,323,26.3,479,73,46.3,37.5,171,59.1,44.4,342,9,2.6,11,0.52,13.6
Benoît Costil,FRA,GK,36,Salernitana,Serie A,13.0,29,3,0,2,1,23.6,0.32,-4.4,-0.34,71,228,31.1,323,45,48.0,37.0,104,70.2,51.1,212,2,0.9,19,1.46,18.2
Vincenzo Fiorillo,ITA,GK,34,Salernitana,Serie A,4.0,8,0,0,4,0,7.3,0.28,-0.7,-0.18,27,96,28.1,72,9,68.1,44.9,54,87.0,56.6,77,4,5.2,1,0.25,7.6
Wéverton,BRA,GK,35,Palmeiras,Brazilian League,35.0,30,3,1,3,1,34.9,0.24,5.9,0.17,143,379,37.7,948,198,32.1,34.0,239,31.4,33.1,397,34,8.6,20,0.57,12.8
Marcelo Lomba,BRA,GK,36,Palmeiras,Brazilian League,3.0,3,1,0,0,0,5.5,0.31,2.5,0.84,14,38,36.8,78,18,35.9,32.7,23,43.5,30.9,46,5,10.9,0,0.0,3.7
Gabriel Chapecó,BRA,GK,22,Grêmio,Brazilian League,31.0,51,4,0,8,1,50.6,0.31,0.6,0.02,144,413,34.9,514,121,45.7,38.4,315,56.5,41.7,505,29,5.7,21,0.68,11.4
Caíque,BRA,GK,25,Grêmio,Brazilian League,4.0,3,1,0,0,0,6.1,0.3,3.1,0.78,17,51,33.3,62,22,56.5,43.4,33,48.5,37.8,85,8,9.4,1,0.25,8.2
Adriel,BRA,GK,22,Grêmio,Brazilian League,2.0,1,0,0,0,0,1.8,0.23,0.8,0.4,13,48,27.1,34,5,61.8,44.2,29,93.1,63.5,50,2,4.0,2,1.0,18.0
Brenno,BRA,GK,23,Grêmio,Brazilian League,1.0,1,0,0,1,0,0.9,0.43,-0.1,-0.15,2,4,50.0,16,6,12.5,21.8,3,66.7,38.0,7,0,0.0,0,0.0,13.5
Everson,BRA,GK,32,Atlético Mineiro,Brazilian League,36.0,31,2,1,1,1,41.3,0.3,11.3,0.31,190,472,40.3,885,132,43.8,37.1,177,47.5,40.5,526,30,5.7,36,1.0,14.2
Matheus Mendes,BRA,GK,23,Atlético Mineiro,Brazilian League,2.0,1,0,0,0,0,1.5,0.2,0.5,0.26,18,41,43.9,43,4,55.8,42.0,23,73.9,49.7,38,2,5.3,0,0.0,9.5
Matheus Cunha,BRA,GK,21,Flamengo,Brazilian League,17.6,22,3,0,2,0,28.5,0.27,6.5,0.37,65,181,35.9,624,82,25.2,28.4,102,23.5,27.0,275,9,3.3,23,1.31,16.7
Agustín Rossi,ARG,GK,27,Flamengo,Brazilian League,15.0,12,2,0,0,0,13.2,0.21,1.2,0.08,70,174,40.2,416,68,32.5,31.6,94,41.5,36.6,198,8,4.0,9,0.6,12.8
Santos,BRA,GK,32,Flamengo,Brazilian League,5.4,8,1,0,1,0,5.7,0.2,-2.3,-0.42,18,44,40.9,161,28,24.2,28.0,33,15.2,22.6,65,7,10.8,7,1.29,16.7
Lucas Perri,BRA,GK,25,Botafogo (RJ),Brazilian League,37.5,36,0,0,2,1,47.9,0.3,12.9,0.34,204,533,38.3,822,196,48.2,39.3,245,55.9,43.7,580,34,5.9,44,1.17,16.2
Gatito Fernández,PAR,GK,34,Botafogo (RJ),Brazilian League,0.5,1,0,0,0,0,1.8,0.45,0.8,1.59,2,4,50.0,10,3,40.0,30.4,3,0.0,20.0,3,1,33.3,3,6.0,18.4
Cleiton Schwengber,BRA,GK,25,Red Bull Bragantino,Brazilian League,33.0,27,6,0,4,1,38.4,0.28,12.4,0.38,151,449,33.6,784,145,48.0,39.4,244,29.9,31.2,382,15,3.9,63,1.91,18.2
Lucão,BRA,GK,21,Red Bull Bragantino,Brazilian League,5.0,8,1,0,0,0,5.5,0.32,-2.5,-0.5,14,42,33.3,106,26,27.4,29.9,44,29.5,28.3,57,1,1.8,7,1.4,17.4
Fábio,BRA,GK,42,Fluminense,Brazilian League,35.0,41,5,0,4,1,47.8,0.3,7.8,0.22,44,123,35.8,753,170,11.4,22.2,294,12.6,15.5,508,40,7.9,29,0.83,12.6
Pedro Rangel,BRA,GK,22,Fluminense,Brazilian League,2.0,5,0,0,1,0,3.0,0.3,-2.0,-1.02,4,8,50.0,40,13,7.5,20.2,15,33.3,27.9,28,1,3.6,1,0.5,10.8
Vitor Eudes,BRA,GK,24,Fluminense,Brazilian League,1.0,1,0,0,0,0,0.7,0.14,-0.3,-0.29,0,2,0.0,21,6,9.5,21.7,3,0.0,6.3,9,0,0.0,0,0.0,15.0
Bento,BRA,GK,23,Ath Paranaense,Brazilian League,33.0,37,4,1,5,0,37.3,0.22,0.3,0.01,113,387,29.2,589,128,42.1,37.9,290,47.9,40.6,490,35,7.1,21,0.64,11.9
Leonardo Linck,BRA,GK,21,Ath Paranaense,Brazilian League,5.0,6,0,0,1,0,9.9,0.3,3.9,0.77,24,75,32.0,102,24,55.9,43.3,30,60.0,48.9,71,1,1.4,3,0.6,17.8
Sergio Rochet,URU,GK,29,Internacional,Brazilian League,19.0,25,5,1,3,1,23.1,0.22,-0.9,-0.05,65,212,30.7,394,78,35.8,34.6,143,49.7,42.4,328,21,6.4,17,0.89,13.2
Keiller,BRA,GK,26,Internacional,Brazilian League,10.0,15,1,1,0,0,16.6,0.35,1.6,0.16,33,99,33.3,175,33,42.9,36.6,79,30.4,33.0,122,7,5.7,5,0.5,11.0
John,BRA,GK,26,Internacional,Brazilian League,9.0,5,0,0,2,0,12.1,0.32,7.1,0.79,27,84,32.1,149,33,40.3,34.2,70,34.3,30.6,172,2,1.2,13,1.44,13.8
João Ricardo Riedi,BRA,GK,34,Fortaleza,Brazilian League,31.9,39,3,0,9,2,37.8,0.26,0.8,0.02,124,354,35.0,494,143,39.3,35.2,252,63.5,44.5,441,32,7.3,8,0.25,9.0
Fernando Miguel,BRA,GK,37,Fortaleza,Brazilian League,5.1,5,0,0,1,0,6.3,0.22,1.3,0.25,18,54,33.3,77,20,42.9,36.5,38,55.3,39.4,73,2,2.7,1,0.19,10.7
Maurício Kozlinski,BRA,GK,31,Fortaleza,Brazilian League,1.0,0,0,0,0,0,0.2,0.23,0.2,0.23,0,3,0.0,14,2,21.4,24.1,2,0.0,12.0,17,1,5.9,0,0.0,7.8
Rafael Pires,BRA,GK,33,São Paulo,Brazilian League,33.0,34,6,1,1,1,37.2,0.27,4.2,0.13,118,305,38.7,785,142,29.2,31.4,212,35.8,34.1,434,19,4.4,25,0.76,13.2
Jandrei,BRA,GK,29,São Paulo,Brazilian League,5.0,4,2,0,0,0,5.7,0.22,1.7,0.33,39,93,41.9,188,25,36.7,35.5,50,48.0,41.6,64,3,4.7,4,0.8,15.2
Walter,BRA,GK,35,Cuiabá,Brazilian League,35.0,35,4,0,3,2,40.2,0.26,7.2,0.21,177,394,44.9,667,138,37.0,34.8,264,55.7,41.9,556,36,6.5,15,0.43,9.8
João Carlos,BRA,GK,34,Cuiabá,Brazilian League,3.0,4,0,0,0,0,4.5,0.37,0.5,0.15,15,30,50.0,41,10,46.3,39.5,25,44.0,37.4,34,2,5.9,0,0.0,9.7
Cássio,BRA,GK,35,Corinthians,Brazilian League,36.8,48,6,0,8,1,55.2,0.27,8.2,0.22,167,354,47.2,735,146,33.9,33.8,369,28.5,29.8,638,27,4.2,13,0.35,10.8
Carlos Miguel,BRA,GK,24,Corinthians,Brazilian League,1.2,0,0,0,0,0,1.1,0.18,1.1,0.86,7,14,50.0,31,7,29.0,33.0,11,45.5,33.7,36,1,2.8,0,0.0,11.8
Rafael Cabral,BRA,GK,32,Cruzeiro,Brazilian League,37.0,32,2,2,3,0,42.4,0.29,10.4,0.28,173,415,41.7,921,155,32.7,32.8,298,38.3,35.2,487,19,3.9,20,0.54,13.4
Anderson,BRA,GK,24,Cruzeiro,Brazilian League,1.0,0,0,0,0,0,0.0,0.03,0.0,0.03,3,6,50.0,15,3,33.3,32.5,3,33.3,32.3,3,0,0.0,0,0.0,10.0
Léo Jardim,BRA,GK,27,Vasco da Gama,Brazilian League,38.0,51,4,2,5,0,53.1,0.27,2.1,0.06,137,369,37.1,634,144,37.7,34.3,315,41.3,35.6,600,34,5.7,15,0.39,10.8
Marcos Felipe,BRA,GK,26,Bahia,Brazilian League,37.0,51,6,1,4,1,57.6,0.29,7.6,0.21,199,506,39.3,884,139,41.7,36.1,251,54.6,43.1,454,27,5.9,39,1.05,14.8
Mateus Claus,BRA,GK,28,Bahia,Brazilian League,0.6,2,0,0,0,0,1.0,0.34,-1.0,-1.69,1,1,100.0,7,1,14.3,23.7,5,0.0,19.4,4,0,0.0,0,0.0,0.0
João Paulo,BRA,GK,27,Santos,Brazilian League,35.7,51,4,2,8,1,52.4,0.27,2.4,0.07,142,429,33.1,641,118,42.9,37.0,272,56.6,43.9,560,25,4.5,24,0.67,12.8
Vladimir,BRA,GK,33,Santos,Brazilian League,2.3,13,0,0,1,2,6.7,0.33,-4.3,-1.86,3,17,17.6,35,15,17.1,28.5,18,61.1,48.6,38,0,0.0,0,0.0,9.4
Tadeu,BRA,GK,30,Goiás,Brazilian League,35.0,45,3,1,9,0,49.2,0.3,4.2,0.12,257,585,43.9,902,160,50.9,40.6,293,43.0,39.5,671,48,7.2,19,0.54,11.3
Marcelo Rangel,BRA,GK,34,Goiás,Brazilian League,3.0,8,2,0,1,1,6.1,0.29,-0.9,-0.31,6,24,25.0,52,12,26.9,32.8,29,34.5,30.2,49,2,4.1,0,0.0,6.4
Gabriel,BRA,GK,30,Coritiba,Brazilian League,30.7,60,7,1,9,2,51.8,0.27,-6.2,-0.2,158,463,34.1,742,153,45.3,38.3,256,49.6,40.8,531,42,7.9,28,0.91,12.3
Luan Polli,BRA,GK,29,Coritiba,Brazilian League,4.3,9,1,1,1,0,6.9,0.2,-2.1,-0.49,23,57,40.4,78,17,48.7,39.9,30,63.3,48.1,62,4,6.5,7,1.64,16.3
Pedro Luccas,BRA,GK,19,Coritiba,Brazilian League,3.0,4,1,0,1,0,4.4,0.16,0.4,0.14,18,50,36.0,67,13,37.3,36.8,32,78.1,53.0,92,5,5.4,0,0.0,4.5
Matheus Cavichioli,BRA,GK,36,América (MG),Brazilian League,15.0,31,2,0,1,2,27.4,0.32,-1.6,-0.11,98,205,47.8,261,58,54.8,40.3,115,53.9,40.4,275,24,8.7,18,1.2,13.3
Jori,BRA,GK,26,América (MG),Brazilian League,11.0,25,2,1,3,1,23.7,0.31,-0.3,-0.02,36,107,33.6,177,62,33.9,33.7,95,49.5,38.9,209,15,7.2,8,0.73,10.8
Mateus Pasinato,BRA,GK,30,América (MG),Brazilian League,10.0,20,1,1,1,0,18.6,0.31,-1.4,-0.14,46,100,46.0,175,50,37.1,35.3,69,50.7,42.4,160,14,8.8,9,0.9,12.1
Washington Aguerre,URU,GK,29,América (MG),Brazilian League,2.0,4,0,0,1,0,3.1,0.44,-0.9,-0.47,4,14,28.6,25,10,40.0,37.0,16,25.0,27.1,47,4,8.5,0,0.0,6.8
Lukáš Hrádecký,FIN,GK,33,Leverkusen,Bundesliga,33.0,24,0,0,4,0,27.5,0.27,3.5,0.11,71,202,35.1,736,165,20.8,27.6,145,33.8,34.5,313,27,8.6,39,1.18,16.5
Matej Kovar,CZE,GK,23,Leverkusen,Bundesliga,1.0,0,0,0,0,0,0.4,0.15,0.4,0.44,0,0,0.0,17,6,0.0,22.1,0,0.0,0.0,3,1,33.3,1,1.0,15.0
Alexander Nübel,GER,GK,26,Stuttgart,Bundesliga,30.0,36,3,0,5,3,30.8,0.27,-2.2,-0.07,126,291,43.3,1103,132,23.1,28.7,112,32.1,32.7,341,30,8.8,57,1.9,17.3
Fabian Bredlow,GER,GK,28,Stuttgart,Bundesliga,4.0,3,0,0,1,0,5.0,0.23,2.0,0.49,22,61,36.1,168,15,31.5,31.0,11,72.7,51.7,55,1,1.8,5,1.25,16.6
Manuel Neuer,GER,GK,37,Bayern Munich,Bundesliga,22.8,33,2,1,1,0,29.1,0.29,-3.9,-0.17,73,159,45.9,779,110,18.6,27.7,97,14.4,26.0,231,9,3.9,32,1.4,17.5
Sven Ulreich,GER,GK,34,Bayern Munich,Bundesliga,11.0,12,1,1,2,0,11.8,0.35,-0.2,-0.01,26,79,32.9,348,57,20.4,26.2,47,17.0,26.4,108,5,4.6,16,1.45,19.9
Janis Blaswich,GER,GK,32,RB Leipzig,Bundesliga,21.0,30,4,0,7,0,25.3,0.28,-4.7,-0.22,57,155,36.8,822,89,14.7,25.7,134,25.4,30.7,251,16,6.4,37,1.76,17.6
Péter Gulácsi,HUN,GK,33,RB Leipzig,Bundesliga,13.0,9,0,1,1,1,10.3,0.25,2.3,0.17,22,79,27.8,373,58,12.9,25.1,97,32.0,32.2,175,7,4.0,14,1.08,14.5
Gregor Kobel,SUI,GK,25,Dortmund,Bundesliga,26.3,34,5,0,9,1,36.8,0.28,3.8,0.14,106,268,39.6,1006,106,19.6,28.1,165,43.0,38.5,359,7,1.9,17,0.65,12.5
Alexander Meyer,GER,GK,32,Dortmund,Bundesliga,7.7,9,0,0,0,1,7.8,0.3,-0.2,-0.03,27,81,33.3,334,29,20.1,28.3,31,45.2,42.1,107,8,7.5,7,0.91,14.5
Kevin Trapp,GER,GK,33,Eint Frankfurt,Bundesliga,32.0,48,9,0,4,0,48.3,0.28,0.3,0.01,102,361,28.3,949,137,28.9,29.8,212,41.0,36.2,452,16,3.5,30,0.94,15.2
Jens Grahl,GER,GK,34,Eint Frankfurt,Bundesliga,2.0,2,0,0,0,0,1.4,0.15,-0.6,-0.31,4,29,13.8,77,15,31.2,34.4,15,33.3,37.9,33,4,12.1,4,2.0,15.7
Oliver Baumann,GER,GK,33,Hoffenheim,Bundesliga,34.0,66,2,3,9,1,68.6,0.31,3.6,0.11,208,529,39.3,1159,165,33.7,32.7,249,55.4,44.9,545,31,5.7,73,2.15,16.7
Kevin Müller,GER,GK,32,Heidenheim,Bundesliga,34.0,55,7,0,7,3,53.6,0.27,1.6,0.05,249,595,41.8,1164,167,35.2,35.9,316,58.5,46.1,495,24,4.8,17,0.5,13.2
Michael Zetterer,GER,GK,28,Werder Bremen,Bundesliga,27.0,37,4,0,4,1,41.0,0.3,5.0,0.18,145,330,43.9,977,161,28.5,32.7,144,36.1,38.1,407,34,8.4,30,1.11,14.6
Jiří Pavlenka,CZE,GK,31,Werder Bremen,Bundesliga,7.0,17,2,0,1,0,13.1,0.3,-3.9,-0.56,31,85,36.5,177,37,37.9,34.2,69,26.1,32.5,109,7,6.4,9,1.29,14.4
Noah Atubolu,GER,GK,21,Freiburg,Bundesliga,34.0,58,3,1,5,1,50.0,0.3,-7.0,-0.21,193,568,34.0,1148,160,35.4,34.2,241,67.2,50.7,485,31,6.4,30,0.88,13.6
Finn Dahmen,GER,GK,25,Augsburg,Bundesliga,31.0,52,7,0,10,2,49.3,0.26,-0.7,-0.02,169,450,37.6,1151,92,30.8,32.4,187,51.3,44.3,484,28,5.8,50,1.61,15.0
Tomáš Koubek,CZE,GK,30,Augsburg,Bundesliga,3.0,8,0,0,2,0,6.7,0.29,-1.3,-0.43,16,40,40.0,74,6,36.5,34.5,24,54.2,46.5,36,2,5.6,2,0.67,11.6
Koen Casteels,BEL,GK,31,Wolfsburg,Bundesliga,25.0,39,2,0,2,2,36.4,0.3,-0.6,-0.03,161,390,41.3,786,118,36.3,35.0,161,65.2,48.4,335,25,7.5,38,1.52,15.7
Pavao Pervan,AUT,GK,35,Wolfsburg,Bundesliga,9.0,17,0,2,2,1,11.5,0.32,-4.5,-0.51,40,104,38.5,263,39,33.5,32.8,37,43.2,39.6,127,1,0.8,3,0.33,12.1
Robin Zentner,GER,GK,28,Mainz 05,Bundesliga,30.0,48,3,1,2,1,49.2,0.37,2.2,0.07,180,512,35.2,862,146,47.3,38.5,177,58.8,46.4,393,42,10.7,48,1.6,16.0
Daniel Batz,GER,GK,32,Mainz 05,Bundesliga,4.0,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31.0,132,14,38.6,34.7,21,33.3,34.8,38,4,10.5,2,0.5,11.3
Moritz Nicolas,GER,GK,25,Gladbach,Bundesliga,27.0,49,4,0,6,0,45.1,0.26,-3.9,-0.14,112,315,35.6,888,140,26.0,29.7,161,52.2,42.5,460,21,4.6,22,0.81,13.2
Jonas Omlin,SUI,GK,29,Gladbach,Bundesliga,7.0,18,2,0,1,0,13.3,0.24,-4.7,-0.67,32,90,35.6,242,37,30.2,32.3,34,50.0,41.8,78,7,9.0,12,1.71,15.3
Frederik Rønnow,DEN,GK,30,Union Berlin,Bundesliga,33.0,56,5,2,7,1,51.7,0.28,-3.3,-0.1,198,525,37.7,1096,174,35.2,33.6,218,63.8,47.4,539,54,10.0,37,1.12,12.9
Alexander Schwolow,GER,GK,31,Union Berlin,Bundesliga,1.0,2,0,0,0,0,1.2,0.2,-0.8,-0.81,4,10,40.0,28,4,32.1,34.1,8,12.5,28.4,13,0,0.0,0,0.0,5.0
Manuel Riemann,GER,GK,34,Bochum,Bundesliga,33.0,70,9,0,9,3,59.6,0.27,-7.4,-0.22,430,1041,41.3,1498,89,61.0,42.5,208,61.1,46.9,510,35,6.9,104,3.15,19.8
Andreas Luthe,GER,GK,36,Bochum,Bundesliga,1.0,4,0,0,0,1,2.7,0.68,-0.3,-0.3,20,43,46.5,42,2,85.7,51.3,7,100.0,61.1,13,0,0.0,0,0.0,7.7
