player,nationality,position,age,club,league,minutes_90s,GA,PK_scored,FK_scored,CK_scored,OG,psxg,psxg_per_sot,psxg_net,psxg_net90,launched_c,launched,launched_pct,passes,throws,launch_pct,avg_len,gk,gk_launched,gk_avg_len,crosses,crosses_stopped,crosses_stopped_pct,OPA,OPA_per90,avg_dist
Obed Nkambadio,FRA,GK,20,Paris FC,Ligue 2,29.5,30,2,2,3,1,33.0,0.32,4.0,0.14,147,361,40.7,1086,145,26.2,30.3,227,33.5,34.2,361,22,6.1,25,0.85,12.1
Oliver Christensen,DEN,GK,24,Hertha BSC,2. Bundesliga,2.0,2,0,0,1,0,2.3,0.33,0.3,0.14,11,17,64.7,57,8,28.1,27.6,10,10.0,18.1,26,0,0.0,3,1.5,18.6
Oscar Jiménez,MEX,GK,34,América,Liga MX,5.5,4,0,0,0,0,7.0,0.27,3.0,0.54,15,40,37.5,113,25,23.0,30.8,42,33.3,29.6,58,1,1.7,2,0.36,12.3
Pablo Cuñat,ESP,GK,22,Amorebieta,Segunda Division,26.0,29,4,2,4,2,32.9,0.26,5.9,0.23,177,503,35.2,687,86,52.0,41.1,211,69.2,52.5,409,24,5.9,46,1.77,14.8
Pablo Sisniega,MEX,GK,27,Charlotte,MLS,3.0,7,1,0,0,1,4.1,0.21,-1.9,-0.63,8,26,30.8,56,11,35.7,34.5,13,46.2,38.6,31,1,3.2,1,0.33,11.6
Patrick Drewes,GER,GK,30,Karlsruher,2. Bundesliga,32.0,46,2,1,10,1,48.4,0.3,3.4,0.1,231,566,40.8,1359,126,31.7,30.9,226,59.7,43.1,525,34,6.5,49,1.53,16.0
Patrick Schulte,USA,GK,21,Crew,MLS,31.0,43,3,0,7,1,41.3,0.3,-0.7,-0.02,67,242,27.7,951,181,19.5,27.1,177,32.2,31.9,309,12,3.9,49,1.58,19.2
Pedro Gallese,PER,GK,32,Orlando City,MLS,30.0,33,2,0,3,1,33.4,0.28,1.4,0.05,105,304,34.5,627,97,36.0,32.6,232,33.6,29.4,365,24,6.6,37,1.23,15.7
Pelle Boevink,NED,GK,25,Paderborn 07,2. Bundesliga,20.0,27,3,0,1,0,25.5,0.32,-1.5,-0.07,167,386,43.3,962,107,33.7,32.8,126,49.2,44.7,282,25,8.9,34,1.7,16.0
Philipp Kühn,GER,GK,30,Osnabrück,2. Bundesliga,18.9,32,2,0,4,0,32.9,0.31,0.9,0.05,162,445,36.4,628,75,50.8,39.3,173,72.8,53.1,336,16,4.8,23,1.22,16.4
Quentin Westberg,USA,GK,36,Atlanta Utd,MLS,5.5,10,2,0,0,1,8.0,0.32,-1.0,-0.18,13,30,43.3,177,19,13.6,26.1,25,24.0,29.5,58,1,1.7,10,1.82,18.2
Rafał Strączek,POL,GK,24,Bordeaux,Ligue 2,16.0,19,1,0,2,0,18.2,0.3,-0.8,-0.05,30,92,32.6,523,83,12.6,24.1,89,29.2,31.4,193,7,3.6,20,1.25,17.2
Ralf Fährmann,GER,GK,34,Schalke 04,2. Bundesliga,9.0,19,1,0,2,1,13.2,0.34,-4.8,-0.53,48,140,34.3,300,32,34.3,33.6,52,71.2,50.7,125,4,3.2,14,1.56,17.3
Ramón,ESP,GK,24,CD Mirandés,Segunda Division,35.0,44,3,4,3,0,37.0,0.25,-7.0,-0.2,150,478,31.4,755,147,38.7,35.1,296,62.8,47.2,582,35,6.0,26,0.74,12.1
Ramón Pasquel,MEX,GK,27,FC Juárez,Liga MX,0.7,1,1,0,0,0,1.1,0.07,0.1,0.21,2,7,28.6,16,3,12.5,23.8,8,62.5,46.1,10,0,0.0,0,0.0,15.5
