player,nationality,position,age,club,league,minutes_90s,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_completed,passes_offside,passes_blocked
Henrikh Mkhitaryan,ARM,MF,35,Inter,Serie A,30.9,1679,1654,22,14,8,11,32,8,0,0,0,0,1453,3,44
Yann Sommer,SUI,GK,35,Inter,Serie A,34.0,1236,992,242,41,0,1,0,0,0,0,0,0,1078,2,0
Nicolò Barella,ITA,MF,27,Inter,Serie A,31.6,2168,2120,37,17,12,25,51,19,1,0,0,0,1835,11,37
Marcus Thuram,FRA,FW,26,Inter,Serie A,29.9,656,641,14,0,4,4,21,1,0,0,0,0,476,1,21
Hakan Çalhanoğlu,TUR,MF,30,Inter,Serie A,28.4,2316,2097,210,92,4,35,153,4,113,52,47,0,2045,9,18
Lautaro Martínez,ARG,FW,26,Inter,Serie A,29.5,782,734,42,4,12,3,15,1,0,0,0,0,604,6,28
Federico Dimarco,ITA,DF,26,Inter,Serie A,23.1,1328,1116,207,24,1,6,196,124,59,22,30,0,1027,5,34
Alessandro Bastoni,ITA,DF,25,Inter,Serie A,25.2,1935,1787,139,58,1,29,76,71,0,0,0,0,1671,9,30
Matteo Darmian,ITA,DF,34,Inter,Serie A,26.7,1389,1236,150,16,5,9,21,134,0,0,0,0,1181,3,30
Francesco Acerbi,ITA,DF,36,Inter,Serie A,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5
Benjamin Pavard,FRA,DF,28,Inter,Serie A,18.6,1308,1247,59,33,0,3,24,26,0,0,0,0,1180,2,10
Denzel Dumfries,NED,DF,28,Inter,Serie A,18.2,801,656,142,4,0,2,47,138,0,0,0,0,614,3,16
Stefan de Vrij,NED,DF,32,Inter,Serie A,17.6,1010,989,20,15,0,0,0,1,0,0,0,0,932,1,2
Carlos Augusto,BRA,DF,25,Inter,Serie A,19.2,1099,977,112,14,0,3,40,92,0,0,0,0,921,10,25
Yann Aurel Bisseck,GER,DF,23,Inter,Serie A,10.0,641,614,27,20,1,2,5,7,0,0,0,0,590,0,9
Davide Frattesi,ITA,MF,24,Inter,Serie A,10.6,301,293,7,6,2,2,11,1,0,0,0,0,235,1,7
Kristjan Asllani,ALB,MF,22,Inter,Serie A,8.7,744,685,56,23,2,4,35,1,32,12,10,0,662,3,6
Alexis Sánchez,CHI,FW,35,Inter,Serie A,8.5,367,335,31,6,5,6,31,0,21,10,6,0,276,1,13
Marko Arnautović,AUT,FW,35,Inter,Serie A,8.9,271,264,5,0,3,1,7,0,0,0,0,0,203,2,9
Emil Audero,ITA,GK,27,Inter,Serie A,3.7,197,174,21,3,0,0,0,0,0,0,0,0,166,2,1
Davy Klaassen,NED,MF,31,Inter,Serie A,2.3,95,94,1,1,0,1,0,0,0,0,0,0,82,0,2
Juan Cuadrado,COL,DF,36,Inter,Serie A,3.0,189,169,20,3,0,6,18,17,0,0,0,0,158,0,0
Tajon Buchanan,CAN,DF,25,Inter,Serie A,1.8,72,70,2,0,0,0,11,2,0,0,0,0,58,0,3
Stefano Sensi,ITA,MF,28,Inter,Serie A,0.5,52,49,3,1,1,1,1,0,2,0,1,0,47,0,1
Raffaele Di Gennaro,ITA,GK,30,Inter,Serie A,0.3,17,15,1,0,0,0,0,0,0,0,0,0,15,1,0
Ebenezer Akinsanmiro,NGA,MF,19,Inter,Serie A,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0
Lucien Agoume,FRA,MF,22,Inter,Serie A,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Tijjani Reijnders,NED,MF,25,Milan,Serie A,31.3,1746,1669,73,33,7,2,39,14,23,11,7,0,1575,4,22
Christian Pulisic,USA,"FW,MF",25,Milan,Serie A,28.9,1074,1035,36,3,3,2,101,12,21,5,13,0,832,3,48
Theo Hernández,FRA,DF,26,Milan,Serie A,31.0,1994,1738,252,80,6,17,68,146,18,4,7,0,1717,4,45
Mike Maignan,FRA,GK,28,Milan,Serie A,29.0,1228,1027,190,43,0,2,0,0,0,0,0,0,1033,11,2
Rafael Leão,POR,FW,24,Milan,Serie A,27.9,1032,984,42,5,7,8,108,25,10,0,0,0,760,6,27
Olivier Giroud,FRA,FW,37,Milan,Serie A,26.3,492,435,55,1,2,1,3,3,0,0,0,0,338,2,9
Davide Calabria,ITA,DF,27,Milan,Serie A,24.3,1541,1292,245,43,1,5,36,202,0,0,0,0,1320,4,13
Ruben Loftus-Cheek,ENG,MF,28,Milan,Serie A,23.0,733,724,7,1,1,1,13,1,0,0,0,0,619,2,8
Fikayo Tomori,ENG,DF,26,Milan,Serie A,23.6,1691,1584,105,34,0,3,3,11,0,0,0,0,1541,2,9
Alessandro Florenzi,ITA,DF,33,Milan,Serie A,19.2,1277,1055,218,51,1,20,122,104,63,28,30,0,1055,4,16
Malick Thiaw,GER,DF,22,Milan,Serie A,18.0,1184,1153,30,15,0,2,0,4,0,0,0,0,1084,1,7
Yacine Adli,FRA,MF,23,Milan,Serie A,15.6,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14
Matteo Gabbia,ITA,DF,24,Milan,Serie A,14.2,902,862,39,19,0,2,0,4,0,0,0,0,815,1,7
Simon Kjær,DEN,DF,35,Milan,Serie A,13.0,833,807,26,20,0,4,1,2,0,0,0,0,735,0,2
Yunus Musah,USA,"MF,FW",21,Milan,Serie A,16.4,666,628,37,1,0,3,28,36,0,0,0,0,566,1,12
Ismaël Bennacer,ALG,MF,26,Milan,Serie A,12.8,818,772,43,21,7,3,32,5,17,4,8,0,711,3,11
Samuel Chukwueze,NGA,FW,25,Milan,Serie A,11.3,421,410,10,0,7,1,20,7,3,2,0,0,330,1,11
Luka Jović,SRB,FW,26,Milan,Serie A,9.7,182,153,26,2,0,0,1,1,1,0,0,0,133,3,6
Rade Krunić,BIH,MF,30,Milan,Serie A,7.6,431,401,30,27,1,1,4,3,0,0,0,0,388,0,2
Marco Sportiello,ITA,GK,32,Milan,Serie A,7.0,247,220,27,10,0,0,0,0,0,0,0,0,213,0,0
Noah Okafor,SUI,"FW,MF",24,Milan,Serie A,9.9,193,184,6,0,1,1,22,2,0,0,0,0,120,3,6
Pierre Kalulu,FRA,DF,23,Milan,Serie A,4.2,259,242,17,6,1,0,5,11,0,0,0,0,230,0,8
Tommaso Pobega,ITA,MF,24,Milan,Serie A,3.5,132,131,1,1,1,0,0,0,0,0,0,0,103,0,5
Antonio Mirante,ITA,GK,40,Milan,Serie A,2.0,54,45,9,1,0,0,0,0,0,0,0,0,41,0,0
Filippo Terracciano,ITA,"DF,FW",21,Milan,Serie A,0.8,40,39,1,0,0,0,0,1,0,0,0,0,38,0,0
Jan-Carlo Simic,SRB,DF,19,Milan,Serie A,1.6,64,62,2,2,0,0,0,0,0,0,0,0,59,0,0
Luka Romero,ARG,"FW,MF",19,Milan,Serie A,1.0,39,37,2,0,0,0,2,1,1,1,0,0,33,0,1
Davide Bartesaghi,ITA,"DF,MF",18,Milan,Serie A,0.9,35,28,7,0,0,0,0,7,0,0,0,0,28,0,2
Alejandro Jiménez,ESP,DF,19,Milan,Serie A,0.8,43,35,8,0,0,0,1,8,0,0,0,0,39,0,1
Marco Pellegrino,ARG,DF,21,Milan,Serie A,0.8,48,46,2,0,0,0,0,0,0,0,0,0,43,0,1
Mattia Caldara,ITA,DF,30,Milan,Serie A,0.4,24,24,0,0,0,0,0,0,0,0,0,0,20,0,0
Kevin Zeroli,ITA,MF,19,Milan,Serie A,0.3,6,6,0,0,0,0,1,0,0,0,0,0,2,0,1
Chaka Traorè,CIV,FW,19,Milan,Serie A,0.2,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0
Francesco Camarda,ITA,FW,16,Milan,Serie A,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lapo Nava,ITA,GK,20,Milan,Serie A,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Gleison Bremer,BRA,DF,27,Juventus,Serie A,35.9,1930,1854,71,25,0,8,1,2,0,0,0,0,1661,5,14
Wojciech Szczęsny,POL,GK,34,Juventus,Serie A,35.0,1006,771,231,57,0,5,0,0,0,0,0,0,780,4,0
Manuel Locatelli,ITA,MF,26,Juventus,Serie A,33.4,1988,1871,108,98,5,34,10,10,0,0,0,0,1703,9,15
Adrien Rabiot,FRA,MF,29,Juventus,Serie A,29.5,1211,1167,40,15,3,7,45,25,0,0,0,0,996,4,27
Federico Gatti,ITA,DF,25,Juventus,Serie A,29.3,1370,1295,71,23,1,13,19,48,0,0,0,0,1166,4,21
Weston McKennie,USA,"MF,DF",25,Juventus,Serie A,28.8,1172,990,178,9,3,6,59,168,1,0,0,0,898,4,23
Andrea Cambiaso,ITA,"DF,FW",24,Juventus,Serie A,26.4,1207,1096,105,16,2,10,81,70,18,4,5,0,1007,6,38
Danilo,BRA,DF,32,Juventus,Serie A,27.2,1849,1635,205,49,2,23,18,89,0,0,0,0,1591,9,12
Dušan Vlahović,SRB,FW,24,Juventus,Serie A,25.6,542,492,44,3,2,5,7,0,0,0,0,0,380,6,23
Filip Kostić,SRB,DF,31,Juventus,Serie A,20.2,997,808,187,18,0,5,168,109,60,19,37,0,726,2,38
Federico Chiesa,ITA,FW,26,Juventus,Serie A,24.4,712,615,90,15,6,4,117,20,50,22,22,0,498,7,29
Fabio Miretti,ITA,MF,20,Juventus,Serie A,12.3,449,412,36,5,2,5,32,3,23,2,15,0,344,1,12
Daniele Rugani,ITA,DF,29,Juventus,Serie A,13.2,636,611,24,8,0,4,1,1,0,0,0,0,564,1,4
Timothy Weah,USA,"DF,FW",24,Juventus,Serie A,14.0,597,554,40,0,0,1,38,40,0,0,0,0,476,3,23
Kenan Yıldız,TUR,"FW,DF",19,Juventus,Serie A,10.6,349,338,11,1,2,4,17,3,5,0,3,0,284,0,3
Alex Sandro,BRA,DF,33,Juventus,Serie A,8.0,555,474,79,11,0,2,5,59,0,0,0,0,479,2,4
Moise Kean,ITA,FW,24,Juventus,Serie A,7.3,96,88,7,0,0,1,1,1,0,0,0,0,66,1,5
Arkadiusz Milik,POL,FW,30,Juventus,Serie A,10.2,270,260,9,1,3,2,4,1,0,0,0,0,215,1,3
Samuel Iling-Junior,ENG,"DF,MF",20,Juventus,Serie A,9.0,433,371,60,10,0,3,46,38,12,2,9,0,330,2,17
Nicolò Fagioli,ITA,MF,23,Juventus,Serie A,4.9,223,202,21,6,1,4,19,3,10,1,7,0,193,0,2
Carlos Alcaraz,ARG,MF,21,Juventus,Serie A,4.2,165,155,10,7,2,1,1,2,1,0,0,0,143,0,3
Hans Nicolussi Caviglia,ITA,MF,23,Juventus,Serie A,3.0,136,114,22,8,0,6,18,1,13,3,8,0,107,0,1
Mattia Perin,ITA,GK,31,Juventus,Serie A,2.5,66,49,17,5,0,1,0,0,0,0,0,0,54,0,0
Mattia De Sciglio,ITA,DF,31,Juventus,Serie A,0.5,19,17,2,0,0,0,0,2,0,0,0,0,17,0,0
Paul Pogba,FRA,MF,31,Juventus,Serie A,0.6,35,32,3,3,1,1,1,0,0,0,0,0,27,0,2
Carlo Pinsoglio,ITA,GK,34,Juventus,Serie A,0.5,21,19,2,2,0,0,0,0,0,0,0,0,14,0,0
Joseph Nonge,BEL,MF,19,Juventus,Serie A,0.3,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
Tiago Djaló,POR,DF,24,Juventus,Serie A,0.2,13,11,2,2,0,0,0,0,0,0,0,0,12,0,1
Dean Huijsen,ESP,DF,19,Juventus,Serie A,0.1,19,18,0,0,0,1,0,0,0,0,0,0,18,1,0
Nikola Sekulov,ITA,FW,22,Juventus,Serie A,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Leonardo Cerri,ITA,DF,21,Juventus,Serie A,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Berat Djimsiti,ALB,DF,31,Atalanta,Serie A,31.3,1652,1575,75,58,1,6,6,17,0,0,0,0,1446,2,11
Ederson,BRA,MF,24,Atalanta,Serie A,30.9,1607,1556,44,42,6,17,17,2,0,0,0,0,1341,7,27
Giorgio Scalvini,ITA,DF,20,Atalanta,Serie A,27.3,1515,1454,55,33,1,9,5,22,0,0,0,0,1235,6,21
Marten de Roon,NED,"MF,DF",33,Atalanta,Serie A,28.9,1712,1636,74,60,5,22,16,13,0,0,0,0,1446,2,17
Teun Koopmeiners,NED,MF,26,Atalanta,Serie A,28.2,1374,1244,122,32,3,9,115,12,55,29,18,0,1057,8,31
Matteo Ruggeri,ITA,DF,21,Atalanta,Serie A,26.2,1504,1293,211,7,0,8,97,194,10,1,4,0,1199,0,31
Marco Carnesecchi,ITA,GK,23,Atalanta,Serie A,25.9,843,604,233,44,0,0,0,0,0,0,0,0,591,6,1
Sead Kolašinac,BIH,DF,30,Atalanta,Serie A,24.2,1278,1192,81,28,1,4,9,53,0,0,0,0,1077,5,26
Charles De Ketelaere,BEL,"FW,MF",23,Atalanta,Serie A,21.7,748,715,32,7,5,2,44,7,2,0,2,0,543,1,24
Davide Zappacosta,ITA,DF,31,Atalanta,Serie A,20.7,1049,857,191,13,0,2,76,168,10,4,4,0,881,1,28
Mario Pašalić,CRO,"MF,FW",29,Atalanta,Serie A,21.8,1088,1054,31,26,4,11,9,1,0,0,0,0,938,3,13
Ademola Lookman,NGA,"FW,MF",26,Atalanta,Serie A,20.4,807,731,76,5,6,4,67,7,52,20,17,0,617,0,25
Gianluca Scamacca,ITA,FW,25,Atalanta,Serie A,15.8,426,413,9,1,4,16,6,0,0,0,0,0,288,4,17
Aleksei Miranchuk,RUS,"MF,FW",28,Atalanta,Serie A,12.7,600,532,67,11,2,5,81,1,52,31,16,0,436,1,21
Juan Musso,ARG,GK,30,Atalanta,Serie A,11.0,371,282,87,17,0,1,0,0,0,0,0,0,278,2,0
Emil Holm,SWE,DF,24,Atalanta,Serie A,9.9,431,340,90,2,0,1,33,88,0,0,0,0,288,1,19
Hans Hateboer,NED,DF,30,Atalanta,Serie A,12.3,605,505,96,4,0,2,34,92,0,0,0,0,505,4,16
Rafael Tolói,ITA,DF,33,Atalanta,Serie A,9.9,488,460,27,12,0,0,8,15,0,0,0,0,399,1,7
Isak Hien,SWE,DF,25,Atalanta,Serie A,9.4,431,414,17,11,0,1,0,0,0,0,0,0,380,0,2
Mitchel Bakker,NED,DF,23,Atalanta,Serie A,4.2,212,168,42,3,0,0,13,36,3,0,3,0,167,2,8
El Bilal Touré,MLI,FW,22,Atalanta,Serie A,4.2,124,122,2,0,1,1,1,0,0,0,0,0,91,0,5
Luis Muriel,COL,"FW,MF",33,Atalanta,Serie A,4.5,241,203,36,5,1,1,31,5,21,16,0,1,170,2,5
Duván Zapata,COL,FW,33,Atalanta,Serie A,1.2,50,47,3,1,0,0,6,1,0,0,0,0,36,0,4
Giovanni Bonfanti,ITA,DF,21,Atalanta,Serie A,1.0,57,52,5,2,0,0,2,3,0,0,0,0,46,0,2
Nadir Zortea,ITA,DF,24,Atalanta,Serie A,1.7,92,77,15,0,0,0,12,14,1,0,1,0,69,0,5
Michel Ndary Adopo,FRA,MF,23,Atalanta,Serie A,1.2,89,88,1,1,0,0,1,0,0,0,0,0,74,0,1
José Luis Palomino,ARG,DF,34,Atalanta,Serie A,0.3,32,31,1,1,0,0,0,0,0,0,0,0,25,0,0
Francesco Rossi,ITA,GK,33,Atalanta,Serie A,0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Leonardo Mendicino,ITA,MF,17,Atalanta,Serie A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukasz Skorupski,POL,GK,33,Bologna,Serie A,32.0,1018,773,244,56,0,1,0,0,0,0,0,0,796,1,1
Joshua Zirkzee,NED,FW,23,Bologna,Serie A,30.7,917,850,66,3,7,6,8,8,0,0,0,0,710,1,36
Lewis Ferguson,SCO,MF,24,Bologna,Serie A,30.1,1778,1740,34,16,7,9,11,17,1,0,0,0,1571,4,37
Remo Freuler,SUI,MF,32,Bologna,Serie A,29.2,1890,1789,97,87,1,4,9,10,0,0,0,0,1710,4,22
Sam Beukema,NED,DF,25,Bologna,Serie A,28.3,2055,1971,81,47,1,12,2,18,0,0,0,0,1842,3,13
Stefan Posch,AUT,DF,27,Bologna,Serie A,26.8,2082,1779,298,50,0,7,39,248,0,0,0,0,1712,5,48
Riccardo Calafiori,ITA,DF,22,Bologna,Serie A,26.1,1810,1720,89,38,2,16,9,17,0,0,0,0,1622,1,20
Victor Bernth Kristiansen,DEN,DF,21,Bologna,Serie A,25.6,1688,1452,231,24,0,4,35,207,0,0,0,0,1422,5,22
Michel Aebischer,SUI,MF,27,Bologna,Serie A,24.8,1503,1447,53,34,3,5,12,13,6,3,0,0,1370,3,17
Jhon Lucumí,COL,DF,25,Bologna,Serie A,24.6,1857,1771,84,57,0,13,1,16,0,0,0,0,1734,2,8
Alexis Saelemaekers,BEL,"FW,MF",24,Bologna,Serie A,21.0,1008,908,92,25,5,8,86,14,50,27,21,0,786,8,36
Dan Ndoye,SUI,"FW,MF",23,Bologna,Serie A,19.7,602,577,21,1,0,5,47,5,15,11,2,0,467,4,27
Riccardo Orsolini,ITA,"FW,MF",27,Bologna,Serie A,19.9,731,646,80,18,3,21,100,3,59,43,14,0,490,5,38
Giovanni Fabbian,ITA,"MF,FW",21,Bologna,Serie A,11.7,287,282,5,3,1,1,4,2,0,0,0,0,225,0,7
Charalambos Lykogiannis,GRE,DF,30,Bologna,Serie A,10.0,594,496,96,9,0,8,59,84,3,2,1,0,451,2,16
Nikola Moro,CRO,MF,26,Bologna,Serie A,9.3,572,560,10,6,1,7,13,4,0,0,0,0,469,2,18
Kacper Urbanski,POL,"MF,FW",19,Bologna,Serie A,10.3,387,364,21,2,1,5,22,4,15,5,8,1,313,2,11
Lorenzo De Silvestri,ITA,DF,36,Bologna,Serie A,7.5,432,365,66,16,0,1,9,50,0,0,0,0,373,1,7
Federico Ravaglia,ITA,GK,24,Bologna,Serie A,5.9,206,160,46,12,0,0,0,0,0,0,0,0,166,0,0
Oussama El Azzouzi,MAR,MF,23,Bologna,Serie A,6.1,390,383,7,6,0,2,2,0,1,1,0,0,352,0,2
Jens Odgaard,DEN,"FW,MF",25,Bologna,Serie A,4.8,135,130,5,1,0,0,8,1,1,1,0,0,94,0,9
Jesper Karlsson,SWE,FW,25,Bologna,Serie A,3.8,152,131,20,4,0,0,24,2,14,7,5,0,103,1,5
Santiago Castro,ARG,FW,19,Bologna,Serie A,2.7,52,47,5,0,0,1,1,1,0,0,0,0,43,0,1
Sydney van Hooijdonk,NED,FW,24,Bologna,Serie A,2.4,36,30,5,0,0,0,1,0,0,0,0,0,28,1,2
Tommaso Corazza,ITA,DF,19,Bologna,Serie A,2.2,145,110,35,5,0,1,8,30,0,0,0,0,119,0,9
Nicolás Domínguez,ARG,MF,25,Bologna,Serie A,1.1,92,90,2,1,0,0,0,1,0,0,0,0,83,0,1
Kevin Bonifazi,ITA,DF,28,Bologna,Serie A,1.0,82,80,2,2,0,0,0,0,0,0,0,0,72,0,1
Nicola Bagnolini,ITA,GK,20,Bologna,Serie A,0.1,3,1,2,0,0,0,0,0,0,0,0,0,2,0,0
Bryan Cristante,ITA,"MF,DF",29,Roma,Serie A,36.5,2178,2140,30,28,5,21,29,2,0,0,0,0,1785,8,43
Gianluca Mancini,ITA,DF,28,Roma,Serie A,31.9,2011,1909,98,72,2,7,24,5,0,0,0,0,1744,4,6
Leandro Paredes,ARG,MF,29,Roma,Serie A,29.3,2129,1950,177,104,3,20,82,12,60,33,24,0,1880,2,20
Romelu Lukaku,BEL,FW,31,Roma,Serie A,29.3,621,574,40,0,0,1,13,0,0,0,0,0,438,7,26
Diego Llorente,ESP,DF,30,Roma,Serie A,24.1,1648,1592,55,28,1,3,6,8,0,0,0,0,1501,1,11
Obite N'Dicka,CIV,DF,24,Roma,Serie A,24.1,1587,1523,62,38,0,2,11,7,0,0,0,0,1437,2,7
Paulo Dybala,ARG,"FW,MF",30,Roma,Serie A,21.8,1000,877,117,27,7,11,88,10,54,22,27,0,790,6,20
Rui Patrício,POR,GK,36,Roma,Serie A,23.0,630,442,187,50,0,0,0,0,0,0,0,0,493,1,0
Lorenzo Pellegrini,ITA,MF,27,Roma,Serie A,20.7,850,779,70,27,9,3,76,2,40,19,17,0,665,1,16
Rasmus Kristensen,DEN,DF,26,Roma,Serie A,19.4,1037,879,152,8,1,1,44,144,0,0,0,0,799,6,25
Stephan El Shaarawy,ITA,"FW,DF",31,Roma,Serie A,19.3,662,617,42,1,2,9,17,39,1,1,0,0,545,3,17
Edoardo Bove,ITA,MF,22,Roma,Serie A,19.8,780,764,11,10,3,3,8,1,0,0,0,0,649,5,19
Mile Svilar,SRB,GK,24,Roma,Serie A,15.0,605,492,113,24,0,0,0,0,0,0,0,0,526,0,0
Leonardo Spinazzola,ITA,DF,31,Roma,Serie A,14.6,849,731,112,8,3,7,84,104,0,0,0,0,663,6,17
Rick Karsdorp,NED,DF,29,Roma,Serie A,13.2,684,559,119,4,0,2,28,115,0,0,0,0,544,6,15
Angeliño,ESP,DF,27,Roma,Serie A,12.7,715,610,101,12,0,4,53,87,2,1,0,0,546,4,11
Nicola Zalewski,POL,"DF,FW",22,Roma,Serie A,10.8,471,406,63,9,0,4,38,53,1,0,1,0,358,2,23
Houssem Aouar,ALG,"MF,FW",25,Roma,Serie A,8.4,359,344,15,4,0,0,10,3,8,5,2,0,300,0,8
Andrea Belotti,ITA,FW,30,Roma,Serie A,7.5,155,141,13,0,1,0,4,2,0,0,0,0,115,1,10
Zeki Çelik,TUR,DF,27,Roma,Serie A,7.5,341,280,61,5,1,3,20,56,0,0,0,0,284,0,3
Tommaso Baldanzi,ITA,"FW,MF",21,Roma,Serie A,5.8,205,201,4,0,1,0,7,4,0,0,0,0,175,0,2
Dean Huijsen,ESP,DF,19,Roma,Serie A,5.7,459,441,18,6,0,2,1,7,0,0,0,0,400,0,10
Chris Smalling,ENG,DF,34,Roma,Serie A,4.3,228,224,4,4,0,2,0,0,0,0,0,0,197,0,1
Sardar Azmoun,IRN,"FW,MF",29,Roma,Serie A,6.5,156,152,4,1,1,1,2,1,0,0,0,0,108,0,8
Tammy Abraham,ENG,FW,26,Roma,Serie A,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1
Renato Sanches,POR,MF,26,Roma,Serie A,1.6,77,76,1,1,0,0,4,0,0,0,0,0,67,0,1
Riccardo Pagano,ITA,"MF,DF",19,Roma,Serie A,0.6,23,22,1,0,0,0,1,0,1,1,0,0,20,0,0
Ola Solbakken,NOR,FW,25,Roma,Serie A,0.3,8,8,0,0,0,0,1,0,0,0,0,0,6,0,0
João Costa,BRA,"MF,FW",19,Roma,Serie A,0.2,9,7,2,0,0,0,1,1,0,0,0,0,7,0,1
Niccolò Pisilli,ITA,MF,19,Roma,Serie A,0.1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Adam Marušić,MNE,DF,31,Lazio,Serie A,34.4,1880,1575,304,20,0,4,44,284,0,0,0,0,1560,1,27
Felipe Anderson,BRA,"FW,MF",31,Lazio,Serie A,30.8,1336,1299,29,5,5,6,57,18,6,1,4,0,1012,8,63
Ivan Provedel,ITA,GK,30,Lazio,Serie A,30.0,1022,790,227,51,0,3,0,0,0,0,0,0,835,5,0
Luis Alberto,ESP,MF,31,Lazio,Serie A,25.7,1679,1452,215,71,14,6,150,13,114,45,54,0,1303,12,28
Mattéo Guendouzi,FRA,MF,25,Lazio,Serie A,26.3,1119,1081,33,16,5,3,42,17,0,0,0,0,926,5,27
Alessio Romagnoli,ITA,DF,29,Lazio,Serie A,26.8,1759,1625,128,57,1,3,1,2,0,0,0,0,1604,6,3
Mattia Zaccagni,ITA,"FW,MF",28,Lazio,Serie A,21.7,899,823,74,22,2,5,71,20,32,12,9,0,711,2,30
Mario Gila,ESP,DF,23,Lazio,Serie A,20.1,1294,1209,81,45,4,16,8,18,0,0,0,0,1161,4,7
Ciro Immobile,ITA,FW,34,Lazio,Serie A,18.4,461,428,30,2,2,1,7,2,1,0,0,0,338,3,17
Manuel Lazzari,ITA,DF,30,Lazio,Serie A,18.6,975,819,156,11,0,2,56,145,0,0,0,0,826,0,28
Patric,ESP,DF,31,Lazio,Serie A,17.9,1199,1143,51,34,2,11,11,16,0,0,0,0,1051,5,4
Daichi Kamada,JPN,MF,27,Lazio,Serie A,17.2,921,907,12,6,4,5,11,4,0,0,0,0,810,2,21
Valentín Castellanos,ARG,FW,25,Lazio,Serie A,18.7,452,417,33,0,0,1,15,0,0,0,0,0,272,2,13
Nicolò Casale,ITA,DF,26,Lazio,Serie A,17.3,1024,989,35,25,0,2,0,2,0,0,0,0,940,0,8
Nicolò Rovella,ITA,MF,22,Lazio,Serie A,14.6,976,925,48,30,2,7,20,2,16,2,11,0,851,3,18
Danilo Cataldi,ITA,MF,29,Lazio,Serie A,15.1,932,882,48,23,3,3,31,5,20,4,13,0,800,2,8
Gustav Isaksen,DEN,FW,23,Lazio,Serie A,11.9,328,311,15,3,3,1,29,9,3,2,0,0,218,2,17
Elseid Hysaj,ALB,DF,30,Lazio,Serie A,13.3,850,734,115,15,1,0,18,100,0,0,0,0,713,1,8
Matías Vecino,URU,MF,32,Lazio,Serie A,12.8,750,732,12,8,2,3,5,4,0,0,0,0,621,6,12
Luca Pellegrini,ITA,DF,25,Lazio,Serie A,8.7,515,419,94,6,1,1,28,87,1,0,0,0,372,2,21
Christos Mandas,GRE,GK,22,Lazio,Serie A,8.0,269,220,49,20,0,0,0,0,0,0,0,0,181,0,0
Pedro,ESP,"FW,MF",36,Lazio,Serie A,9.1,431,422,8,4,2,2,20,0,4,2,2,0,357,1,7
Pietro Terracciano,ITA,GK,34,Fiorentina,Serie A,33.0,1231,970,257,81,0,1,0,0,0,0,0,0,979,4,0
Nikola Milenković,SRB,DF,26,Fiorentina,Serie A,27.9,1584,1540,40,36,0,15,0,3,0,0,0,0,1341,4,14
Giacomo Bonaventura,ITA,MF,34,Fiorentina,Serie A,25.3,1126,1078,46,13,15,5,54,6,5,1,3,0,928,2,27
Cristiano Biraghi,ITA,DF,31,Fiorentina,Serie A,25.2,1791,1293,495,101,0,14,221,288,106,27,52,0,1348,3,32
Lucas Martínez Quarta,ARG,DF,28,Fiorentina,Serie A,24.5,1619,1563,47,44,1,28,5,3,0,0,0,0,1322,9,14
Arthur Melo,BRA,MF,27,Fiorentina,Serie A,22.1,1502,1413,87,63,3,8,21,13,9,0,8,1,1372,2,15
Alfred Duncan,GHA,MF,31,Fiorentina,Serie A,20.1,991,923,63,22,5,17,64,5,35,11,17,0,772,5,19
Luca Ranieri,ITA,DF,25,Fiorentina,Serie A,21.9,1332,1262,67,50,0,5,13,15,0,0,0,0,1118,3,8
Michael Kayode,ITA,DF,19,Fiorentina,Serie A,21.9,1253,1050,200,17,0,4,66,183,0,0,0,0,1019,3,39
Nicolás González,ARG,FW,26,Fiorentina,Serie A,20.3,747,714,31,3,5,14,39,27,1,1,0,0,530,2,26
Lucas Beltrán,ARG,"FW,MF",23,Fiorentina,Serie A,18.0,431,411,18,2,4,3,7,4,0,0,0,0,336,2,14
Jonathan Ikone,FRA,FW,26,Fiorentina,Serie A,18.5,472,462,10,2,7,3,11,8,0,0,0,0,387,0,10
Rolando Mandragora,ITA,MF,26,Fiorentina,Serie A,17.6,761,701,60,32,0,8,34,5,19,4,7,0,606,0,16
Fabiano Parisi,ITA,DF,23,Fiorentina,Serie A,16.2,1001,851,148,25,2,4,42,123,0,0,0,0,830,2,23
M'Bala Nzola,ANG,FW,27,Fiorentina,Serie A,17.2,345,333,12,0,0,0,6,3,0,0,0,0,283,0,9
