player,nationality,position,age,club,league,minutes_90s,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_completed,passes_offside,passes_blocked
Juan Perea,COL,FW,23,Hansa Rostock,2. Bundesliga,16.4,226,202,22,0,2,0,15,1,0,0,0,0,142,2,14
Juan Pérez,ESP,GK,27,Huesca,Segunda Division,1.0,36,24,12,3,0,0,0,0,0,0,0,0,25,0,0
Juan Sabater,SPA,DF,17,Cartagena,Segunda Division,0.5,13,11,2,0,0,0,0,2,0,0,0,0,5,0,0
Juan Sanabria,URU,"DF,FW",23,Atlético,Liga MX,32.0,1747,1442,295,47,4,13,176,185,61,7,53,0,1317,10,45
Juan Sebastian Serrano,ESP,FW,22,Zaragoza,Segunda Division,0.1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Juan Soriano,ESP,GK,26,Tenerife,Segunda Division,39.2,1242,776,461,160,0,1,0,1,0,0,0,0,776,5,1
Juan Zapata,COL,MF,23,Atlas,Liga MX,14.9,649,611,37,8,2,19,27,7,22,2,10,0,535,1,6
Juanjo Narváez,COL,"FW,MF",29,Cartagena,Segunda Division,14.0,320,313,7,1,0,4,17,5,0,0,0,0,252,0,7
Juanjo Nieto,ESP,DF,29,Huesca,Segunda Division,24.1,1136,907,227,25,1,11,38,202,0,0,0,0,864,2,17
Juanma,ESP,"FW,MF",31,Albacete,Segunda Division,24.1,823,770,51,5,1,4,28,24,3,0,0,0,607,2,34
Juanma Bravo,ESP,"MF,FW",26,Alcorcón,Segunda Division,10.4,305,296,6,1,0,1,20,3,0,0,0,0,203,3,12
Juanto Ortuño,ESP,FW,32,Eldense,Segunda Division,20.3,427,404,22,0,2,8,2,2,0,0,0,0,303,1,13
Jubal,BRA,DF,29,Auxerre,Ligue 2,31.0,1890,1820,68,65,0,26,3,3,0,0,0,0,1649,2,8
Judson,BRA,MF,29,SJ Earthquakes,MLS,5.2,226,218,8,8,0,0,0,0,0,0,0,0,197,0,1
Julen Lobete,ESP,"FW,MF",23,FC Andorra,Segunda Division,30.1,835,809,23,4,2,2,60,13,0,0,0,0,643,3,41
Jules Gaudin,FRA,DF,23,Paris FC,Ligue 2,33.3,2278,1887,383,47,3,23,123,334,2,1,1,0,1719,8,43
Jules-Anthony Vilsaint,CAN,FW,20,CF Montréal,MLS,4.6,67,66,0,0,1,1,4,0,0,0,0,0,43,1,4
Julian Börner,GER,DF,32,Hannover 96,2. Bundesliga,1.6,68,60,8,6,0,0,1,2,0,0,0,0,60,0,1
Julian Gaines,USA,DF,20,LAFC,MLS,0.7,24,19,5,0,0,0,0,5,0,0,0,0,23,0,0
Julian Green,USA,MF,28,Greuther Fürth,2. Bundesliga,23.2,1219,959,252,109,8,13,140,8,96,21,40,0,966,8,25
Julian Gressel,USA,"DF,MF",29,Crew,MLS,8.2,459,371,86,5,2,4,72,34,47,10,28,1,334,2,8
Julian Gressel,USA,MF,29,Vancouver W'caps,MLS,15.1,867,772,89,24,4,14,106,14,50,33,5,0,651,6,16
Julian Hall,USA,FW,14,NY Red Bulls,MLS,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Kania,ESP,FW,21,Nürnberg,2. Bundesliga,0.6,20,19,1,0,0,0,0,0,0,0,0,0,15,0,0
Julian Krahl,GER,GK,23,Kaiserslautern,2. Bundesliga,29.6,1147,873,272,109,1,0,0,0,0,0,0,0,819,2,2
Julian Niehues,GER,MF,22,Kaiserslautern,2. Bundesliga,20.2,793,763,28,17,2,4,7,4,0,0,0,0,605,2,20
Julien Anziani,FRA,"MF,FW",24,Dunkerque,Ligue 2,27.4,1334,1225,106,51,2,19,84,5,44,29,10,0,1034,3,25
Julien Celestine,FRA,DF,26,US Concarneau,Ligue 2,29.8,1778,1652,124,56,0,9,1,1,0,0,0,0,1566,2,10
Julien Fabri,FRA,GK,29,Bastia,Ligue 2,4.0,123,83,40,18,0,1,0,0,0,0,0,0,78,0,0
Julien Faussurier,FRA,DF,36,US Concarneau,Ligue 2,23.4,1686,1402,282,41,1,13,125,240,1,0,0,0,1313,2,34
Julien López,ALG,"FW,MF",31,Paris FC,Ligue 2,6.0,252,238,13,3,0,0,22,6,2,1,1,0,194,1,6
Julien Maggiotti,FRA,"MF,FW",27,Bastia,Ligue 2,4.5,203,173,29,8,0,6,19,5,13,9,2,0,149,1,2
Julien Masson,FRA,MF,25,Valenciennes,Ligue 2,27.8,1102,1055,43,25,0,16,23,18,0,0,0,0,917,4,16
Julien Vetro,FRA,"FW,MF",19,Bordeaux,Ligue 2,3.2,118,116,1,0,1,0,1,1,0,0,0,0,90,1,2
Julio Alonso,ESP,DF,25,Albacete,Segunda Division,23.6,1313,1028,283,34,2,7,81,246,3,0,0,0,932,2,46
Julio Cascante,CRC,DF,29,Austin,MLS,22.9,1479,1442,34,29,1,14,0,4,0,0,0,0,1297,3,5
Julio Domínguez,MEX,DF,35,Atlético,Liga MX,31.2,1642,1583,58,50,1,4,0,4,0,0,0,0,1533,1,3
Julio Furch,ARG,FW,34,Atlas,Liga MX,2.0,58,53,5,1,1,1,2,1,0,0,0,0,40,0,2
Julio José González,MEX,GK,32,UNAM,Liga MX,34.0,1071,698,369,60,0,0,0,1,0,0,0,0,775,4,0
Julio Pleguezuelo,ESP,DF,26,Plymouth Argyle,EFL,22.0,1196,1082,110,45,1,4,4,53,0,0,0,0,957,4,15
Julius Kade,GER,MF,24,Wehen,2. Bundesliga,2.9,58,56,2,0,0,1,1,1,1,0,0,0,43,0,1
Julián Aude,ARG,DF,19,LA Galaxy,MLS,13.3,741,641,99,9,0,4,23,90,0,0,0,0,611,1,20
Julián Carranza,ARG,FW,22,Philadelphia,MLS,27.6,714,677,35,5,3,2,19,5,0,0,0,0,502,2,31
Julián Chicco,ARG,MF,26,Leganés,Segunda Division,16.3,659,641,17,15,1,3,6,2,0,0,0,0,546,1,11
Julián Delmás,ESP,DF,29,Racing Ferrol,Segunda Division,17.8,1050,775,274,39,1,5,84,224,11,1,10,0,793,1,24
Julián Fernández,ARG,"FW,MF",19,NYCFC,MLS,3.6,195,172,22,0,2,0,19,7,15,12,0,0,144,1,5
Julián Quiñones,MEX,"FW,MF",26,América,Liga MX,22.3,714,682,29,1,6,12,13,10,0,0,0,0,553,3,26
Juninho,BRA,MF,22,Orlando City,MLS,0.0,5,4,1,1,0,0,0,0,0,0,0,0,3,0,0
Juninho Bacuna,CUW,"FW,MF",25,Birmingham City,EFL,33.0,1308,1077,225,69,11,17,145,63,79,27,36,1,856,6,56
Junior Diaz,CIV,DF,20,Annecy,Ligue 2,14.9,568,484,82,20,0,5,3,62,0,0,0,0,378,2,8
Junior Firpo,DOM,DF,26,Leeds United,EFL,19.8,1305,1091,210,19,4,3,47,190,1,0,1,0,1051,4,36
Junior Hoilett,CAN,"FW,MF",32,Vancouver W'caps,MLS,2.6,89,79,10,4,0,1,14,1,3,0,3,0,66,0,2
