player,nationality,position,age,club,league,MP,starts,mins,minutes_90s,GA,GA90,shotsOT_a,saves,save_pct,W,D,L,CS,CS_pct,PKatt,PK_scored,PK_save,PK_missed,PK_pct
Karl-Johan Johnsson,SWE,GK,33,Bordeaux,Ligue 2,22,22,"1,980",22.0,33,1.5,103,70,69.9,9,5,8,7,31.8,3,2,1,0,33.3
Karol Niemczycki,POL,GK,24,Düsseldorf,2. Bundesliga,1,1,90,1.0,2,2.0,7,5,71.4,1,0,0,0,0.0,0,0,0,0,0.0
Kayne Bonnevie,FRA,GK,22,Quevilly-Rouen,Ligue 2,2,2,180,2.0,4,2.0,8,4,50.0,1,1,0,0,0.0,0,0,0,0,0.0
Kendall McIntosh,USA,GK,29,Sporting KC,MLS,14,13,"1,192",13.2,20,1.51,58,38,69.0,4,5,4,2,15.4,2,2,0,0,0.0
Kevin Mier,COL,GK,23,Cruz Azul,Liga MX,17,17,"1,530",17.0,14,0.82,44,30,70.5,10,3,4,8,47.1,3,1,0,2,0.0
Kristijan Kahlina,CRO,GK,30,Charlotte,MLS,24,24,"2,160",24.0,33,1.37,110,78,74.5,8,10,6,6,25.0,5,5,0,0,0.0
Kristoffer Klaesson,NOR,GK,22,Leeds United,EFL,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,0.0
Lassana Diabaté,MLI,GK,19,Valenciennes,Ligue 2,7,7,630,7.0,11,1.57,37,25,73.0,1,1,5,0,0.0,3,1,1,1,50.0
Leandro Chichizola,ARG,GK,33,Parma,Serie B,37,36,"3,252",36.1,33,0.91,106,73,69.8,21,11,4,13,36.1,2,1,0,1,0.0
Lee Nicholls,ENG,GK,30,Huddersfield,EFL,37,37,"3,305",36.7,64,1.74,162,100,62.3,7,15,15,7,18.9,3,3,0,0,0.0
Lennart Grill,GER,GK,24,Osnabrück,2. Bundesliga,15,15,"1,350",15.0,37,2.47,97,57,63.9,1,4,10,0,0.0,6,2,4,0,66.7
Leon Schaffran,GER,GK,25,Greuther Fürth,2. Bundesliga,1,0,1,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0
Leonardo Loria,ITA,GK,24,Pisa,Serie B,7,7,630,7.0,12,1.71,26,14,57.7,3,2,2,2,28.6,1,1,0,0,0.0
Leonardo Marson,ITA,GK,25,Cosenza,Serie B,2,1,124,1.4,1,0.73,6,5,100.0,1,0,0,1,100.0,1,1,0,0,0.0
Leonardo Román,ESP,GK,23,Oviedo,Segunda Division,42,42,"3,780",42.0,39,0.93,153,114,79.1,17,13,12,14,33.3,7,7,0,0,0.0
Leopold Wahlstedt,SWE,GK,24,Blackburn,EFL,21,20,"1,829",20.3,36,1.77,106,71,67.0,7,3,10,3,15.0,2,1,0,1,0.0
Lionel Mpasi,COD,GK,28,Rodez Aveyron,Ligue 2,18,18,"1,618",18.0,25,1.39,69,44,66.7,7,6,5,2,11.1,2,2,0,0,0.0
Loic Badiashile,FRA,GK,26,Burgos,Segunda Division,1,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,0.0
Lorenzo Andrenacci,ITA,GK,28,Brescia,Serie B,9,9,765,8.5,9,1.06,27,18,70.4,3,3,3,1,11.1,1,1,0,0,0.0
Luca Böggemann,GER,GK,19,Osnabrück,2. Bundesliga,1,0,7,0.1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
Luca Lezzerini,ITA,GK,28,Brescia,Serie B,25,25,"2,250",25.0,25,1.0,90,63,73.3,8,10,7,7,28.0,4,1,2,1,66.7
Luca Maniero,ITA,GK,28,Cittadella,Serie B,3,3,270,3.0,3,1.0,14,11,78.6,0,2,1,1,33.3,0,0,0,0,0.0
Luca Zidane,FRA,GK,26,Eibar,Segunda Division,42,42,"3,780",42.0,48,1.14,155,108,74.8,21,8,13,12,28.6,10,9,1,0,10.0
Lucas Anacker,BRA,GK,27,Alcorcón,Segunda Division,13,13,"1,170",13.0,12,0.92,44,32,77.3,4,4,5,5,38.5,2,2,0,0,0.0
Luis Barraza,USA,GK,26,NYCFC,MLS,24,24,"2,160",24.0,31,1.29,92,62,68.5,5,10,9,4,16.7,2,2,0,0,0.0
Luis Cárdenas,MEX,GK,29,Monterrey,Liga MX,2,2,180,2.0,2,1.0,11,9,81.8,1,1,0,1,50.0,0,0,0,0,0.0
Luis López,ESP,GK,23,CD Mirandés,Segunda Division,7,7,630,7.0,11,1.57,29,18,62.1,2,1,4,2,28.6,0,0,0,0,0.0
Luis Ángel Malagón,MEX,GK,26,América,Liga MX,29,29,"2,565",28.5,22,0.77,90,68,76.7,18,9,2,13,44.8,1,1,0,0,0.0
Luka Gavran,CAN,GK,22,Toronto FC,MLS,4,4,360,4.0,12,3.0,32,19,68.8,0,0,4,0,0.0,3,2,1,0,33.3
Maarten Paes,NED,GK,24,FC Dallas,MLS,30,30,"2,621",29.1,29,1.0,119,93,76.5,11,10,9,7,23.3,3,1,1,1,50.0
Mads Hermansen,DEN,GK,23,Leicester City,EFL,44,44,"3,960",44.0,41,0.93,154,113,73.4,29,4,11,13,29.5,1,0,1,0,100.0
Mamadou Samassa,MLI,GK,33,Stade Laval,Ligue 2,36,36,"3,240",36.0,44,1.22,133,91,70.7,14,9,13,12,33.3,6,5,0,1,0.0
Marc Martínez,ESP,GK,34,Cartagena,Segunda Division,21,21,"1,890",21.0,30,1.43,86,57,70.9,5,6,10,3,14.3,5,5,0,0,0.0
Marcel Engelhardt,GER,GK,30,Holstein Kiel,2. Bundesliga,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0,0,0.0
Marco Pissardo,ITA,GK,25,Bari,Serie B,6,5,481,5.3,9,1.68,22,13,59.1,1,2,2,1,20.0,0,0,0,0,0.0
Marius Gersbeck,GER,GK,28,Hertha BSC,2. Bundesliga,4,4,360,4.0,9,2.25,24,15,62.5,2,1,1,0,0.0,0,0,0,0,0.0
Marius Müller,GER,GK,30,Schalke 04,2. Bundesliga,21,21,"1,844",20.5,30,1.46,99,70,72.7,8,6,7,6,28.6,3,3,0,0,0.0
Mark Travers,IRL,GK,24,Stoke City,EFL,13,13,"1,170",13.0,18,1.38,64,46,73.4,5,1,7,2,15.4,2,1,0,1,0.0
Marko Ilić,SRB,GK,24,Rapids,MLS,13,13,"1,170",13.0,28,2.15,69,41,60.9,2,3,8,2,15.4,1,1,0,0,0.0
Markus Kolke,GER,GK,32,Hansa Rostock,2. Bundesliga,33,33,"2,942",32.7,52,1.59,166,115,70.5,9,4,20,6,18.2,4,3,1,0,25.0
Mason Stajduhar,USA,GK,25,Orlando City,MLS,4,4,360,4.0,6,1.5,18,12,66.7,2,1,1,1,25.0,0,0,0,0,0.0
Matheo Raab,GER,GK,24,Hamburger SV,2. Bundesliga,14,14,"1,260",14.0,17,1.21,51,35,72.5,6,3,5,4,28.6,3,3,0,0,0.0
Mathieu Michel,FRA,GK,31,Ajaccio,Ligue 2,21,21,"1,890",21.0,26,1.24,61,36,59.0,5,8,8,8,38.1,2,1,0,1,0.0
Matija Šarkić,MNE,GK,26,Millwall,EFL,32,32,"2,880",32.0,34,1.06,104,69,71.2,13,6,13,12,37.5,6,4,2,0,33.3
Matt Freese,USA,GK,24,NYCFC,MLS,10,10,900,10.0,8,0.8,37,29,83.8,4,4,2,5,50.0,2,2,0,0,0.0
Matt Ingram,ENG,GK,29,Hull City,EFL,10,9,819,9.1,14,1.54,29,15,51.7,4,2,3,1,11.1,0,0,0,0,0.0
