player,nationality,position,age,club,league,MP,starts,mins,minutes_90s,GA,GA90,shotsOT_a,saves,save_pct,W,D,L,CS,CS_pct,PKatt,PK_scored,PK_save,PK_missed,PK_pct
Roman Celentano,USA,GK,22,FC Cincinnati,MLS,33,33,"2,970",33.0,37,1.12,121,86,73.6,20,9,4,12,36.4,5,5,0,0,0.0
Ron-Robert Zieler,GER,GK,34,Hannover 96,2. Bundesliga,34,34,"3,060",34.0,44,1.29,147,105,72.8,13,13,8,7,20.6,4,4,0,0,0.0
Ron-Thorben Hoffmann,GER,GK,24,Braunschweig,2. Bundesliga,33,33,"2,970",33.0,52,1.58,153,101,70.6,11,5,17,7,21.2,9,7,1,1,12.5
Rubén Gómez,ESP,GK,22,Villarreal B,Segunda Division,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,0.0
Rubén Yáñez,ESP,GK,30,Sporting Gijón,Segunda Division,38,38,"3,408",37.9,39,1.03,131,91,71.8,16,10,12,16,42.1,4,2,2,0,50.0
Ryan Allsop,ENG,GK,31,Hull City,EFL,37,37,"3,321",36.9,46,1.25,146,100,70.5,15,11,11,10,27.0,3,3,0,0,0.0
Régis Gurtner,FRA,GK,36,Amiens,Ligue 2,35,35,"3,150",35.0,32,0.91,134,102,79.9,11,16,8,15,42.9,5,5,0,0,0.0
Rúnar Alex Rúnarsson,ISL,GK,28,Cardiff City,EFL,6,6,540,6.0,8,1.33,24,16,66.7,2,0,4,1,16.7,0,0,0,0,0.0
San Román,ESP,GK,26,Elche,Segunda Division,14,14,"1,260",14.0,13,0.93,46,33,71.7,6,4,4,6,42.9,0,0,0,0,0.0
Sean Johnson,USA,GK,33,Toronto FC,MLS,20,20,"1,800",20.0,24,1.2,75,52,68.0,3,10,7,6,30.0,0,0,0,0,0.0
Sebastiano Desplanches,ITA,GK,20,Palermo,Serie B,2,2,180,2.0,2,1.0,6,4,66.7,1,1,0,1,50.0,0,0,0,0,0.0
Sebastián Jurado,MEX,GK,25,FC Juárez,Liga MX,13,13,"1,170",13.0,19,1.46,59,40,67.8,1,4,8,2,15.4,1,0,1,0,100.0
Sebastián Jurado,MEX,GK,25,Cruz Azul,Liga MX,4,4,308,3.4,7,2.05,12,5,50.0,1,0,3,0,0.0,1,1,0,0,0.0
Semuel Pizzignacco,ITA,GK,21,FeralpiSalò,Serie B,38,38,"3,420",38.0,65,1.71,167,102,65.9,8,9,21,4,10.5,9,8,1,0,11.1
Seny Dieng,SEN,GK,28,Middlesbrough,EFL,35,35,"3,149",35.0,47,1.34,129,84,65.9,16,7,12,10,28.6,3,3,0,0,0.0
Spencer Richey,USA,GK,30,Fire,MLS,5,4,421,4.7,7,1.5,17,10,64.7,0,1,3,1,25.0,1,1,0,0,0.0
Stefan Cleveland,USA,GK,28,Seattle,MLS,2,2,180,2.0,4,2.0,8,4,62.5,1,0,1,0,0.0,1,1,0,0,0.0
Stefan Frei,SUI,GK,36,Seattle,MLS,32,32,"2,880",32.0,28,0.87,103,77,72.8,13,11,8,14,43.8,0,0,0,0,0.0
Steve Clark,USA,GK,36,Dynamo FC,MLS,33,33,"2,970",33.0,38,1.15,121,84,73.6,14,8,11,12,36.4,6,6,0,0,0.0
Sébastien Cibois,FRA,GK,25,Rodez Aveyron,Ligue 2,13,13,"1,144",12.7,18,1.42,53,35,67.9,5,5,3,3,23.1,2,1,0,1,0.0
Thomas Callens,FRA,GK,24,Annecy,Ligue 2,6,4,406,4.5,10,2.22,24,14,62.5,1,1,2,0,0.0,2,1,1,0,50.0
Thomas Dähne,GER,GK,29,Holstein Kiel,2. Bundesliga,3,3,270,3.0,5,1.67,12,7,58.3,2,0,1,1,33.3,0,0,0,0,0.0
Thomas Hasal,CAN,GK,23,Vancouver W'caps,MLS,1,1,90,1.0,3,3.0,7,5,57.1,0,0,1,0,0.0,0,0,0,0,0.0
Théo De Percin,MTQ,GK,22,Auxerre,Ligue 2,1,1,90,1.0,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,0.0
Tiago Volpi,BRA,GK,32,Toluca,Liga MX,34,34,"3,060",34.0,42,1.24,147,105,72.8,14,11,9,9,26.5,2,2,0,0,0.0
Tim Boss,GER,GK,30,Elversberg,2. Bundesliga,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,0.0
Tim Melia,USA,GK,36,Sporting KC,MLS,16,16,"1,418",15.8,24,1.52,68,42,69.1,8,1,7,3,18.8,5,3,2,0,40.0
Timon Weiner,GER,GK,24,Holstein Kiel,2. Bundesliga,30,30,"2,700",30.0,33,1.1,132,97,77.3,18,5,7,14,46.7,5,3,2,0,40.0
Tino Casali,AUT,GK,27,Braunschweig,2. Bundesliga,1,1,90,1.0,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,0.0
Tjark Ernst,GER,GK,20,Hertha BSC,2. Bundesliga,27,27,"2,430",27.0,48,1.78,128,81,65.6,10,8,9,4,14.8,6,4,1,1,20.0
Tom Glover,AUS,GK,25,Middlesbrough,EFL,12,11,991,11.0,15,1.36,48,33,68.8,4,2,5,1,9.1,0,0,0,0,0.0
Tomas Romero,SLV,GK,22,Toronto FC,MLS,6,6,540,6.0,13,2.17,35,23,65.7,1,0,5,0,0.0,1,1,0,0,0.0
Tomeu Nadal,ESP,GK,35,Tenerife,Segunda Division,3,3,250,2.8,3,1.08,7,6,71.4,1,1,1,0,0.0,1,1,0,0,0.0
Tommaso Vitali,ITA,GK,23,Ternana,Serie B,6,6,540,6.0,6,1.0,30,24,83.3,3,1,2,3,50.0,1,1,0,0,0.0
Tommy Simkin,ENG,GK,18,Stoke City,EFL,1,1,90,1.0,1,1.0,2,1,50.0,0,0,1,0,0.0,0,0,0,0,0.0
Tomás Mejías,ESP,GK,35,Cartagena,Segunda Division,2,2,180,2.0,5,2.5,10,5,50.0,0,0,2,0,0.0,0,0,0,0,0.0
Tomáš Vaclík,CZE,GK,35,Albacete,Segunda Division,12,12,"1,080",12.0,14,1.17,52,36,76.9,5,3,4,4,33.3,4,2,2,0,50.0
Tyler Miller,USA,GK,29,D.C. United,MLS,25,25,"2,205",24.5,38,1.55,100,63,65.0,7,6,12,6,24.0,3,3,0,0,0.0
Umberto Saracco,ITA,GK,29,Calcio Lecco 1912,Serie B,13,12,"1,125",12.5,21,1.68,54,33,63.0,1,2,9,4,33.3,2,1,0,1,0.0
Vallejo,ESP,GK,29,Eldense,Segunda Division,11,11,990,11.0,21,1.91,48,28,60.4,2,2,7,1,9.1,2,2,0,0,0.0
Viktor Johansson,SWE,GK,24,Rotherham Utd,EFL,45,44,"3,961",44.0,85,1.93,261,177,69.0,4,12,28,5,11.4,5,4,0,1,0.0
Václav Hladký,CZE,GK,32,Ipswich Town,EFL,46,46,"4,139",46.0,57,1.24,165,114,66.7,28,12,6,14,30.4,3,2,0,1,0.0
William Yarbrough,USA,GK,33,Rapids,MLS,20,20,"1,800",20.0,25,1.25,90,65,73.3,3,9,8,7,35.0,2,1,0,1,0.0
Yahia Fofana,CIV,GK,22,Angers,Ligue 2,33,33,"2,970",33.0,35,1.06,146,114,76.0,18,8,7,14,42.4,0,0,0,0,0.0
Yannis Clementia,MTQ,GK,26,Caen,Ligue 2,4,4,360,4.0,3,0.75,8,5,75.0,2,1,1,2,50.0,1,1,0,0,0.0
Yohei Takaoka,JPN,GK,26,Vancouver W'caps,MLS,33,33,"2,970",33.0,45,1.36,140,94,67.9,12,12,9,8,24.2,1,0,1,0,100.0
Zac MacMath,USA,GK,31,RSL,MLS,28,28,"2,475",27.5,36,1.31,118,82,71.2,12,7,9,9,32.1,3,2,1,0,33.3
Zacharie Boucher,FRA,GK,31,Bastia,Ligue 2,2,2,180,2.0,3,1.5,7,5,57.1,0,1,1,1,50.0,0,0,0,0,0.0
Alvaro Aceves,ESP,GK,20,Eldense,Segunda Division,14,14,"1,260",14.0,18,1.29,45,28,68.9,4,7,3,5,35.7,4,4,0,0,0.0
Alvaro Fernández,ESP,GK,26,Huesca,Segunda Division,42,41,"3,693",41.0,33,0.8,128,96,77.3,11,15,15,20,48.8,5,4,1,0,20.0
Edgar Badía,ESP,GK,32,Elche,Segunda Division,7,7,630,7.0,9,1.29,33,24,75.8,2,2,3,2,28.6,1,1,0,0,0.0
Edgar Badía,ESP,GK,32,Zaragoza,Segunda Division,18,18,"1,620",18.0,15,0.83,52,38,71.2,5,7,6,6,33.3,0,0,0,0,0.0
Oscar Ustari,ARG,GK,37,Pachuca,Liga MX,3,3,270,3.0,6,2.0,13,7,53.8,0,2,1,0,0.0,0,0,0,0,0.0
Dorđe Petrović,SRB,GK,23,NE Revolution,MLS,22,22,"1,980",22.0,27,1.23,124,97,80.6,11,7,4,7,31.8,4,3,1,0,25.0
