player,nationality,position,age,club,league,minutes_90s,p_tackled,tklw,def_3rd,mid_3rd,att_3rd,d_tackled,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,intr,tkl_intr,clr,err
Simon Kjær,DEN,DF,35,Milan,Serie A,13.0,24,15,11,11,2,14,22,63.6,8,22,16,6,14,38,46,2
Yunus Musah,USA,"MF,FW",21,Milan,Serie A,16.4,25,14,15,6,4,8,15,53.3,7,18,4,14,10,35,16,1
Ismaël Bennacer,ALG,MF,26,Milan,Serie A,12.8,29,19,11,16,2,11,22,50.0,11,12,4,8,12,41,9,2
Samuel Chukwueze,NGA,FW,25,Milan,Serie A,11.3,18,7,11,5,2,9,17,52.9,8,3,1,2,6,24,3,0
Luka Jović,SRB,FW,26,Milan,Serie A,9.7,6,4,0,3,3,4,6,66.7,2,3,0,3,1,7,9,0
Rade Krunić,BIH,MF,30,Milan,Serie A,7.6,10,8,3,6,1,4,9,44.4,5,7,3,4,11,21,14,0
Marco Sportiello,ITA,GK,32,Milan,Serie A,7.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
Noah Okafor,SUI,"FW,MF",24,Milan,Serie A,9.9,6,4,1,4,1,3,10,30.0,7,8,1,7,0,6,10,0
Pierre Kalulu,FRA,DF,23,Milan,Serie A,4.2,5,1,2,3,0,1,2,50.0,1,4,3,1,1,6,12,1
Tommaso Pobega,ITA,MF,24,Milan,Serie A,3.5,16,9,11,5,0,6,13,46.2,7,10,2,8,6,22,7,0
Antonio Mirante,ITA,GK,40,Milan,Serie A,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Filippo Terracciano,ITA,"DF,FW",21,Milan,Serie A,0.8,2,2,1,1,0,1,3,33.3,2,3,0,3,0,2,1,0
Jan-Carlo Simic,SRB,DF,19,Milan,Serie A,1.6,1,1,1,0,0,0,0,0.0,0,5,4,1,0,1,3,0
Luka Romero,ARG,"FW,MF",19,Milan,Serie A,1.0,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,0,0
Davide Bartesaghi,ITA,"DF,MF",18,Milan,Serie A,0.9,2,0,1,1,0,2,4,50.0,2,1,1,0,0,2,7,0
Alejandro Jiménez,ESP,DF,19,Milan,Serie A,0.8,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,4,0
Marco Pellegrino,ARG,DF,21,Milan,Serie A,0.8,1,1,0,0,1,0,2,0.0,2,1,1,0,1,2,2,0
Mattia Caldara,ITA,DF,30,Milan,Serie A,0.4,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,1,0
Kevin Zeroli,ITA,MF,19,Milan,Serie A,0.3,1,1,1,0,0,0,0,0.0,0,1,0,1,0,1,1,0
Chaka Traorè,CIV,FW,19,Milan,Serie A,0.2,2,1,2,0,0,1,2,50.0,1,1,1,0,0,2,0,0
Francesco Camarda,ITA,FW,16,Milan,Serie A,0.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Lapo Nava,ITA,GK,20,Milan,Serie A,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Gleison Bremer,BRA,DF,27,Juventus,Serie A,35.9,58,42,32,21,5,21,29,72.4,8,45,27,18,40,98,147,0
Wojciech Szczęsny,POL,GK,34,Juventus,Serie A,35.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,11,2
Manuel Locatelli,ITA,MF,26,Juventus,Serie A,33.4,69,43,24,35,10,31,58,53.4,27,43,17,26,25,94,65,0
Adrien Rabiot,FRA,MF,29,Juventus,Serie A,29.5,58,39,22,30,6,30,45,66.7,15,26,6,20,25,83,34,0
Federico Gatti,ITA,DF,25,Juventus,Serie A,29.3,33,19,16,16,1,19,24,79.2,5,26,15,11,19,52,90,1
Weston McKennie,USA,"MF,DF",25,Juventus,Serie A,28.8,48,29,31,11,6,17,27,63.0,10,28,7,21,18,66,69,0
