player,nationality,position,age,club,league,minutes_90s,p_tackled,tklw,def_3rd,mid_3rd,att_3rd,d_tackled,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,intr,tkl_intr,clr,err
Azor Matusiwa,NED,MF,25,Rennes,Ligue 1,8.8,7,3,3,4,0,4,7,57.1,3,9,2,7,11,18,17,0
Alidu Seidu,GHA,DF,23,Rennes,Ligue 1,6.6,21,9,17,3,1,14,19,73.7,5,11,3,8,10,31,13,0
Ibrahim Salah,MAR,"FW,MF",21,Rennes,Ligue 1,5.8,15,7,5,6,4,11,18,61.1,7,4,0,4,10,25,5,0
Bertuğ Yıldırım,TUR,FW,21,Rennes,Ligue 1,5.2,7,5,2,3,2,3,8,37.5,5,8,0,8,0,7,4,0
Fabian Rieder,SUI,MF,21,Rennes,Ligue 1,4.1,13,7,2,9,2,6,11,54.5,5,3,1,2,5,18,2,0
Jeremy Doku,BEL,FW,21,Rennes,Ligue 1,1.2,2,2,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0
Mahamadou Nagida,CMR,DF,18,Rennes,Ligue 1,1.2,1,1,0,0,1,0,2,0.0,2,2,1,1,4,5,0,0
Lovro Majer,CRO,MF,25,Rennes,Ligue 1,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Birger Meling,NOR,DF,28,Rennes,Ligue 1,0.2,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Mathis Lambourde,FRA,FW,17,Rennes,Ligue 1,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
Jérémy Jacquet,FRA,MF,18,Rennes,Ligue 1,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
Djaoui Cissé,FRA,MF,19,Rennes,Ligue 1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Guillaume Restes,FRA,GK,18,Toulouse,Ligue 1,34.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,19,1
Rasmus Nicolaisen,DEN,DF,26,Toulouse,Ligue 1,32.5,50,30,39,11,0,26,44,59.1,18,44,33,11,42,92,158,1
Logan Costa,CPV,DF,22,Toulouse,Ligue 1,29.4,40,24,31,9,0,15,24,62.5,9,42,27,15,23,63,120,1
Thijs Dallinga,NED,FW,22,Toulouse,Ligue 1,27.9,29,15,6,11,12,9,15,60.0,6,11,4,7,3,32,35,0
Gabriel Suazo,CHI,DF,25,Toulouse,Ligue 1,26.2,66,32,40,19,7,38,86,44.2,48,37,4,33,26,92,33,0
Vincent Sierro,SUI,MF,27,Toulouse,Ligue 1,25.1,41,24,15,20,6,27,77,35.1,50,37,13,24,27,68,33,0
Cristian Cásseres Jr.,VEN,MF,23,Toulouse,Ligue 1,21.6,70,34,31,33,6,29,61,47.5,32,34,4,30,27,97,33,1
Aron Dønnum,NOR,"FW,MF",25,Toulouse,Ligue 1,17.7,16,10,3,8,5,7,22,31.8,15,13,0,13,8,24,16,1
Mikkel Desler,DEN,DF,28,Toulouse,Ligue 1,17.2,18,12,8,7,3,9,17,52.9,8,32,13,19,19,37,38,0
Stijn Spierings,NED,MF,27,Toulouse,Ligue 1,16.8,53,40,26,20,7,29,52,55.8,23,22,5,17,26,79,32,0
Moussa Diarra,MLI,DF,22,Toulouse,Ligue 1,15.5,32,12,16,15,1,13,27,48.1,14,30,14,16,20,52,43,0
Niklas Schmidt,GER,MF,25,Toulouse,Ligue 1,14.1,36,21,13,19,4,16,33,48.5,17,14,7,7,4,40,13,0
Frank Magri,CMR,"FW,MF",23,Toulouse,Ligue 1,16.0,22,14,5,12,5,15,21,71.4,6,16,4,12,4,26,17,0
Yann Gboho,FRA,"MF,FW",22,Toulouse,Ligue 1,13.3,14,4,6,6,2,8,23,34.8,15,21,1,20,4,18,2,0
Waren Kamanzi,NOR,"DF,FW",22,Toulouse,Ligue 1,13.2,36,24,16,16,4,13,23,56.5,10,11,3,8,9,45,35,0
Christian Mawissa,FRA,DF,18,Toulouse,Ligue 1,12.4,22,15,14,4,4,9,23,39.1,14,22,11,11,22,44,41,1
Gelabert,ESP,"MF,FW",22,Toulouse,Ligue 1,8.4,14,8,5,6,3,7,20,35.0,13,8,2,6,5,19,8,0
Zakaria Aboukhlal,MAR,"MF,FW",23,Toulouse,Ligue 1,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0
Kévin Keben Biakolo,CMR,DF,19,Toulouse,Ligue 1,5.8,4,2,4,0,0,3,6,50.0,3,7,0,7,8,12,17,0
Denis Genreau,AUS,"MF,FW",24,Toulouse,Ligue 1,5.2,12,9,6,6,0,8,15,53.3,7,8,1,7,6,18,8,0
Shavy Babicka,GAB,"FW,MF",23,Toulouse,Ligue 1,4.1,11,8,2,7,2,2,5,40.0,3,6,1,5,0,11,2,0
Yanis Begraoui,MAR,"FW,MF",22,Toulouse,Ligue 1,3.3,5,3,1,3,1,3,9,33.3,6,4,0,4,5,10,5,0
Ibrahim Cissoko,NED,"FW,MF",20,Toulouse,Ligue 1,2.7,4,3,3,1,0,1,3,33.3,2,3,0,3,1,5,0,0
Naatan Skyttä,FIN,"MF,FW",21,Toulouse,Ligue 1,1.3,4,4,2,1,1,1,1,100.0,0,0,0,0,0,4,0,0
Mamady Bangré,BFA,"FW,MF",22,Toulouse,Ligue 1,1.1,4,2,2,2,0,3,4,75.0,1,0,0,0,4,8,3,0
Fares Chaïbi,ALG,"FW,MF",20,Toulouse,Ligue 1,0.6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
Téji Savanier,FRA,MF,31,Montpellier,Ligue 1,30.7,37,20,16,15,6,14,63,22.2,49,36,8,28,33,70,28,1
Benjamin Lecomte,FRA,GK,32,Montpellier,Ligue 1,30.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,16,1
Joris Chotard,FRA,MF,21,Montpellier,Ligue 1,28.7,81,52,45,25,11,48,96,50.0,48,47,21,26,44,125,60,0
Akor Adams,NGA,FW,23,Montpellier,Ligue 1,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0
Becir Omeragic,SUI,"DF,MF",21,Montpellier,Ligue 1,25.7,48,29,31,13,4,20,33,60.6,13,51,29,22,27,75,65,0
Musa Al-Taamari,JOR,FW,26,Montpellier,Ligue 1,21.4,20,16,10,5,5,9,21,42.9,12,18,2,16,4,24,5,0
Jordan Ferri,FRA,MF,31,Montpellier,Ligue 1,22.6,36,22,16,17,3,20,67,29.9,47,19,1,18,13,49,23,0
Boubakar Kouyaté,MLI,DF,26,Montpellier,Ligue 1,21.4,49,30,39,8,2,28,51,54.9,23,31,20,11,29,78,123,1
Issiaga Sylla,GUI,"DF,FW",29,Montpellier,Ligue 1,16.2,28,17,20,6,2,16,34,47.1,18,21,7,14,23,51,53,0
Falaye Sacko,MLI,DF,28,Montpellier,Ligue 1,15.4,28,16,13,10,5,21,32,65.6,11,19,7,12,24,52,37,0
Arnaud Nordin,FRA,"FW,MF",25,Montpellier,Ligue 1,13.8,12,6,3,5,4,6,16,37.5,10,11,0,11,2,14,10,0
Christopher Jullien,FRA,DF,30,Montpellier,Ligue 1,13.7,16,12,11,5,0,6,17,35.3,11,25,20,5,12,28,106,2
Wahbi Khazri,TUN,FW,32,Montpellier,Ligue 1,12.6,24,17,8,12,4,14,35,40.0,21,10,0,10,3,27,7,0
Modibo Sagnan,MLI,DF,24,Montpellier,Ligue 1,11.7,34,22,23,9,2,15,25,60.0,10,13,9,4,15,49,67,0
Maxime Estève,FRA,DF,21,Montpellier,Ligue 1,11.1,16,12,11,5,0,10,15,66.7,5,13,9,4,18,34,50,0
Lucas Mincarelli,FRA,"DF,MF",19,Montpellier,Ligue 1,10.9,29,16,19,6,4,17,34,50.0,17,17,4,13,8,37,27,0
Enzo Tchato,CMR,DF,20,Montpellier,Ligue 1,12.5,26,17,18,4,4,11,25,44.0,14,20,7,13,11,37,25,0
Khalil Fayad,FRA,"FW,MF",19,Montpellier,Ligue 1,11.4,28,15,17,7,4,9,22,40.9,13,15,3,12,14,42,6,0
Silvan Hefti,SUI,"DF,FW",25,Montpellier,Ligue 1,7.9,21,15,10,7,4,15,29,51.7,14,7,2,5,8,29,11,0
Tanguy Coulibaly,FRA,"FW,MF",22,Montpellier,Ligue 1,6.9,13,11,8,4,1,4,9,44.4,5,11,1,10,2,15,2,0
Dimitry Bertaud,COD,GK,25,Montpellier,Ligue 1,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Léo Leroy,FRA,MF,23,Montpellier,Ligue 1,5.5,19,10,8,8,3,6,21,28.6,15,12,3,9,7,26,8,0
Théo Sainte-Luce,FRA,DF,24,Montpellier,Ligue 1,3.8,17,7,10,6,1,11,19,57.9,8,9,4,5,3,20,15,0
Yann Karamoh,FRA,"FW,MF",25,Montpellier,Ligue 1,3.2,1,0,0,0,1,1,2,50.0,1,3,0,3,0,1,0,0
Axel Gueguin,FRA,"DF,FW",18,Montpellier,Ligue 1,1.5,9,5,6,2,1,2,6,33.3,4,2,0,2,2,11,6,0
Othmane Maamma,FRA,FW,17,Montpellier,Ligue 1,1.0,3,3,2,0,1,1,1,100.0,0,3,0,3,0,3,0,0
Kelvin Yeboah,ITA,FW,23,Montpellier,Ligue 1,3.1,4,2,2,2,0,1,3,33.3,2,3,2,1,1,5,3,0
Sacha Delaye,FRA,"MF,FW",21,Montpellier,Ligue 1,1.4,7,2,2,2,3,1,6,16.7,5,2,0,2,0,7,1,0
Elye Wahi,FRA,FW,20,Montpellier,Ligue 1,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Yanis Issoufou,FRA,MF,16,Montpellier,Ligue 1,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Mamadou Sakho,FRA,DF,33,Montpellier,Ligue 1,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Lucas Perrin,FRA,DF,24,Strasbourg,Ligue 1,30.3,47,30,33,14,0,28,46,60.9,18,45,32,13,28,75,113,0
Frederic Guilbert,FRA,"DF,MF",28,Strasbourg,Ligue 1,27.7,87,50,49,30,8,47,72,65.3,25,39,10,29,71,158,99,1
Habib Diarra,SEN,"MF,FW",19,Strasbourg,Ligue 1,25.6,30,23,8,20,2,9,33,27.3,24,23,4,19,17,47,15,0
Dilane Bakwa,FRA,"FW,MF",20,Strasbourg,Ligue 1,24.2,30,22,12,13,5,11,40,27.5,29,26,1,25,20,50,11,0
Thomas Delaine,FRA,"DF,MF",31,Strasbourg,Ligue 1,22.7,38,19,29,8,1,20,42,47.6,22,18,2,16,17,55,51,0
Marvin Senaya,TOG,"DF,MF",22,Strasbourg,Ligue 1,23.8,72,53,38,25,9,42,68,61.8,26,40,13,27,41,113,68,0
Emanuel Emegha,NED,FW,20,Strasbourg,Ligue 1,23.1,8,5,2,4,2,4,9,44.4,5,13,3,10,2,10,25,0
Abakar Sylla,CIV,DF,20,Strasbourg,Ligue 1,19.9,54,23,30,19,5,29,40,72.5,11,40,11,29,26,80,70,2
Matz Sels,BEL,GK,31,Strasbourg,Ligue 1,19.0,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,13,1
Ismaël Doukouré,FRA,"MF,DF",20,Strasbourg,Ligue 1,18.4,23,16,7,14,2,13,21,61.9,8,19,7,12,19,42,29,2
Ibrahima Sissoko,MLI,MF,25,Strasbourg,Ligue 1,18.2,47,33,13,25,9,23,30,76.7,7,21,8,13,19,66,30,0
Junior Mwanga,FRA,"MF,FW",20,Strasbourg,Ligue 1,16.1,40,20,23,12,5,12,24,50.0,12,20,5,15,18,58,19,0
Alaa Bellaarouch,MAR,GK,21,Strasbourg,Ligue 1,15.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,11,2
Kévin Gameiro,FRA,"FW,MF",36,Strasbourg,Ligue 1,15.0,10,10,5,3,2,2,17,11.8,15,9,0,9,3,13,7,0
Gerzino Nyamsi,FRA,DF,26,Strasbourg,Ligue 1,12.1,18,14,13,5,0,12,18,66.7,6,19,11,8,10,28,43,0
Angelo Borges,BRA,"FW,MF",18,Strasbourg,Ligue 1,12.2,24,11,9,7,8,11,31,35.5,20,18,0,18,9,33,2,0
Andrey Santos,BRA,MF,19,Strasbourg,Ligue 1,9.2,29,18,15,13,1,17,26,65.4,9,8,0,8,10,39,11,1
Jessy Deminguet,FRA,"MF,FW",25,Strasbourg,Ligue 1,7.7,14,9,6,8,0,6,18,33.3,12,8,0,8,9,23,5,1
Saidou Sow,GUI,DF,21,Strasbourg,Ligue 1,8.0,20,12,17,3,0,9,13,69.2,4,7,4,3,12,32,36,3
Dion Moise Sahi,CIV,"MF,FW",21,Strasbourg,Ligue 1,7.0,5,5,1,2,2,0,3,0.0,3,11,1,10,1,6,7,0
Lebo Mothiba,RSA,FW,27,Strasbourg,Ligue 1,6.9,5,2,1,4,0,3,4,75.0,1,6,1,5,0,5,11,0
Jean-Ricner Bellegarde,FRA,"MF,FW",25,Strasbourg,Ligue 1,3.0,5,3,3,2,0,3,6,50.0,3,4,0,4,4,9,0,0
Jérémy Sebas,MTQ,"FW,MF",20,Strasbourg,Ligue 1,4.4,7,1,2,3,2,3,5,60.0,2,3,1,2,1,8,1,0
Rabby Nzingoula,CGO,"MF,FW",17,Strasbourg,Ligue 1,1.5,3,3,0,3,0,3,4,75.0,1,4,0,4,5,8,0,0
Aboubacar Ali,FRA,"MF,FW",17,Strasbourg,Ligue 1,1.4,2,0,0,2,0,0,0,0.0,0,1,0,1,1,3,2,0
Sanjin Prcić,BIH,MF,29,Strasbourg,Ligue 1,1.0,0,0,0,0,0,0,1,0.0,1,2,1,1,3,3,1,0
Eduard Sobol,UKR,DF,28,Strasbourg,Ligue 1,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Mohamed Bechikh,FRA,"FW,MF",18,Strasbourg,Ligue 1,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Patrick Ouotro,CIV,FW,17,Strasbourg,Ligue 1,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Steven Baseya,FRA,DF,18,Strasbourg,Ligue 1,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0
Pedro Chirivella,ESP,MF,26,Nantes,Ligue 1,28.8,50,28,20,29,1,30,76,39.5,46,22,5,17,31,81,28,0
Alban Lafont,FRA,GK,24,Nantes,Ligue 1,27.7,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,14,0
Jean-Charles Castelletto,CMR,DF,28,Nantes,Ligue 1,27.4,34,26,22,10,2,18,29,62.1,11,19,10,9,32,66,81,0
Florent Mollet,FRA,"MF,FW",31,Nantes,Ligue 1,23.1,18,11,8,6,4,10,31,32.3,21,18,5,13,13,31,17,0
Mostafa Mohamed,EGY,FW,25,Nantes,Ligue 1,22.2,21,14,7,11,3,6,28,21.4,22,21,5,16,12,33,29,0
Eray Cömert,SUI,DF,25,Nantes,Ligue 1,22.2,42,28,28,13,1,28,38,73.7,10,35,18,17,36,78,78,1
Douglas,BRA,MF,26,Nantes,Ligue 1,19.7,70,42,34,30,6,30,59,50.8,29,22,8,14,26,96,30,0
Moussa Sissoko,FRA,MF,33,Nantes,Ligue 1,20.2,27,16,13,8,6,12,25,48.0,13,8,2,6,12,39,31,0
Moses Simon,NGA,"FW,MF",28,Nantes,Ligue 1,19.9,7,5,2,5,0,2,8,25.0,6,9,1,8,3,10,5,1
Marcus Coco,FRA,"DF,FW",27,Nantes,Ligue 1,16.5,43,26,29,10,4,28,60,46.7,32,19,1,18,21,64,38,0
Nicolas Pallois,FRA,DF,35,Nantes,Ligue 1,17.7,34,19,21,11,2,19,35,54.3,16,37,26,11,26,60,111,0
Jean-Kevin Duverne,HAI,DF,26,Nantes,Ligue 1,15.0,37,19,16,17,4,18,44,40.9,26,17,5,12,18,55,34,0
Quentin Merlin,FRA,DF,21,Nantes,Ligue 1,14.3,29,20,15,12,2,16,25,64.0,9,22,1,21,18,47,22,0
Matthis Abline,FRA,FW,20,Nantes,Ligue 1,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0
Samuel Moutoussamy,COD,MF,26,Nantes,Ligue 1,12.3,38,20,14,17,7,17,37,45.9,20,16,3,13,11,49,13,0
Nathan Zeze,FRA,DF,18,Nantes,Ligue 1,11.4,11,6,9,2,0,7,14,50.0,7,12,3,9,12,23,47,1
Kelvin Amian,FRA,DF,25,Nantes,Ligue 1,8.9,16,7,12,4,0,11,15,73.3,4,6,0,6,7,23,28,0
Nicolas Cozza,FRA,DF,24,Nantes,Ligue 1,9.9,35,23,23,10,2,17,24,70.8,7,7,0,7,14,49,32,0
Tino Kadewere,ZIM,"FW,MF",27,Nantes,Ligue 1,8.7,9,4,3,3,3,6,11,54.5,5,10,1,9,10,19,8,0
Ronaël Pierre-Gabriel,FRA,DF,25,Nantes,Ligue 1,6.6,15,9,12,2,1,5,7,71.4,2,13,4,9,8,23,25,0
Rémy Descamps,FRA,GK,27,Nantes,Ligue 1,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,0
Bénie Adama Traore,CIV,"FW,MF",20,Nantes,Ligue 1,5.6,8,4,2,5,1,3,7,42.9,4,3,0,3,1,9,1,0
Adson,BRA,"MF,FW",22,Nantes,Ligue 1,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0
Ignatius Ganago,CMR,"FW,MF",24,Nantes,Ligue 1,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0
Abdoul Kader Bamba,FRA,"FW,MF",29,Nantes,Ligue 1,6.8,10,7,2,5,3,5,15,33.3,10,4,0,4,4,14,4,1
Marquinhos,BRA,"FW,MF",20,Nantes,Ligue 1,1.7,3,2,2,0,1,1,4,25.0,3,7,2,5,6,9,1,0
Fabien Centonze,FRA,DF,27,Nantes,Ligue 1,1.0,2,1,2,0,0,2,3,66.7,1,2,1,1,0,2,1,0
Bastien Meupiyou,FRA,DF,17,Nantes,Ligue 1,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Jaouen Hadjam,ALG,DF,20,Nantes,Ligue 1,1.2,6,4,5,1,0,1,2,50.0,1,0,0,0,3,9,2,0
Stredair Appuah,FRA,"FW,MF",19,Nantes,Ligue 1,0.9,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,1,0
Denis Petrić,SRB,GK,35,Nantes,Ligue 1,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Hugo Boutsingkham,FRA,"MF,FW",20,Nantes,Ligue 1,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Adel Mahamoud,COM,FW,20,Nantes,Ligue 1,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Enzo Mongo,FRA,DF,18,Nantes,Ligue 1,0.1,1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,0,0
Lamine Diack,SEN,MF,22,Nantes,Ligue 1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Arthur Desmas,FRA,GK,29,Le Havre,Ligue 1,33.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,13,1
Gautier Lloris,FRA,DF,28,Le Havre,Ligue 1,30.9,50,28,40,9,1,28,42,66.7,14,50,30,20,32,82,142,1
Arouna Sangante,SEN,DF,21,Le Havre,Ligue 1,29.9,53,33,27,23,3,24,40,60.0,16,35,18,17,66,119,93,2
Christopher Operi,CIV,DF,26,Le Havre,Ligue 1,27.2,55,36,37,15,3,32,59,54.2,27,45,7,38,35,90,68,1
Abdoulaye Touré,GUI,MF,29,Le Havre,Ligue 1,25.4,47,28,22,22,3,30,60,50.0,30,30,8,22,25,72,33,0
Josué Casimir,FRA,"FW,DF",21,Le Havre,Ligue 1,22.4,31,18,14,14,3,7,18,38.9,11,23,2,21,13,44,25,0
Daler Kuzyaev,RUS,MF,30,Le Havre,Ligue 1,23.2,34,19,11,13,10,15,43,34.9,28,18,5,13,22,56,18,1
Etienne Youte Kinkoue,FRA,DF,21,Le Havre,Ligue 1,21.6,15,9,13,2,0,7,11,63.6,4,21,16,5,44,59,104,0
Yassine Kechta,MAR,MF,21,Le Havre,Ligue 1,20.5,46,24,24,19,3,31,73,42.5,42,20,3,17,23,69,16,1
Emmanuel Sabbi,USA,"FW,MF",25,Le Havre,Ligue 1,17.6,38,19,15,15,8,16,39,41.0,23,26,2,24,19,57,7,0
Yoann Salmier,GUF,DF,30,Le Havre,Ligue 1,17.4,22,10,13,6,3,13,20,65.0,7,21,15,6,21,43,57,0
Loïc Nego,HUN,"DF,MF",32,Le Havre,Ligue 1,17.3,37,26,21,12,4,18,30,60.0,12,12,2,10,16,53,17,0
Mohamed Lamine Bayo,GUI,FW,25,Le Havre,Ligue 1,15.4,13,5,2,5,6,2,10,20.0,8,8,1,7,2,15,11,0
André Ayew,GHA,FW,33,Le Havre,Ligue 1,12.3,15,11,7,6,2,6,9,66.7,3,8,3,5,2,17,11,0
Oussama Targhalline,MAR,MF,21,Le Havre,Ligue 1,11.4,23,11,16,7,0,15,25,60.0,10,9,3,6,20,43,14,2
Nabil Alioui,FRA,"MF,FW",24,Le Havre,Ligue 1,11.2,3,2,2,1,0,2,4,50.0,2,6,1,5,3,6,4,0
Antoine Joujou,FRA,"FW,MF",20,Le Havre,Ligue 1,8.7,20,12,7,7,6,11,21,52.4,10,11,2,9,7,27,5,0
Rassoul Ndiaye,SEN,"MF,FW",21,Le Havre,Ligue 1,5.8,25,17,8,16,1,12,24,50.0,12,2,1,1,4,29,5,0
Samuel Grandsir,FRA,"MF,FW",26,Le Havre,Ligue 1,6.7,16,12,5,9,2,8,18,44.4,10,4,0,4,3,19,3,1
Oualid El Hajjam,MAR,"DF,MF",32,Le Havre,Ligue 1,4.4,8,7,5,2,1,2,9,22.2,7,5,1,4,6,14,10,0
Issa Soumaré,SEN,"FW,MF",22,Le Havre,Ligue 1,2.6,2,0,2,0,0,0,4,0.0,4,0,0,0,0,2,2,0
Andy Logbo,FRA,FW,19,Le Havre,Ligue 1,2.8,0,0,0,0,0,0,3,0.0,3,7,3,4,0,0,2,0
Steve Ngoura,FRA,"FW,MF",18,Le Havre,Ligue 1,2.5,2,1,1,1,0,1,4,25.0,3,0,0,0,0,2,3,0
Mathieu Gorgelin,FRA,GK,32,Le Havre,Ligue 1,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Nolan Mbemba,CGO,MF,28,Le Havre,Ligue 1,0.2,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0
Simon Ebonog,CMR,MF,18,Le Havre,Ligue 1,0.2,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,1,0
Alois Confais,FRA,"MF,FW",26,Le Havre,Ligue 1,0.1,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Alexandre Oukidja,ALG,GK,35,Metz,Ligue 1,33.2,2,1,2,0,0,1,2,50.0,1,1,0,1,3,5,24,3
Matthieu Udol,FRA,DF,27,Metz,Ligue 1,30.0,55,37,38,12,5,38,56,67.9,18,62,16,46,50,105,108,0
Danley Jean-Jacques,HAI,MF,23,Metz,Ligue 1,29.8,54,28,24,21,9,19,56,33.9,37,48,7,41,44,98,44,0
Lamine Camara,SEN,MF,19,Metz,Ligue 1,25.1,62,42,26,30,6,24,49,49.0,25,35,2,33,28,90,34,0
Ismaël Traoré,CIV,DF,36,Metz,Ligue 1,24.7,19,12,13,6,0,8,21,38.1,13,33,20,13,30,49,86,0
Maxime Colin,FRA,DF,31,Metz,Ligue 1,20.4,39,23,25,7,7,16,29,55.2,13,22,7,15,20,59,71,0
Kévin Van Den Kerkhof,ALG,"FW,MF",27,Metz,Ligue 1,21.3,31,24,11,13,7,13,32,40.6,19,15,2,13,11,42,32,1
Fali Candé,GNB,DF,25,Metz,Ligue 1,20.5,40,19,31,9,0,20,35,57.1,15,41,28,13,20,60,107,1
Georges Mikautadze,GEO,FW,22,Metz,Ligue 1,19.4,4,3,1,2,1,0,9,0.0,9,11,0,11,8,12,3,0
Christophe Hérelle,MTQ,DF,30,Metz,Ligue 1,18.0,32,15,24,7,1,13,23,56.5,10,16,9,7,18,50,68,2
Kévin N'Doram,FRA,MF,27,Metz,Ligue 1,17.8,31,22,20,9,2,17,38,44.7,21,17,8,9,27,58,38,0
Cheikh Tidiane Sabaly,SEN,"FW,MF",24,Metz,Ligue 1,15.3,40,20,23,12,5,16,40,40.0,24,19,2,17,10,50,14,0
Arthur Atta,FRA,"MF,FW",20,Metz,Ligue 1,10.3,18,14,8,7,3,8,19,42.1,11,13,3,10,10,28,23,0
Ablie Jallow,GAM,"MF,FW",24,Metz,Ligue 1,10.2,8,5,2,3,3,3,5,60.0,2,4,0,4,8,16,3,0
Koffi Kouao,CIV,DF,25,Metz,Ligue 1,9.6,20,13,12,7,1,11,17,64.7,6,9,6,3,13,33,38,1
Joel Asoro,SWE,"FW,MF",24,Metz,Ligue 1,9.4,13,9,7,6,0,3,10,30.0,7,7,1,6,6,19,9,0
Papa Amadou Diallo,SEN,FW,19,Metz,Ligue 1,9.9,18,8,10,7,1,7,21,33.3,14,11,1,10,11,29,16,0
Sadibou Sané,SEN,DF,19,Metz,Ligue 1,9.4,19,12,16,2,1,6,7,85.7,1,14,9,5,8,27,64,0
Simon Elisor,FRA,FW,24,Metz,Ligue 1,8.5,9,2,3,2,4,2,6,33.3,4,6,1,5,0,9,9,0
Joseph Nduquidi,FRA,"MF,DF",18,Metz,Ligue 1,8.3,11,4,6,3,2,1,9,11.1,8,11,3,8,11,22,15,1
Didier Lamkel Zé,CMR,"FW,MF",26,Metz,Ligue 1,6.1,7,2,2,4,1,2,5,40.0,3,4,0,4,0,7,11,0
Oscar Estupiñan,COL,FW,26,Metz,Ligue 1,2.9,5,4,0,3,2,1,2,50.0,1,2,0,2,0,5,0,0
Abou Lô,SEN,"MF,DF",23,Metz,Ligue 1,2.2,3,1,2,1,0,1,4,25.0,3,5,2,3,4,7,8,0
Youssef Maziz,FRA,"FW,MF",25,Metz,Ligue 1,1.4,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,2,0
Benjamin Tetteh,GHA,"FW,MF",26,Metz,Ligue 1,3.1,6,6,1,5,0,4,7,57.1,3,0,0,0,0,6,1,0
Malick Mbaye,SEN,"MF,FW",19,Metz,Ligue 1,1.7,5,1,0,1,4,1,2,50.0,1,1,0,1,1,6,2,0
Habib Maïga,CIV,"MF,FW",27,Metz,Ligue 1,1.6,2,2,1,0,1,1,3,33.3,2,2,0,2,4,6,2,0
Jean Frederic N'Guessan,CIV,"MF,FW",20,Metz,Ligue 1,1.2,3,1,0,3,0,0,3,0.0,3,3,0,3,1,4,0,0
Ibou Sané,SEN,"MF,FW",18,Metz,Ligue 1,1.4,6,4,2,1,3,2,2,100.0,0,3,0,3,1,7,2,0
Guillaume Dietsch,FRA,GK,22,Metz,Ligue 1,0.8,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Yvon Mvogo,SUI,GK,29,Lorient,Ligue 1,34.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,15,3
Laurent Abergel,FRA,MF,30,Lorient,Ligue 1,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3
Julien Ponceau,FRA,MF,22,Lorient,Ligue 1,24.9,32,15,12,14,6,9,30,30.0,21,22,1,21,19,51,20,0
Montassar Talbi,TUN,DF,25,Lorient,Ligue 1,24.5,38,22,23,13,2,19,32,59.4,13,39,23,16,32,70,114,0
Souleymane Touré,FRA,DF,20,Lorient,Ligue 1,22.8,25,12,16,9,0,8,14,57.1,6,38,20,18,36,61,101,2
