player,nationality,position,age,club,league,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Joseph Okumu,KEN,DF,26,Reims,Ligue 1,19.4,14,0.72,12,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Mohammed Daramy,DEN,"FW,MF",21,Reims,Ligue 1,18.3,59,3.22,43,0,9,3,4,0,8,0.44,7,0,1,0,0,0
Oumar Diakité,CIV,FW,19,Reims,Ligue 1,17.6,41,2.33,26,0,9,1,3,2,5,0.28,3,0,1,0,0,1
Keito Nakamura,JPN,"FW,MF",23,Reims,Ligue 1,15.3,37,2.41,30,0,3,4,0,0,3,0.2,3,0,0,0,0,0
Azor Matusiwa,NED,MF,25,Reims,Ligue 1,15.4,32,2.08,26,0,1,2,2,1,6,0.39,4,0,1,0,1,0
Reda Khadra,GER,"FW,MF",22,Reims,Ligue 1,15.2,46,3.03,33,1,6,5,1,0,7,0.46,4,0,3,0,0,0
Amir Richardson,MAR,MF,21,Reims,Ligue 1,15.0,29,1.93,24,0,0,4,0,1,1,0.07,1,0,0,0,0,0
Sergio Akieme,ESP,DF,25,Reims,Ligue 1,9.1,19,2.09,12,1,3,2,0,1,1,0.11,0,0,0,1,0,0
Valentin Atangana Edoa,FRA,MF,17,Reims,Ligue 1,6.2,6,0.97,2,0,0,2,1,1,0,0.0,0,0,0,0,0,0
Josh Wilson-Esbrand,ENG,"DF,MF",20,Reims,Ligue 1,5.1,9,1.76,9,0,0,0,0,0,2,0.39,2,0,0,0,0,0
Amadou Koné,MLI,MF,18,Reims,Ligue 1,5.3,6,1.14,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Therence Koudou,FRA,DF,18,Reims,Ligue 1,3.5,14,4.01,11,1,1,0,1,0,1,0.29,1,0,0,0,0,0
Benjamin Stambouli,FRA,MF,32,Reims,Ligue 1,3.2,3,0.94,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Abdoul Koné,FRA,DF,18,Reims,Ligue 1,2.1,2,0.93,1,0,0,0,1,0,2,0.93,1,0,0,0,1,0
Amine Salama,FRA,FW,23,Reims,Ligue 1,3.5,8,2.3,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Mamadou Diakhon,FRA,"FW,MF",17,Reims,Ligue 1,2.3,4,1.72,1,0,1,0,2,0,0,0.0,0,0,0,0,0,0
Maxime Busi,BEL,"FW,DF",23,Reims,Ligue 1,1.8,6,3.33,4,0,1,0,0,1,0,0.0,0,0,0,0,0,0
Ibrahim Diakité,GUI,DF,19,Reims,Ligue 1,1.2,4,3.27,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adama Bojang,GAM,FW,19,Reims,Ligue 1,0.9,2,2.17,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Yaya Kader Fofana,MLI,"MF,DF",19,Reims,Ligue 1,0.4,2,5.63,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Christ Mbondi,FRA,FW,18,Reims,Ligue 1,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Steve Mandanda,FRA,GK,38,Rennes,Ligue 1,34.0,3,0.09,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Benjamin Bourigeaud,FRA,"MF,FW",29,Rennes,Ligue 1,26.9,113,4.19,70,34,2,7,0,0,14,0.52,11,1,0,2,0,0
Arthur Theate,BEL,DF,23,Rennes,Ligue 1,25.5,21,0.82,16,1,1,2,1,0,3,0.12,1,0,0,2,0,0
Arnaud Kalimuendo,FRA,FW,21,Rennes,Ligue 1,23.8,70,2.95,49,1,5,6,9,0,7,0.29,3,0,0,1,3,0
Adrien Truffert,FRA,DF,21,Rennes,Ligue 1,23.8,38,1.59,27,0,4,2,5,0,3,0.13,1,0,0,1,1,0
Amine Gouiri,ALG,"FW,MF",23,Rennes,Ligue 1,23.0,85,3.7,53,3,13,11,5,0,10,0.44,6,0,2,2,0,0
Warmed Omari,FRA,DF,23,Rennes,Ligue 1,23.0,21,0.91,20,0,0,1,0,0,2,0.09,2,0,0,0,0,0
Baptiste Santamaria,FRA,MF,28,Rennes,Ligue 1,21.4,48,2.24,39,1,1,3,1,3,3,0.14,2,0,0,1,0,0
Enzo Le Fée,FRA,MF,23,Rennes,Ligue 1,17.0,57,3.36,47,4,2,2,1,1,1,0.06,1,0,0,0,0,0
Martin Terrier,FRA,"FW,MF",26,Rennes,Ligue 1,17.0,51,3.01,35,0,1,6,7,2,7,0.41,6,0,0,1,0,0
Ludovic Blas,FRA,"FW,MF",25,Rennes,Ligue 1,17.4,45,2.59,28,5,6,5,1,0,6,0.35,3,0,0,2,1,0
Désiré Doué,FRA,"MF,FW",18,Rennes,Ligue 1,18.1,88,4.87,56,4,14,4,7,3,12,0.66,6,0,3,1,1,1
Jeanuël Belocian,FRA,DF,18,Rennes,Ligue 1,16.1,15,0.93,11,2,0,2,0,0,1,0.06,1,0,0,0,0,0
Christopher Wooh,CMR,DF,21,Rennes,Ligue 1,15.4,14,0.91,10,1,0,2,0,1,0,0.0,0,0,0,0,0,0
Guela Doué,CIV,DF,20,Rennes,Ligue 1,13.7,39,2.84,28,2,2,3,3,1,8,0.58,6,0,0,0,2,0
Lorenz Assignon,TOG,DF,23,Rennes,Ligue 1,11.2,38,3.38,27,3,4,0,2,2,6,0.53,3,0,2,0,1,0
Nemanja Matić,SRB,MF,34,Rennes,Ligue 1,11.4,29,2.54,23,1,1,1,2,1,2,0.18,1,0,0,0,1,0
Azor Matusiwa,NED,MF,25,Rennes,Ligue 1,8.8,17,1.93,17,0,0,0,0,0,3,0.34,3,0,0,0,0,0
Alidu Seidu,GHA,DF,23,Rennes,Ligue 1,6.6,8,1.21,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Ibrahim Salah,MAR,"FW,MF",21,Rennes,Ligue 1,5.8,17,2.93,13,0,1,3,0,0,1,0.17,1,0,0,0,0,0
Bertuğ Yıldırım,TUR,FW,21,Rennes,Ligue 1,5.2,14,2.68,6,0,2,2,3,1,4,0.76,1,0,0,1,1,1
Fabian Rieder,SUI,MF,21,Rennes,Ligue 1,4.1,13,3.21,11,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Jeremy Doku,BEL,FW,21,Rennes,Ligue 1,1.2,9,7.23,5,0,2,2,0,0,0,0.0,0,0,0,0,0,0
Mahamadou Nagida,CMR,DF,18,Rennes,Ligue 1,1.2,8,6.79,4,1,0,2,0,1,0,0.0,0,0,0,0,0,0
Lovro Majer,CRO,MF,25,Rennes,Ligue 1,0.2,2,10.59,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Birger Meling,NOR,DF,28,Rennes,Ligue 1,0.2,1,5.29,0,0,0,1,0,0,1,5.29,0,0,0,1,0,0
Mathis Lambourde,FRA,FW,17,Rennes,Ligue 1,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jérémy Jacquet,FRA,MF,18,Rennes,Ligue 1,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Djaoui Cissé,FRA,MF,19,Rennes,Ligue 1,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Guillaume Restes,FRA,GK,18,Toulouse,Ligue 1,34.0,2,0.06,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Rasmus Nicolaisen,DEN,DF,26,Toulouse,Ligue 1,32.5,16,0.49,8,0,1,4,1,2,1,0.03,1,0,0,0,0,0
Logan Costa,CPV,DF,22,Toulouse,Ligue 1,29.4,21,0.71,21,0,0,0,0,0,2,0.07,2,0,0,0,0,0
Thijs Dallinga,NED,FW,22,Toulouse,Ligue 1,27.9,49,1.76,33,0,4,8,2,2,9,0.32,6,0,0,2,1,0
Gabriel Suazo,CHI,DF,25,Toulouse,Ligue 1,26.2,83,3.17,62,11,2,1,2,5,9,0.34,8,0,0,0,0,1
Vincent Sierro,SUI,MF,27,Toulouse,Ligue 1,25.1,76,3.03,37,23,3,7,4,2,8,0.32,3,3,1,0,1,0
Cristian Cásseres Jr.,VEN,MF,23,Toulouse,Ligue 1,21.6,37,1.71,26,5,1,2,0,3,4,0.18,4,0,0,0,0,0
Aron Dønnum,NOR,"FW,MF",25,Toulouse,Ligue 1,17.7,53,2.99,30,4,3,7,7,2,4,0.23,3,0,0,0,1,0
Mikkel Desler,DEN,DF,28,Toulouse,Ligue 1,17.2,29,1.69,18,2,1,5,2,1,2,0.12,1,0,0,1,0,0
Stijn Spierings,NED,MF,27,Toulouse,Ligue 1,16.8,41,2.44,34,1,1,3,1,1,3,0.18,3,0,0,0,0,0
Moussa Diarra,MLI,DF,22,Toulouse,Ligue 1,15.5,21,1.35,17,1,0,1,2,0,6,0.39,4,0,0,0,2,0
Niklas Schmidt,GER,MF,25,Toulouse,Ligue 1,14.1,48,3.4,34,10,2,1,1,0,3,0.21,2,1,0,0,0,0
Frank Magri,CMR,"FW,MF",23,Toulouse,Ligue 1,16.0,32,2.0,21,1,4,2,4,0,3,0.19,2,0,0,1,0,0
Yann Gboho,FRA,"MF,FW",22,Toulouse,Ligue 1,13.3,39,2.94,27,0,7,1,4,0,7,0.53,5,0,0,0,2,0
Waren Kamanzi,NOR,"DF,FW",22,Toulouse,Ligue 1,13.2,23,1.74,19,2,0,1,0,1,3,0.23,3,0,0,0,0,0
Christian Mawissa,FRA,DF,18,Toulouse,Ligue 1,12.4,15,1.21,12,0,1,1,0,1,1,0.08,1,0,0,0,0,0
Gelabert,ESP,"MF,FW",22,Toulouse,Ligue 1,8.4,21,2.5,15,3,1,1,1,0,3,0.36,2,1,0,0,0,0
Zakaria Aboukhlal,MAR,"MF,FW",23,Toulouse,Ligue 1,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0
Kévin Keben Biakolo,CMR,DF,19,Toulouse,Ligue 1,5.8,4,0.69,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Denis Genreau,AUS,"MF,FW",24,Toulouse,Ligue 1,5.2,13,2.52,12,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Shavy Babicka,GAB,"FW,MF",23,Toulouse,Ligue 1,4.1,9,2.17,7,0,0,2,0,0,2,0.48,2,0,0,0,0,0
Yanis Begraoui,MAR,"FW,MF",22,Toulouse,Ligue 1,3.3,7,2.11,3,0,0,0,3,1,1,0.3,1,0,0,0,0,0
Ibrahim Cissoko,NED,"FW,MF",20,Toulouse,Ligue 1,2.7,15,5.58,9,0,5,0,0,1,1,0.37,1,0,0,0,0,0
Naatan Skyttä,FIN,"MF,FW",21,Toulouse,Ligue 1,1.3,10,7.5,7,1,1,1,0,0,0,0.0,0,0,0,0,0,0
Mamady Bangré,BFA,"FW,MF",22,Toulouse,Ligue 1,1.1,7,6.24,6,0,1,0,0,0,1,0.89,1,0,0,0,0,0
Fares Chaïbi,ALG,"FW,MF",20,Toulouse,Ligue 1,0.6,3,4.66,2,1,0,0,0,0,1,1.55,0,1,0,0,0,0
Téji Savanier,FRA,MF,31,Montpellier,Ligue 1,30.7,184,5.99,100,55,6,11,8,4,19,0.62,11,5,1,2,0,0
Benjamin Lecomte,FRA,GK,32,Montpellier,Ligue 1,30.0,8,0.27,6,2,0,0,0,0,1,0.03,1,0,0,0,0,0
Joris Chotard,FRA,MF,21,Montpellier,Ligue 1,28.7,46,1.6,38,2,0,2,2,2,4,0.14,4,0,0,0,0,0
Akor Adams,NGA,FW,23,Montpellier,Ligue 1,25.0,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0
Becir Omeragic,SUI,"DF,MF",21,Montpellier,Ligue 1,25.7,25,0.97,22,0,0,1,2,0,1,0.04,1,0,0,0,0,0
Musa Al-Taamari,JOR,FW,26,Montpellier,Ligue 1,21.4,70,3.27,34,2,12,6,14,2,8,0.37,3,0,3,0,2,0
Jordan Ferri,FRA,MF,31,Montpellier,Ligue 1,22.6,67,2.97,58,2,2,1,3,1,2,0.09,2,0,0,0,0,0
Boubakar Kouyaté,MLI,DF,26,Montpellier,Ligue 1,21.4,11,0.51,6,0,0,4,1,0,2,0.09,1,0,0,1,0,0
Issiaga Sylla,GUI,"DF,FW",29,Montpellier,Ligue 1,16.2,31,1.92,22,5,1,2,0,1,2,0.12,2,0,0,0,0,0
Falaye Sacko,MLI,DF,28,Montpellier,Ligue 1,15.4,27,1.76,23,1,0,0,2,1,4,0.26,4,0,0,0,0,0
Arnaud Nordin,FRA,"FW,MF",25,Montpellier,Ligue 1,13.8,56,4.04,39,0,6,4,7,0,6,0.43,5,0,0,0,1,0
Christopher Jullien,FRA,DF,30,Montpellier,Ligue 1,13.7,10,0.74,8,0,0,1,0,1,1,0.07,1,0,0,0,0,0
Wahbi Khazri,TUN,FW,32,Montpellier,Ligue 1,12.6,26,2.07,15,1,4,2,4,0,2,0.16,1,0,0,1,0,0
Modibo Sagnan,MLI,DF,24,Montpellier,Ligue 1,11.7,8,0.68,7,0,0,0,0,1,1,0.09,1,0,0,0,0,0
Maxime Estève,FRA,DF,21,Montpellier,Ligue 1,11.1,11,0.93,9,1,0,1,0,0,1,0.08,1,0,0,0,0,0
Lucas Mincarelli,FRA,"DF,MF",19,Montpellier,Ligue 1,10.9,11,1.01,11,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Enzo Tchato,CMR,DF,20,Montpellier,Ligue 1,12.5,18,1.44,13,3,0,0,1,1,0,0.0,0,0,0,0,0,0
Khalil Fayad,FRA,"FW,MF",19,Montpellier,Ligue 1,11.4,19,1.67,10,0,0,2,6,1,0,0.0,0,0,0,0,0,0
Silvan Hefti,SUI,"DF,FW",25,Montpellier,Ligue 1,7.9,11,1.39,9,1,0,1,0,0,3,0.38,3,0,0,0,0,0
Tanguy Coulibaly,FRA,"FW,MF",22,Montpellier,Ligue 1,6.9,20,2.89,13,0,3,2,2,0,3,0.43,1,0,0,1,1,0
Dimitry Bertaud,COD,GK,25,Montpellier,Ligue 1,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Léo Leroy,FRA,MF,23,Montpellier,Ligue 1,5.5,8,1.44,6,0,0,2,0,0,1,0.18,1,0,0,0,0,0
Théo Sainte-Luce,FRA,DF,24,Montpellier,Ligue 1,3.8,3,0.78,0,1,0,0,1,1,0,0.0,0,0,0,0,0,0
Yann Karamoh,FRA,"FW,MF",25,Montpellier,Ligue 1,3.2,9,2.85,6,0,1,1,1,0,1,0.32,0,0,0,1,0,0
Axel Gueguin,FRA,"DF,FW",18,Montpellier,Ligue 1,1.5,2,1.36,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Othmane Maamma,FRA,FW,17,Montpellier,Ligue 1,1.0,7,7.16,3,0,3,0,1,0,0,0.0,0,0,0,0,0,0
Kelvin Yeboah,ITA,FW,23,Montpellier,Ligue 1,3.1,9,2.93,7,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Sacha Delaye,FRA,"MF,FW",21,Montpellier,Ligue 1,1.4,6,4.15,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Elye Wahi,FRA,FW,20,Montpellier,Ligue 1,0.2,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yanis Issoufou,FRA,MF,16,Montpellier,Ligue 1,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mamadou Sakho,FRA,DF,33,Montpellier,Ligue 1,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lucas Perrin,FRA,DF,24,Strasbourg,Ligue 1,30.3,14,0.46,12,0,0,1,1,0,1,0.03,1,0,0,0,0,0
Frederic Guilbert,FRA,"DF,MF",28,Strasbourg,Ligue 1,27.7,42,1.52,25,10,2,3,1,1,2,0.07,1,0,1,0,0,0
Habib Diarra,SEN,"MF,FW",19,Strasbourg,Ligue 1,25.6,51,1.99,38,0,5,1,4,3,4,0.16,2,0,1,0,1,0
Dilane Bakwa,FRA,"FW,MF",20,Strasbourg,Ligue 1,24.2,107,4.42,54,27,13,5,7,1,10,0.41,4,4,1,1,0,0
Thomas Delaine,FRA,"DF,MF",31,Strasbourg,Ligue 1,22.7,49,2.16,34,8,4,1,2,0,6,0.26,1,2,1,0,2,0
Marvin Senaya,TOG,"DF,MF",22,Strasbourg,Ligue 1,23.8,42,1.77,27,4,3,2,3,3,3,0.13,1,1,0,0,0,1
Emanuel Emegha,NED,FW,20,Strasbourg,Ligue 1,23.1,28,1.21,16,0,5,3,4,0,5,0.22,1,0,1,2,1,0
Abakar Sylla,CIV,DF,20,Strasbourg,Ligue 1,19.9,14,0.7,12,0,0,0,0,2,1,0.05,0,0,0,0,0,1
Matz Sels,BEL,GK,31,Strasbourg,Ligue 1,19.0,2,0.11,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ismaël Doukouré,FRA,"MF,DF",20,Strasbourg,Ligue 1,18.4,24,1.3,19,1,0,0,1,3,0,0.0,0,0,0,0,0,0
Ibrahima Sissoko,MLI,MF,25,Strasbourg,Ligue 1,18.2,35,1.92,26,0,3,2,2,2,3,0.16,1,0,0,2,0,0
Junior Mwanga,FRA,"MF,FW",20,Strasbourg,Ligue 1,16.1,32,1.98,24,1,1,3,2,1,3,0.19,3,0,0,0,0,0
Alaa Bellaarouch,MAR,GK,21,Strasbourg,Ligue 1,15.0,1,0.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kévin Gameiro,FRA,"FW,MF",36,Strasbourg,Ligue 1,15.0,52,3.48,43,0,2,6,1,0,5,0.33,2,0,0,3,0,0
Gerzino Nyamsi,FRA,DF,26,Strasbourg,Ligue 1,12.1,10,0.82,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Angelo Borges,BRA,"FW,MF",18,Strasbourg,Ligue 1,12.2,54,4.45,43,2,5,1,2,1,6,0.49,5,0,0,0,1,0
Andrey Santos,BRA,MF,19,Strasbourg,Ligue 1,9.2,19,2.06,14,0,3,1,1,0,0,0.0,0,0,0,0,0,0
Jessy Deminguet,FRA,"MF,FW",25,Strasbourg,Ligue 1,7.7,8,1.04,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Saidou Sow,GUI,DF,21,Strasbourg,Ligue 1,8.0,5,0.63,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Dion Moise Sahi,CIV,"MF,FW",21,Strasbourg,Ligue 1,7.0,11,1.57,10,0,1,0,0,0,1,0.14,1,0,0,0,0,0
Lebo Mothiba,RSA,FW,27,Strasbourg,Ligue 1,6.9,12,1.75,8,0,1,1,2,0,1,0.15,0,0,0,1,0,0
Jean-Ricner Bellegarde,FRA,"MF,FW",25,Strasbourg,Ligue 1,3.0,6,2.01,4,0,2,0,0,0,3,1.0,2,0,1,0,0,0
Jérémy Sebas,MTQ,"FW,MF",20,Strasbourg,Ligue 1,4.4,10,2.24,6,0,2,1,1,0,3,0.67,1,0,1,0,1,0
Rabby Nzingoula,CGO,"MF,FW",17,Strasbourg,Ligue 1,1.5,3,2.03,2,0,0,0,1,0,1,0.68,1,0,0,0,0,0
Aboubacar Ali,FRA,"MF,FW",17,Strasbourg,Ligue 1,1.4,1,0.69,1,0,0,0,0,0,1,0.69,1,0,0,0,0,0
Sanjin Prcić,BIH,MF,29,Strasbourg,Ligue 1,1.0,4,4.09,4,0,0,0,0,0,1,1.02,1,0,0,0,0,0
Eduard Sobol,UKR,DF,28,Strasbourg,Ligue 1,0.3,1,3.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mohamed Bechikh,FRA,"FW,MF",18,Strasbourg,Ligue 1,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Patrick Ouotro,CIV,FW,17,Strasbourg,Ligue 1,0.1,1,11.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Steven Baseya,FRA,DF,18,Strasbourg,Ligue 1,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pedro Chirivella,ESP,MF,26,Nantes,Ligue 1,28.8,69,2.39,61,3,0,3,0,2,4,0.14,4,0,0,0,0,0
Alban Lafont,FRA,GK,24,Nantes,Ligue 1,27.7,6,0.22,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Jean-Charles Castelletto,CMR,DF,28,Nantes,Ligue 1,27.4,25,0.91,23,0,1,0,1,0,1,0.04,1,0,0,0,0,0
Florent Mollet,FRA,"MF,FW",31,Nantes,Ligue 1,23.1,66,2.85,39,17,3,6,1,0,5,0.22,2,2,0,0,1,0
Mostafa Mohamed,EGY,FW,25,Nantes,Ligue 1,22.2,48,2.16,28,1,4,12,2,1,5,0.22,3,0,0,0,1,1
Eray Cömert,SUI,DF,25,Nantes,Ligue 1,22.2,16,0.72,11,0,0,2,1,2,1,0.05,0,0,0,1,0,0
Douglas,BRA,MF,26,Nantes,Ligue 1,19.7,37,1.88,26,5,0,1,3,2,2,0.1,2,0,0,0,0,0
Moussa Sissoko,FRA,MF,33,Nantes,Ligue 1,20.2,36,1.78,32,0,1,2,0,1,4,0.2,3,0,0,1,0,0
Moses Simon,NGA,"FW,MF",28,Nantes,Ligue 1,19.9,65,3.27,45,1,12,2,5,0,7,0.35,6,0,0,0,1,0
Marcus Coco,FRA,"DF,FW",27,Nantes,Ligue 1,16.5,30,1.82,26,0,1,1,2,0,2,0.12,1,0,0,1,0,0
Nicolas Pallois,FRA,DF,35,Nantes,Ligue 1,17.7,9,0.51,8,0,1,0,0,0,1,0.06,1,0,0,0,0,0
Jean-Kevin Duverne,HAI,DF,26,Nantes,Ligue 1,15.0,12,0.8,10,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Quentin Merlin,FRA,DF,21,Nantes,Ligue 1,14.3,44,3.09,36,4,0,3,0,1,5,0.35,3,1,0,1,0,0
Matthis Abline,FRA,FW,20,Nantes,Ligue 1,11.6,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0
Samuel Moutoussamy,COD,MF,26,Nantes,Ligue 1,12.3,32,2.6,28,0,1,0,2,1,2,0.16,1,0,0,0,1,0
Nathan Zeze,FRA,DF,18,Nantes,Ligue 1,11.4,1,0.09,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Kelvin Amian,FRA,DF,25,Nantes,Ligue 1,8.9,8,0.9,8,0,0,0,0,0,1,0.11,1,0,0,0,0,0
Nicolas Cozza,FRA,DF,24,Nantes,Ligue 1,9.9,15,1.51,9,0,1,0,5,0,0,0.0,0,0,0,0,0,0
Tino Kadewere,ZIM,"FW,MF",27,Nantes,Ligue 1,8.7,21,2.42,18,0,1,1,1,0,1,0.12,1,0,0,0,0,0
Ronaël Pierre-Gabriel,FRA,DF,25,Nantes,Ligue 1,6.6,4,0.6,1,0,0,2,1,0,0,0.0,0,0,0,0,0,0
Rémy Descamps,FRA,GK,27,Nantes,Ligue 1,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bénie Adama Traore,CIV,"FW,MF",20,Nantes,Ligue 1,5.6,15,2.68,13,1,0,1,0,0,1,0.18,1,0,0,0,0,0
Adson,BRA,"MF,FW",22,Nantes,Ligue 1,2.6,9,3.4,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Ignatius Ganago,CMR,"FW,MF",24,Nantes,Ligue 1,2.0,5,2.45,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Abdoul Kader Bamba,FRA,"FW,MF",29,Nantes,Ligue 1,6.8,36,5.29,22,3,2,3,6,0,3,0.44,2,1,0,0,0,0
Marquinhos,BRA,"FW,MF",20,Nantes,Ligue 1,1.7,9,5.26,8,0,0,0,1,0,1,0.58,0,0,0,0,1,0
Fabien Centonze,FRA,DF,27,Nantes,Ligue 1,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bastien Meupiyou,FRA,DF,17,Nantes,Ligue 1,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jaouen Hadjam,ALG,DF,20,Nantes,Ligue 1,1.2,7,5.53,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Stredair Appuah,FRA,"FW,MF",19,Nantes,Ligue 1,0.9,2,2.14,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Denis Petrić,SRB,GK,35,Nantes,Ligue 1,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hugo Boutsingkham,FRA,"MF,FW",20,Nantes,Ligue 1,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adel Mahamoud,COM,FW,20,Nantes,Ligue 1,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Enzo Mongo,FRA,DF,18,Nantes,Ligue 1,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lamine Diack,SEN,MF,22,Nantes,Ligue 1,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Arthur Desmas,FRA,GK,29,Le Havre,Ligue 1,33.0,4,0.12,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gautier Lloris,FRA,DF,28,Le Havre,Ligue 1,30.9,18,0.58,16,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Arouna Sangante,SEN,DF,21,Le Havre,Ligue 1,29.9,39,1.31,28,4,0,0,3,4,4,0.13,2,0,0,0,1,1
Christopher Operi,CIV,DF,26,Le Havre,Ligue 1,27.2,74,2.72,29,34,5,4,2,0,6,0.22,2,2,1,0,1,0
Abdoulaye Touré,GUI,MF,29,Le Havre,Ligue 1,25.4,44,1.73,37,0,2,1,3,1,1,0.04,1,0,0,0,0,0
Josué Casimir,FRA,"FW,DF",21,Le Havre,Ligue 1,22.4,52,2.32,42,0,4,2,4,0,7,0.31,5,0,1,0,1,0
Daler Kuzyaev,RUS,MF,30,Le Havre,Ligue 1,23.2,72,3.1,57,6,0,3,6,0,4,0.17,4,0,0,0,0,0
Etienne Youte Kinkoue,FRA,DF,21,Le Havre,Ligue 1,21.6,12,0.56,9,2,0,0,0,1,1,0.05,1,0,0,0,0,0
Yassine Kechta,MAR,MF,21,Le Havre,Ligue 1,20.5,47,2.29,39,2,0,2,4,0,2,0.1,1,0,0,1,0,0
Emmanuel Sabbi,USA,"FW,MF",25,Le Havre,Ligue 1,17.6,44,2.5,26,1,5,5,7,0,6,0.34,3,0,1,1,1,0
Yoann Salmier,GUF,DF,30,Le Havre,Ligue 1,17.4,17,0.98,15,1,0,1,0,0,3,0.17,2,0,0,1,0,0
Loïc Nego,HUN,"DF,MF",32,Le Havre,Ligue 1,17.3,39,2.25,29,2,1,1,6,0,8,0.46,6,0,0,0,2,0
Mohamed Lamine Bayo,GUI,FW,25,Le Havre,Ligue 1,15.4,39,2.53,26,0,5,6,1,1,6,0.39,3,0,2,1,0,0
André Ayew,GHA,FW,33,Le Havre,Ligue 1,12.3,27,2.2,18,0,5,2,0,2,1,0.08,1,0,0,0,0,0
Oussama Targhalline,MAR,MF,21,Le Havre,Ligue 1,11.4,24,2.11,18,0,0,0,3,3,2,0.18,2,0,0,0,0,0
Nabil Alioui,FRA,"MF,FW",24,Le Havre,Ligue 1,11.2,40,3.56,24,11,3,2,0,0,2,0.18,1,1,0,0,0,0
Antoine Joujou,FRA,"FW,MF",20,Le Havre,Ligue 1,8.7,31,3.59,17,0,5,5,4,0,5,0.58,3,0,1,0,1,0
Rassoul Ndiaye,SEN,"MF,FW",21,Le Havre,Ligue 1,5.8,7,1.2,6,0,1,0,0,0,0,0.0,0,0,0,0,0,0
