player,nationality,position,age,club,league,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Matteo Gabbia,ITA,DF,24,Milan,Serie A,14.2,8,0.56,4,1,0,2,0,1,1,0.07,0,0,0,1,0,0
Simon Kjær,DEN,DF,35,Milan,Serie A,13.0,9,0.69,7,0,0,1,1,0,1,0.08,1,0,0,0,0,0
Yunus Musah,USA,"MF,FW",21,Milan,Serie A,16.4,38,2.32,27,0,5,4,1,1,2,0.12,2,0,0,0,0,0
Ismaël Bennacer,ALG,MF,26,Milan,Serie A,12.8,38,2.97,27,4,3,2,1,1,3,0.23,3,0,0,0,0,0
Samuel Chukwueze,NGA,FW,25,Milan,Serie A,11.3,48,4.25,32,0,9,5,2,0,7,0.62,5,0,1,1,0,0
Luka Jović,SRB,FW,26,Milan,Serie A,9.7,20,2.05,15,0,0,5,0,0,2,0.21,2,0,0,0,0,0
Rade Krunić,BIH,MF,30,Milan,Serie A,7.6,10,1.31,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Marco Sportiello,ITA,GK,32,Milan,Serie A,7.0,2,0.29,2,0,0,0,0,0,1,0.14,1,0,0,0,0,0
Noah Okafor,SUI,"FW,MF",24,Milan,Serie A,9.9,18,1.83,11,0,4,2,0,1,4,0.41,3,0,0,1,0,0
Pierre Kalulu,FRA,DF,23,Milan,Serie A,4.2,6,1.44,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Tommaso Pobega,ITA,MF,24,Milan,Serie A,3.5,4,1.13,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Antonio Mirante,ITA,GK,40,Milan,Serie A,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Filippo Terracciano,ITA,"DF,FW",21,Milan,Serie A,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jan-Carlo Simic,SRB,DF,19,Milan,Serie A,1.6,2,1.23,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Luka Romero,ARG,"FW,MF",19,Milan,Serie A,1.0,2,2.02,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Davide Bartesaghi,ITA,"DF,MF",18,Milan,Serie A,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alejandro Jiménez,ESP,DF,19,Milan,Serie A,0.8,2,2.65,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marco Pellegrino,ARG,DF,21,Milan,Serie A,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
