player,nationality,position,age,club,league,minutes_90s,touches,touches_dpa,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_apa,touches_live_ball,TO,TO_won,TO_won_pct,TO_tkld,TO_tkld_pct,carries,carries_dist,carries_prog_dist,prog_carries,carries_into_final_3rd,carries_into_pa,miscontrols,dispossesed,passes_rec,prog_passes_rec
Paul Akouokou,CIV,MF,25,Lyon,Ligue 1,3.4,231,16,52,142,37,1,231,4,3,75.0,0,0.0,168,633,179,0,4,0,4,1,149,2
Diego Moreira,POR,"FW,MF",18,Lyon,Ligue 1,3.0,148,2,24,74,51,9,148,9,2,22.2,7,77.8,120,795,355,10,5,3,13,6,108,23
Jeffinho,BRA,"FW,MF",23,Lyon,Ligue 1,3.4,198,0,13,66,122,21,198,38,14,36.8,21,55.3,162,1074,449,15,13,5,10,13,148,36
Bradley Barcola,FRA,FW,20,Lyon,Ligue 1,3.0,129,1,10,56,64,19,129,18,8,44.4,10,55.6,103,688,303,11,6,8,7,2,99,31
Rémy Riou,FRA,GK,35,Lyon,Ligue 1,3.0,107,95,106,1,0,0,107,0,0,0.0,0,0.0,71,371,214,0,0,0,0,0,45,0
Tino Kadewere,ZIM,"FW,MF",27,Lyon,Ligue 1,3.3,148,8,19,70,61,13,148,5,3,60.0,2,40.0,104,540,185,4,2,3,6,9,99,28
Johann Lepenant,FRA,MF,20,Lyon,Ligue 1,2.8,210,5,39,129,43,4,210,4,3,75.0,1,25.0,171,882,372,5,7,3,5,0,155,6
Amin Sarr,SWE,"FW,MF",22,Lyon,Ligue 1,1.1,35,2,3,14,18,7,35,3,2,66.7,1,33.3,21,116,50,3,1,2,4,0,21,8
Chaim El Djebali,TUN,MF,19,Lyon,Ligue 1,0.1,10,0,0,5,5,0,10,1,0,0.0,1,100.0,9,50,35,1,1,0,0,0,10,0
Mamadou Sarr,FRA,DF,17,Lyon,Ligue 1,0.1,5,0,1,4,0,0,5,0,0,0.0,0,0.0,4,13,5,0,0,0,0,0,4,0
Adryelson,BRA,"DF,FW",25,Lyon,Ligue 1,0.1,9,2,9,0,0,0,9,0,0,0.0,0,0.0,5,22,9,0,0,0,0,0,5,0
Mohamed El Arouch,FRA,FW,19,Lyon,Ligue 1,0.0,2,0,1,2,0,0,2,1,1,100.0,0,0.0,1,8,6,0,0,0,0,0,0,0
Brice Samba,FRA,GK,29,Lens,Ligue 1,33.0,1194,917,1173,22,0,0,1194,0,0,0.0,0,0.0,861,4654,2662,0,0,0,2,0,600,0
Facundo Medina,ARG,DF,24,Lens,Ligue 1,30.2,2367,170,776,1382,239,17,2367,32,18,56.3,14,43.8,1846,11169,6030,51,53,4,30,15,1661,20
Kevin Danso,AUT,DF,24,Lens,Ligue 1,29.5,2010,248,836,1093,98,22,2010,16,11,68.8,2,12.5,1411,8880,5038,27,29,0,24,8,1236,3
Florian Sotoca,FRA,"MF,FW",32,Lens,Ligue 1,28.9,1749,43,171,837,757,132,1745,39,20,51.3,15,38.5,1321,6652,2515,56,70,10,49,33,1349,253
Jonathan Gradit,FRA,DF,30,Lens,Ligue 1,23.5,1582,105,482,965,145,6,1582,8,4,50.0,2,25.0,1182,6390,3507,21,50,0,11,7,1078,6
Przemysław Frankowski,POL,DF,28,Lens,Ligue 1,24.4,1584,49,299,646,647,55,1582,30,12,40.0,18,60.0,1056,5787,2415,56,42,6,36,15,997,210
Ruben Aguilar,FRA,DF,30,Lens,Ligue 1,21.4,1533,64,326,699,518,38,1533,20,6,30.0,12,60.0,1039,5334,2333,36,37,2,31,10,970,162
Elye Wahi,FRA,FW,20,Lens,Ligue 1,18.8,481,1,18,196,276,115,480,44,17,38.6,20,45.5,362,2398,1024,52,24,26,57,25,360,171
Neil El Aynaoui,FRA,MF,22,Lens,Ligue 1,17.4,877,40,169,526,193,39,877,39,15,38.5,16,41.0,646,3426,1271,25,21,1,27,16,580,44
Salis Abdul Samed,GHA,MF,23,Lens,Ligue 1,16.9,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20
David Pereira da Costa,POR,MF,22,Lens,Ligue 1,16.6,883,17,123,393,383,43,883,39,20,51.3,18,46.2,699,4344,1844,53,44,10,28,22,655,101
Angelo Fulgini,FRA,MF,26,Lens,Ligue 1,15.3,996,19,97,439,471,48,996,42,18,42.9,22,52.4,692,3650,1415,35,42,7,33,36,667,117
Andy Diouf,FRA,MF,20,Lens,Ligue 1,14.6,908,17,114,478,336,23,908,58,30,51.7,26,44.8,685,4841,2511,63,48,8,29,30,640,55
Adrien Thomasson,FRA,MF,29,Lens,Ligue 1,13.3,822,17,107,330,393,75,822,14,9,64.3,5,35.7,611,3027,1117,20,23,7,29,22,574,121
Deiver Machado,COL,DF,29,Lens,Ligue 1,12.5,613,26,124,274,223,25,613,24,7,29.2,10,41.7,395,2075,866,22,15,4,18,16,364,74
Nampalys Mendy,SEN,MF,31,Lens,Ligue 1,11.7,769,16,132,510,138,2,769,9,3,33.3,6,66.7,601,3222,1377,21,30,1,11,4,541,13
Wesley Saïd,FRA,"FW,MF",28,Lens,Ligue 1,11.3,386,2,27,158,209,77,386,21,13,61.9,7,33.3,298,1747,741,18,15,7,27,11,285,95
Abduqodir Xusanov,UZB,DF,19,Lens,Ligue 1,9.0,535,61,275,234,29,3,535,2,1,50.0,1,50.0,388,1981,757,5,4,0,6,0,349,1
Massadio Haïdara,MLI,DF,30,Lens,Ligue 1,8.2,513,50,165,233,118,9,513,4,0,0.0,4,100.0,342,1864,832,8,14,2,6,5,312,25
Jhoanner Chávez,ECU,DF,21,Lens,Ligue 1,5.3,266,11,87,111,71,9,266,1,0,0.0,1,100.0,161,791,309,4,6,3,13,5,149,19
Morgan Guilavogui,GUI,"FW,MF",25,Lens,Ligue 1,6.3,326,11,34,128,166,45,326,10,5,50.0,5,50.0,239,1386,384,16,8,7,23,17,235,75
Stijn Spierings,NED,MF,27,Lens,Ligue 1,1.3,69,1,15,39,15,1,69,0,0,0.0,0,0.0,51,238,87,0,1,0,0,1,47,4
Jean-Louis Leca,FRA,GK,37,Lens,Ligue 1,1.0,28,24,28,0,0,0,28,0,0,0.0,0,0.0,20,100,46,0,0,0,0,0,16,0
Faitout Maouassa,FRA,"MF,DF",25,Lens,Ligue 1,0.8,42,3,11,11,20,4,42,2,1,50.0,1,50.0,21,140,62,2,0,2,0,4,20,2
Ayanda Sishuba,BEL,"MF,FW",18,Lens,Ligue 1,0.7,47,0,5,9,33,11,47,13,8,61.5,4,30.8,37,358,182,7,3,6,8,2,36,10
Julien Le Cardinal,FRA,DF,25,Lens,Ligue 1,0.6,40,3,16,20,5,0,40,1,1,100.0,0,0.0,23,142,43,1,0,0,0,0,18,2
Oscar Cortés,COL,"FW,MF",19,Lens,Ligue 1,0.5,35,0,1,14,20,5,35,0,0,0.0,0,0.0,30,175,42,1,0,0,6,2,30,8
Pau López,ESP,GK,28,Marseille,Ligue 1,32.7,1258,780,1216,42,0,0,1258,0,0,0.0,0,0.0,946,5033,3149,0,0,0,1,0,718,0
Pierre-Emerick Aubameyang,GAB,FW,34,Marseille,Ligue 1,29.1,960,30,85,377,512,163,956,34,18,52.9,14,41.2,696,4062,1628,68,34,38,42,21,680,235
Leonardo Balerdi,ARG,DF,24,Marseille,Ligue 1,25.2,1936,188,845,1036,73,18,1936,18,9,50.0,6,33.3,1412,7846,4056,19,23,0,17,10,1271,6
Chancel Mbemba,COD,DF,28,Marseille,Ligue 1,24.5,1631,170,618,925,98,25,1631,11,7,63.6,3,27.3,1221,6994,4035,16,29,2,17,5,1148,10
Jonathan Clauss,FRA,DF,30,Marseille,Ligue 1,23.0,1768,64,353,772,663,36,1768,35,19,54.3,14,40.0,1150,6152,2812,59,62,7,37,7,1060,172
Jordan Veretout,FRA,MF,30,Marseille,Ligue 1,24.3,1516,39,221,802,515,34,1516,21,9,42.9,12,57.1,1120,6502,2741,53,54,11,24,23,1026,81
Amine Harit,MAR,"MF,FW",26,Marseille,Ligue 1,20.2,1184,13,113,573,515,64,1184,75,39,52.0,27,36.0,969,6200,2888,84,69,11,43,37,904,112
Samuel Gigot,FRA,DF,29,Marseille,Ligue 1,19.2,1189,192,560,543,90,37,1189,5,3,60.0,2,40.0,776,4252,2452,10,17,2,9,2,710,8
Iliman Ndiaye,SEN,"FW,MF",23,Marseille,Ligue 1,18.0,771,12,78,302,411,73,771,79,44,55.7,30,38.0,611,4042,1500,51,32,15,42,41,571,152
Geoffrey Kondogbia,CTA,MF,30,Marseille,Ligue 1,16.3,1119,45,229,744,153,13,1119,13,9,69.2,2,15.4,859,3975,1544,7,13,0,20,14,792,25
Ismaila Sarr,SEN,"FW,MF",25,Marseille,Ligue 1,16.1,675,24,72,252,357,89,675,45,14,31.1,25,55.6,508,3343,1556,49,33,21,32,25,486,152
Azzedine Ounahi,MAR,MF,23,Marseille,Ligue 1,13.4,959,17,142,519,302,23,959,27,8,29.6,18,66.7,807,4646,1963,32,41,9,21,17,769,70
Renan Lodi,BRA,DF,25,Marseille,Ligue 1,13.7,874,47,247,390,243,19,874,8,2,25.0,5,62.5,575,3148,1376,25,30,2,15,2,522,77
Michael Amir Murillo,PAN,DF,27,Marseille,Ligue 1,11.1,703,44,184,359,169,17,703,19,12,63.2,7,36.8,486,2223,805,6,11,3,9,8,448,52
Vitinha,POR,FW,23,Marseille,Ligue 1,10.3,366,12,36,128,209,72,366,34,17,50.0,17,50.0,263,1653,543,15,13,9,35,17,248,84
Ulisses Garcia,SUI,DF,27,Marseille,Ligue 1,10.1,658,21,140,309,215,8,658,18,10,55.6,6,33.3,423,2330,1157,21,18,2,9,14,394,66
Valentin Rongier,FRA,MF,28,Marseille,Ligue 1,9.5,685,27,135,413,143,10,685,10,5,50.0,5,50.0,511,2879,1333,19,14,1,14,8,465,10
Pape Gueye,SEN,"MF,DF",24,Marseille,Ligue 1,8.5,602,19,108,389,110,8,602,9,1,11.1,5,55.6,449,2298,1076,8,13,0,11,8,419,18
Luis Henrique,BRA,"FW,DF",21,Marseille,Ligue 1,8.7,472,9,71,185,227,25,472,25,13,52.0,11,44.0,366,2503,1158,30,26,9,16,9,346,84
Quentin Merlin,FRA,DF,21,Marseille,Ligue 1,7.8,525,16,119,268,139,8,525,9,4,44.4,4,44.4,347,2091,796,15,6,4,7,6,318,56
Bamo Meïté,CIV,DF,21,Marseille,Ligue 1,7.1,605,60,241,327,42,2,605,9,5,55.6,2,22.2,435,2531,1280,11,14,1,5,4,408,5
Joaquín Correa,ARG,"FW,MF",28,Marseille,Ligue 1,4.8,214,1,26,89,100,17,214,15,5,33.3,9,60.0,162,990,370,9,10,2,8,10,153,57
Jean Onana,CMR,MF,23,Marseille,Ligue 1,6.3,534,17,122,355,61,2,534,6,2,33.3,3,50.0,410,2413,1123,9,14,0,8,3,391,9
Faris Pemi Moumbagna,CMR,FW,23,Marseille,Ligue 1,6.1,168,1,6,75,88,37,168,7,1,14.3,6,85.7,123,506,165,6,4,4,19,7,125,32
François Mughe,CMR,"MF,DF",19,Marseille,Ligue 1,2.0,73,1,9,16,48,4,73,8,2,25.0,6,75.0,57,567,232,7,8,1,10,1,53,16
Rubén Blanco,ESP,GK,28,Marseille,Ligue 1,1.3,54,35,52,2,0,0,54,0,0,0.0,0,0.0,34,173,122,0,0,0,0,0,24,0
Bilal Nadir,FRA,"MF,FW",19,Marseille,Ligue 1,1.3,59,0,6,39,15,3,59,2,1,50.0,0,0.0,43,282,122,3,3,1,3,0,44,7
Emran Soglo,ENG,"MF,DF",18,Marseille,Ligue 1,1.2,61,3,14,30,18,4,61,2,1,50.0,1,50.0,39,200,57,1,2,1,3,1,31,8
Raimane Daou,COM,"DF,MF",18,Marseille,Ligue 1,0.3,17,2,8,8,1,0,17,1,0,0.0,1,100.0,12,85,7,0,0,0,0,0,11,1
Mattéo Guendouzi,FRA,MF,24,Marseille,Ligue 1,0.2,16,0,3,6,8,2,16,0,0,0.0,0,0.0,12,159,98,2,2,0,0,1,11,1
Sofiane Sidi Ali,FRA,MF,28,Marseille,Ligue 1,0.2,17,0,2,8,7,2,17,3,0,0.0,3,100.0,11,61,17,0,0,0,1,2,11,3
Keyliane Abdallah,FRA,FW,17,Marseille,Ligue 1,0.0,1,0,0,1,0,0,1,0,0,0.0,0,0.0,1,3,0,0,0,0,0,0,1,0
Noam Mayoka-Tika,BEL,MF,19,Marseille,Ligue 1,0.0,1,0,0,1,0,0,1,0,0,0.0,0,0.0,1,3,0,0,0,0,0,0,1,0
Yehvann Diouf,FRA,GK,23,Reims,Ligue 1,34.0,1372,1013,1354,19,0,0,1372,3,3,100.0,0,0.0,1061,4997,2703,0,0,0,1,0,775,0
Yunis Abdelhamid,MAR,DF,35,Reims,Ligue 1,30.9,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9
Junya Ito,JPN,"FW,MF",30,Reims,Ligue 1,30.2,1428,15,134,538,776,100,1428,108,54,50.0,46,42.6,1069,7115,3389,123,76,35,72,37,1026,287
Emmanuel Agbadou,CIV,DF,26,Reims,Ligue 1,28.8,2198,237,820,1233,165,32,2198,31,15,48.4,16,51.6,1582,10223,5460,42,26,2,24,23,1405,19
Marshall Munetsi,ZIM,MF,27,Reims,Ligue 1,24.1,836,50,161,433,253,72,836,33,10,30.3,21,63.6,487,2475,935,19,17,1,51,17,439,81
Teddy Teuma,MLT,MF,29,Reims,Ligue 1,23.5,1761,15,261,967,558,32,1760,47,27,57.4,16,34.0,1272,6693,2853,29,38,4,43,17,1199,112
Thomas Foket,BEL,DF,28,Reims,Ligue 1,20.4,1250,78,374,569,314,19,1250,12,7,58.3,5,41.7,796,4095,1848,24,24,1,27,10,730,84
Thibault De Smet,BEL,DF,25,Reims,Ligue 1,20.3,1255,79,375,613,276,10,1255,15,5,33.3,9,60.0,809,4641,1984,23,30,1,14,7,742,66
Joseph Okumu,KEN,DF,26,Reims,Ligue 1,19.4,1542,177,765,755,34,15,1542,10,7,70.0,1,10.0,1147,6845,3561,15,16,1,13,5,1017,3
Mohammed Daramy,DEN,"FW,MF",21,Reims,Ligue 1,18.3,718,7,67,255,410,84,717,94,52,55.3,37,39.4,589,4642,2276,72,46,32,46,19,559,162
Oumar Diakité,CIV,FW,19,Reims,Ligue 1,17.6,546,13,55,233,271,89,545,62,25,40.3,34,54.8,380,2557,789,29,21,21,69,28,370,107
Keito Nakamura,JPN,"FW,MF",23,Reims,Ligue 1,15.3,570,11,78,227,280,66,570,32,19,59.4,13,40.6,424,2780,1412,48,24,17,34,28,396,141
Azor Matusiwa,NED,MF,25,Reims,Ligue 1,15.4,929,56,216,558,164,10,929,13,9,69.2,3,23.1,617,3259,1296,12,20,2,15,10,541,12
Reda Khadra,GER,"FW,MF",22,Reims,Ligue 1,15.2,556,11,83,199,297,41,556,60,28,46.7,31,51.7,415,3065,1166,35,33,14,41,35,387,110
Amir Richardson,MAR,MF,21,Reims,Ligue 1,15.0,855,45,166,487,214,20,855,26,8,30.8,18,69.2,593,3703,1511,28,28,3,23,21,563,40
Sergio Akieme,ESP,DF,25,Reims,Ligue 1,9.1,443,36,135,195,119,11,443,18,8,44.4,9,50.0,259,1562,742,20,12,3,12,8,239,34
Valentin Atangana Edoa,FRA,MF,17,Reims,Ligue 1,6.2,264,13,69,136,65,11,264,8,2,25.0,5,62.5,166,1141,424,10,11,2,12,3,150,17
Josh Wilson-Esbrand,ENG,"DF,MF",20,Reims,Ligue 1,5.1,304,9,66,163,77,10,304,17,10,58.8,7,41.2,196,1058,569,11,10,3,9,8,186,20
Amadou Koné,MLI,MF,18,Reims,Ligue 1,5.3,322,23,97,199,32,2,322,3,2,66.7,1,33.3,224,1213,443,2,5,0,9,4,197,2
Therence Koudou,FRA,DF,18,Reims,Ligue 1,3.5,204,15,52,91,64,1,204,3,3,100.0,0,0.0,122,645,309,8,3,1,3,4,107,21
Benjamin Stambouli,FRA,MF,32,Reims,Ligue 1,3.2,158,11,46,89,25,2,158,1,1,100.0,0,0.0,101,423,229,2,1,0,2,0,93,2
Abdoul Koné,FRA,DF,18,Reims,Ligue 1,2.1,115,12,55,54,9,1,115,3,2,66.7,1,33.3,65,359,116,3,1,1,4,0,52,1
Amine Salama,FRA,FW,23,Reims,Ligue 1,3.5,110,0,10,48,56,10,110,14,10,71.4,3,21.4,85,723,311,10,4,3,15,5,79,33
Mamadou Diakhon,FRA,"FW,MF",17,Reims,Ligue 1,2.3,87,4,17,33,40,5,87,20,6,30.0,10,50.0,63,620,278,11,2,5,7,2,57,16
Maxime Busi,BEL,"FW,DF",23,Reims,Ligue 1,1.8,116,5,38,49,31,6,116,4,3,75.0,1,25.0,69,394,175,3,2,3,2,3,60,12
Ibrahim Diakité,GUI,DF,19,Reims,Ligue 1,1.2,100,5,30,40,31,2,100,5,2,40.0,3,60.0,57,385,192,7,5,1,1,0,46,9
Adama Bojang,GAM,FW,19,Reims,Ligue 1,0.9,42,1,5,16,22,10,42,1,1,100.0,0,0.0,25,134,56,2,1,1,4,1,26,8
Yaya Kader Fofana,MLI,"MF,DF",19,Reims,Ligue 1,0.4,31,1,4,12,15,4,31,2,2,100.0,0,0.0,18,114,35,1,2,0,1,0,16,1
Christ Mbondi,FRA,FW,18,Reims,Ligue 1,0.0,3,0,1,1,1,0,3,0,0,0.0,0,0.0,2,9,2,0,0,0,0,0,2,1
Steve Mandanda,FRA,GK,38,Rennes,Ligue 1,34.0,1286,976,1267,19,0,0,1286,1,1,100.0,0,0.0,919,4432,2525,0,1,1,1,0,641,0
Benjamin Bourigeaud,FRA,"MF,FW",29,Rennes,Ligue 1,26.9,1803,61,292,868,659,66,1796,24,10,41.7,14,58.3,1290,6311,2388,27,39,4,31,12,1216,139
Arthur Theate,BEL,DF,23,Rennes,Ligue 1,25.5,1882,201,810,949,135,28,1882,14,7,50.0,6,42.9,1413,9027,5220,33,36,3,16,3,1307,24
Arnaud Kalimuendo,FRA,FW,21,Rennes,Ligue 1,23.8,717,7,37,347,339,107,715,46,17,37.0,25,54.3,559,3294,1046,27,18,13,52,35,564,181
Adrien Truffert,FRA,DF,21,Rennes,Ligue 1,23.8,1586,73,388,665,545,47,1586,56,24,42.9,28,50.0,1023,5947,2732,51,61,8,34,24,941,181
Amine Gouiri,ALG,"FW,MF",23,Rennes,Ligue 1,23.0,1048,18,109,435,523,132,1048,86,46,53.5,40,46.5,822,4947,2120,59,50,28,41,40,807,185
Warmed Omari,FRA,DF,23,Rennes,Ligue 1,23.0,1499,170,664,791,55,8,1499,8,6,75.0,2,25.0,1112,7205,4341,22,17,1,11,7,1015,1
Baptiste Santamaria,FRA,MF,28,Rennes,Ligue 1,21.4,1444,67,333,906,212,18,1444,25,14,56.0,9,36.0,1076,5551,2275,13,28,0,27,19,1005,36
Enzo Le Fée,FRA,MF,23,Rennes,Ligue 1,17.0,1239,48,227,691,344,19,1239,53,29,54.7,22,41.5,966,5512,2446,45,48,7,33,24,893,58
Martin Terrier,FRA,"FW,MF",26,Rennes,Ligue 1,17.0,679,19,75,288,323,87,679,39,16,41.0,18,46.2,506,2828,1153,28,25,9,33,18,511,112
Ludovic Blas,FRA,"FW,MF",25,Rennes,Ligue 1,17.4,736,6,92,296,366,59,734,69,25,36.2,39,56.5,557,3916,1737,46,37,8,40,29,515,157
Désiré Doué,FRA,"MF,FW",18,Rennes,Ligue 1,18.1,1056,14,124,442,512,70,1056,106,64,60.4,31,29.2,828,6050,2891,78,73,29,58,44,827,172
Jeanuël Belocian,FRA,DF,18,Rennes,Ligue 1,16.1,1002,104,385,492,129,5,1002,8,5,62.5,2,25.0,739,4456,2252,16,24,0,8,4,685,37
Christopher Wooh,CMR,DF,21,Rennes,Ligue 1,15.4,931,105,411,492,42,19,931,8,1,12.5,3,37.5,655,4133,2261,8,3,1,10,3,609,4
Guela Doué,CIV,DF,20,Rennes,Ligue 1,13.7,843,66,270,338,246,24,843,29,20,69.0,7,24.1,509,3429,1708,41,41,9,19,15,442,85
Lorenz Assignon,TOG,DF,23,Rennes,Ligue 1,11.2,712,26,158,323,237,21,712,23,10,43.5,13,56.5,489,2754,1380,28,19,7,13,5,431,67
Nemanja Matić,SRB,MF,34,Rennes,Ligue 1,11.4,923,53,244,549,147,7,923,21,16,76.2,3,14.3,700,4023,2164,14,37,0,11,15,617,8
Azor Matusiwa,NED,MF,25,Rennes,Ligue 1,8.8,530,26,108,317,108,8,530,4,2,50.0,1,25.0,392,1999,800,3,19,0,6,6,371,12
Alidu Seidu,GHA,DF,23,Rennes,Ligue 1,6.6,439,23,121,215,109,2,439,11,6,54.5,3,27.3,287,1858,812,14,16,1,11,3,267,24
Ibrahim Salah,MAR,"FW,MF",21,Rennes,Ligue 1,5.8,341,14,59,128,159,18,341,29,11,37.9,18,62.1,268,1775,700,15,17,2,18,15,237,61
Bertuğ Yıldırım,TUR,FW,21,Rennes,Ligue 1,5.2,155,4,16,82,62,21,155,9,6,66.7,1,11.1,109,716,266,9,7,2,13,7,112,29
Fabian Rieder,SUI,MF,21,Rennes,Ligue 1,4.1,255,6,25,159,76,7,255,5,2,40.0,3,60.0,191,989,396,10,6,1,8,3,172,18
Jeremy Doku,BEL,FW,21,Rennes,Ligue 1,1.2,61,1,6,17,44,12,61,9,9,100.0,0,0.0,60,627,342,11,6,7,2,2,54,19
Mahamadou Nagida,CMR,DF,18,Rennes,Ligue 1,1.2,82,0,15,30,39,6,82,5,3,60.0,1,20.0,62,413,251,5,6,2,2,1,53,11
Lovro Majer,CRO,MF,25,Rennes,Ligue 1,0.2,20,1,6,9,6,2,20,1,1,100.0,0,0.0,17,131,58,1,0,1,1,0,16,1
Birger Meling,NOR,DF,28,Rennes,Ligue 1,0.2,10,0,4,2,4,1,10,0,0,0.0,0,0.0,4,10,4,0,0,0,0,0,5,0
Mathis Lambourde,FRA,FW,17,Rennes,Ligue 1,0.1,9,1,3,3,3,0,9,0,0,0.0,0,0.0,6,33,10,1,0,0,1,0,4,2
Jérémy Jacquet,FRA,MF,18,Rennes,Ligue 1,0.1,7,0,3,4,0,0,7,0,0,0.0,0,0.0,5,43,36,1,0,0,0,0,3,0
Djaoui Cissé,FRA,MF,19,Rennes,Ligue 1,0.0,5,0,0,4,1,0,5,0,0,0.0,0,0.0,4,26,9,0,0,0,0,0,4,1
Guillaume Restes,FRA,GK,18,Toulouse,Ligue 1,34.0,990,813,982,8,0,0,990,1,1,100.0,0,0.0,594,3013,1714,0,0,0,1,0,442,0
Rasmus Nicolaisen,DEN,DF,26,Toulouse,Ligue 1,32.5,2027,325,980,989,64,44,2027,4,3,75.0,1,25.0,1343,6713,3528,5,5,0,10,2,1246,11
Logan Costa,CPV,DF,22,Toulouse,Ligue 1,29.4,2059,298,932,1001,138,30,2059,10,6,60.0,4,40.0,1455,7829,3931,19,30,2,18,3,1360,14
Thijs Dallinga,NED,FW,22,Toulouse,Ligue 1,27.9,878,40,81,409,398,124,875,38,20,52.6,14,36.8,663,3515,1132,32,24,9,46,29,687,164
Gabriel Suazo,CHI,DF,25,Toulouse,Ligue 1,26.2,1726,58,393,797,558,53,1726,62,35,56.5,24,38.7,1134,5782,2567,44,50,9,33,16,1036,166
Vincent Sierro,SUI,MF,27,Toulouse,Ligue 1,25.1,1578,59,314,891,396,23,1573,30,17,56.7,11,36.7,1103,5457,2250,17,26,4,32,24,1034,73
Cristian Cásseres Jr.,VEN,MF,23,Toulouse,Ligue 1,21.6,1274,60,296,776,220,26,1274,17,12,70.6,5,29.4,863,4156,1836,14,26,1,22,13,794,52
Aron Dønnum,NOR,"FW,MF",25,Toulouse,Ligue 1,17.7,774,19,108,343,341,48,774,74,31,41.9,34,45.9,601,4386,2001,69,37,21,46,23,567,120
Mikkel Desler,DEN,DF,28,Toulouse,Ligue 1,17.2,1119,56,274,533,320,37,1119,24,14,58.3,8,33.3,702,3760,1657,30,27,9,18,10,663,96
Stijn Spierings,NED,MF,27,Toulouse,Ligue 1,16.8,1257,50,256,826,189,6,1257,12,5,41.7,6,50.0,925,4689,2124,16,35,0,13,15,825,22
Moussa Diarra,MLI,DF,22,Toulouse,Ligue 1,15.5,857,80,312,429,123,10,857,9,5,55.6,3,33.3,528,2705,1283,18,18,2,22,6,479,12
Niklas Schmidt,GER,MF,25,Toulouse,Ligue 1,14.1,959,35,172,565,234,14,959,20,11,55.0,9,45.0,742,3774,1630,20,26,1,18,9,688,43
Frank Magri,CMR,"FW,MF",23,Toulouse,Ligue 1,16.0,520,20,57,210,262,63,520,37,13,35.1,20,54.1,375,2367,891,31,17,11,38,25,364,121
Yann Gboho,FRA,"MF,FW",22,Toulouse,Ligue 1,13.3,473,6,48,183,261,68,473,63,30,47.6,29,46.0,369,2966,1626,65,42,27,39,28,351,97
Waren Kamanzi,NOR,"DF,FW",22,Toulouse,Ligue 1,13.2,749,40,203,354,195,22,749,8,2,25.0,5,62.5,484,2910,1323,35,19,8,18,13,459,55
Christian Mawissa,FRA,DF,18,Toulouse,Ligue 1,12.4,784,70,325,371,97,13,784,42,24,57.1,15,35.7,528,2966,1628,26,25,4,14,5,471,11
Gelabert,ESP,"MF,FW",22,Toulouse,Ligue 1,8.4,456,14,77,231,156,32,456,29,13,44.8,15,51.7,353,1876,691,14,17,11,23,12,336,57
Zakaria Aboukhlal,MAR,"MF,FW",23,Toulouse,Ligue 1,8.4,305,1,27,123,161,38,304,31,8,25.8,22,71.0,233,1651,745,23,13,8,22,12,229,75
Kévin Keben Biakolo,CMR,DF,19,Toulouse,Ligue 1,5.8,318,28,139,150,33,3,318,7,3,42.9,4,57.1,205,1283,559,5,7,0,11,1,183,10
Denis Genreau,AUS,"MF,FW",24,Toulouse,Ligue 1,5.2,273,9,67,135,76,9,273,12,4,33.3,7,58.3,184,1019,329,6,5,2,11,4,153,27
Shavy Babicka,GAB,"FW,MF",23,Toulouse,Ligue 1,4.1,182,3,17,63,104,12,182,15,6,40.0,9,60.0,132,912,379,17,4,6,13,3,127,64
Yanis Begraoui,MAR,"FW,MF",22,Toulouse,Ligue 1,3.3,149,5,20,69,65,15,149,9,7,77.8,2,22.2,113,692,266,9,6,2,12,6,107,30
Ibrahim Cissoko,NED,"FW,MF",20,Toulouse,Ligue 1,2.7,156,0,14,40,104,27,156,30,17,56.7,12,40.0,124,846,482,21,9,13,9,3,114,39
Naatan Skyttä,FIN,"MF,FW",21,Toulouse,Ligue 1,1.3,77,0,4,39,34,5,77,1,1,100.0,0,0.0,60,280,104,1,0,1,4,1,60,12
Mamady Bangré,BFA,"FW,MF",22,Toulouse,Ligue 1,1.1,97,2,14,33,50,13,97,5,1,20.0,4,80.0,76,542,312,10,5,2,4,4,69,12
Fares Chaïbi,ALG,"FW,MF",20,Toulouse,Ligue 1,0.6,50,1,4,23,23,0,50,2,0,0.0,2,100.0,40,214,91,2,1,0,4,0,39,12
Téji Savanier,FRA,MF,31,Montpellier,Ligue 1,30.7,2283,58,434,1212,682,52,2276,108,55,50.9,42,38.9,1525,8329,3398,39,59,8,59,38,1409,108
Benjamin Lecomte,FRA,GK,32,Montpellier,Ligue 1,30.0,1082,846,1067,16,0,0,1082,0,0,0.0,0,0.0,699,4248,2923,0,0,0,0,0,467,0
Joris Chotard,FRA,MF,21,Montpellier,Ligue 1,28.7,1481,118,483,809,201,18,1481,14,3,21.4,9,64.3,952,4381,1727,12,18,2,22,13,793,40
Akor Adams,NGA,FW,23,Montpellier,Ligue 1,25.0,638,17,61,266,323,118,638,44,14,31.8,26,59.1,442,2673,1004,40,23,22,68,30,472,127
Becir Omeragic,SUI,"DF,MF",21,Montpellier,Ligue 1,25.7,1283,184,614,616,69,19,1283,9,6,66.7,3,33.3,891,5610,3032,21,13,2,9,3,811,12
