player,nationality,position,age,club,league,minutes_90s,goals,shots,SOTs,SOTs_pct,shots_per90,SOT_per90,goals_per_shot,goals_per_SOT,avg_shot_dist,shots_fk,pens_scored,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Leander Dendoncker,BEL,MF,29,Napoli,Serie A,0.3,0,1,0,0.0,3.75,0.0,0.0,0.0,28.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Nikita Contini Baranovsky,ITA,GK,28,Napoli,Serie A,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Josep Martinez,ESP,GK,26,Genoa,Serie A,36.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Morten Frendrup,DEN,MF,23,Genoa,Serie A,34.9,2,30,4,13.3,0.86,0.11,0.07,0.5,20.5,0,0,0,1.7,1.7,0.06,0.3,0.3
Albert Guðmundsson,ISL,"FW,MF",26,Genoa,Serie A,33.5,14,51,18,35.3,1.52,0.54,0.2,0.56,20.6,7,4,5,9.9,5.7,0.11,4.1,4.3
Johan Vásquez,MEX,DF,25,Genoa,Serie A,31.7,1,34,10,29.4,1.07,0.32,0.03,0.1,13.6,0,0,0,1.9,1.9,0.05,-0.9,-0.9
Milan Badelj,CRO,MF,35,Genoa,Serie A,28.2,1,21,4,19.0,0.75,0.14,0.05,0.25,19.1,0,0,0,1.4,1.4,0.07,-0.4,-0.4
Stefano Sabelli,ITA,DF,31,Genoa,Serie A,27.0,0,9,3,33.3,0.33,0.11,0.0,0.0,18.6,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Mattia Bani,ITA,DF,30,Genoa,Serie A,25.6,2,9,5,55.6,0.35,0.2,0.22,0.4,9.1,0,0,0,1.2,1.2,0.14,0.8,0.8
Koni De Winter,BEL,DF,21,Genoa,Serie A,26.4,0,11,1,9.1,0.42,0.04,0.0,0.0,9.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8
Mateo Retegui,ITA,FW,25,Genoa,Serie A,24.6,7,62,22,35.5,2.52,0.89,0.1,0.27,14.3,0,1,1,5.8,5.0,0.08,1.2,1.0
Radu Drăgușin,ROU,DF,22,Genoa,Serie A,19.0,2,17,4,23.5,0.89,0.21,0.12,0.5,12.5,0,0,0,1.0,1.0,0.06,1.0,1.0
Ruslan Malinovskyi,UKR,MF,31,Genoa,Serie A,17.2,4,39,13,33.3,2.27,0.76,0.1,0.31,29.6,10,0,0,1.1,1.1,0.03,2.9,2.9
Aarón Martín,ESP,DF,27,Genoa,Serie A,15.3,0,5,0,0.0,0.33,0.0,0.0,0.0,24.8,2,0,0,0.2,0.2,0.03,-0.2,-0.2
Kevin Strootman,NED,MF,34,Genoa,Serie A,13.4,0,1,0,0.0,0.07,0.0,0.0,0.0,24.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Alessandro Vogliacco,ITA,DF,25,Genoa,Serie A,13.0,0,5,0,0.0,0.38,0.0,0.0,0.0,13.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Junior Messias,BRA,"MF,DF",33,Genoa,Serie A,11.7,1,22,3,13.6,1.88,0.26,0.05,0.33,18.2,1,0,0,1.6,1.6,0.07,-0.6,-0.6
Caleb Ekuban,GHA,FW,30,Genoa,Serie A,12.6,4,27,12,44.4,2.15,0.95,0.15,0.33,14.7,0,0,0,2.9,2.9,0.11,1.1,1.1
Morten Thorsby,NOR,MF,28,Genoa,Serie A,12.9,2,13,6,46.2,1.01,0.47,0.15,0.33,12.2,0,0,0,1.8,1.8,0.14,0.2,0.2
Djed Spence,ENG,DF,23,Genoa,Serie A,9.5,0,2,0,0.0,0.21,0.0,0.0,0.0,11.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2
